date,mean_concentration
2019-01-01,6.49340062327307e+22
2019-01-16,6.431846905943805e+22
2019-02-01,6.833508565784227e+22
2019-02-16,6.5499060837508975e+22
2019-03-01,6.690912051742627e+22
2019-03-16,7.018650740113297e+22
2019-04-01,7.171360814822108e+22
2019-04-16,7.3750124343856286e+22
2019-05-01,7.437788609361892e+22
2019-05-16,7.504495764080493e+22
2019-06-01,7.5170381963889014e+22
2019-06-16,7.512566155912487e+22
2019-07-01,7.376004689917158e+22
2019-07-16,7.435001886826916e+22
2019-08-01,7.356289555481343e+22
2019-08-16,7.367511728307436e+22
2019-09-01,7.140559096775004e+22
2019-09-16,7.03432218662343e+22
2019-10-01,7.227616573437236e+22
2019-10-16,7.011789663722026e+22
2019-11-01,6.930401122986328e+22
2019-11-16,6.912899707728241e+22
2019-12-01,6.35254795654187e+22
2019-12-16,6.623639309547733e+22
2020-01-01,
2020-01-16,6.791581666521748e+22
2020-02-01,6.800883143506817e+22
2020-02-16,7.266596588724191e+22
2020-03-01,7.152096486014037e+22
2020-03-16,7.376930968571164e+22
2020-04-01,7.481647694804605e+22
2020-04-16,7.537454699279648e+22
2020-05-01,7.549080940479664e+22
2020-05-16,7.551905442277612e+22
2020-06-01,7.586553356263597e+22
2020-06-16,7.53663220248615e+22
2020-07-01,7.3446332834601194e+22
2020-07-16,7.469064140965242e+22
2020-08-01,7.280222767883603e+22
2020-08-16,7.306257810296773e+22
2020-09-01,7.34869445280135e+22
2020-09-16,7.287233105111586e+22
2020-10-01,7.283039689911845e+22
2020-10-16,7.119001786514957e+22
2020-11-01,7.0849397231849184e+22
2020-11-16,6.9014102513892045e+22
2020-12-01,6.7073803718829575e+22
2020-12-16,6.347973195377151e+22
2021-01-01,6.788335613191933e+22
2021-01-16,6.904300399076836e+22
2021-02-01,7.112798666721636e+22
2021-02-16,7.238381344257819e+22
2021-03-01,6.8029783203773524e+22
2021-03-16,7.084213985820706e+22
2021-04-01,7.436554611499654e+22
2021-04-16,7.605990653458503e+22
2021-05-01,7.631246930855634e+22
2021-05-16,7.572674195498227e+22
2021-06-01,7.445676395961116e+22
2021-06-16,7.458611056788965e+22
2021-07-01,7.699776597032018e+22
2021-07-16,7.56951068510371e+22
2021-08-01,7.576956343199716e+22
2021-08-16,7.59065706336296e+22
2021-09-01,7.4514013001456806e+22
2021-09-16,7.526771065665029e+22
2021-10-01,7.484105422475078e+22
2021-10-16,7.41058176931849e+22
2021-11-01,
2021-11-16,6.981989595029047e+22
2021-12-01,7.027646975181291e+22
2021-12-16,6.944604488124035e+22
2022-01-01,7.1314741829701705e+22
2022-01-16,6.8292071915582806e+22
2022-02-01,6.999673853136448e+22
2022-02-16,7.283095473754345e+22
2022-03-01,7.105092062297077e+22
2022-03-16,7.522980245629253e+22
2022-04-01,7.585886184484893e+22
2022-04-16,7.4460080137791225e+22
2022-05-01,7.866098556895564e+22
2022-05-16,7.947823439506296e+22
2022-06-01,7.794214593728658e+22
2022-06-16,7.676284678113548e+22
2022-07-01,
2022-07-16,7.57940322211024e+22
2022-08-01,7.636076780315922e+22
2022-08-16,7.57524094941994e+22
2022-09-01,7.554692846194753e+22
2022-09-16,7.509282788326433e+22
2022-10-01,7.268924554123069e+22
2022-10-16,7.411368317761447e+22
2022-11-01,7.242027104458262e+22
2022-11-16,7.132506647668707e+22
2022-12-01,6.565097655088871e+22
2022-12-16,6.501975015397434e+22
2023-01-01,6.785331571966443e+22
2023-01-16,6.624882536056615e+22
2023-02-01,6.74590356440683e+22
2023-02-16,6.979532383206497e+22
2023-03-01,7.054119366061597e+22
2023-03-16,7.195550208330317e+22
2023-04-01,7.476169708252779e+22
2023-04-16,7.685902865331508e+22
2023-05-01,7.540453281065124e+22
2023-05-16,7.925359209019298e+22
2023-06-01,7.786829157721634e+22
2023-06-16,7.643440549592694e+22
2023-07-01,7.550859432289278e+22
2023-07-16,
2023-08-01,7.55988836319634e+22
2023-08-16,7.514494363321701e+22
2023-09-01,7.633922017249776e+22
2023-09-16,7.487945668830296e+22
2023-10-01,7.4047385998237916e+22
2023-10-16,7.320796361885018e+22
2023-11-01,7.140467939687106e+22
2023-11-16,6.837274249425592e+22
2023-12-01,7.0805374446356964e+22
2023-12-16,6.6958530937483845e+22
