date,mean_concentration
2019-01-01,6.328725053332783e+22
2019-01-16,6.49635441638743e+22
2019-02-01,6.716801856053036e+22
2019-02-16,6.571253130783948e+22
2019-03-01,6.729917510249658e+22
2019-03-16,6.971293165134018e+22
2019-04-01,7.240218669631504e+22
2019-04-16,7.23556423886049e+22
2019-05-01,7.291140194864878e+22
2019-05-16,7.369801546197395e+22
2019-06-01,7.696494920281361e+22
2019-06-16,7.541427124303024e+22
2019-07-01,7.5371752234897e+22
2019-07-16,7.449742707514927e+22
2019-08-01,7.444180051360091e+22
2019-08-16,7.626236320081471e+22
2019-09-01,7.262622855140622e+22
2019-09-16,7.0974091911793736e+22
2019-10-01,7.344792718459997e+22
2019-10-16,6.98449289827736e+22
2019-11-01,7.125998667781903e+22
2019-11-16,6.640673654359389e+22
2019-12-01,6.6077555249952456e+22
2019-12-16,7.020195028572774e+22
2020-01-01,6.5427483768518825e+22
2020-01-16,7.036110136798811e+22
2020-02-01,7.025908892517319e+22
2020-02-16,7.651427324851885e+22
2020-03-01,7.654175199844234e+22
2020-03-16,7.50573476295576e+22
2020-04-01,7.589892927357063e+22
2020-04-16,7.582273080166476e+22
2020-05-01,7.672233337359012e+22
2020-05-16,7.490744311770923e+22
2020-06-01,7.625540741720598e+22
2020-06-16,7.612494611377916e+22
2020-07-01,7.494189350742664e+22
2020-07-16,7.287551863683252e+22
2020-08-01,7.399494030686415e+22
2020-08-16,7.290608925454187e+22
2020-09-01,7.418545674169799e+22
2020-09-16,7.224706823531382e+22
2020-10-01,7.167081744131709e+22
2020-10-16,7.064222378468688e+22
2020-11-01,7.408913492539571e+22
2020-11-16,7.118401205610268e+22
2020-12-01,6.955737979270004e+22
2020-12-16,6.77433423149393e+22
2021-01-01,6.6572832572276235e+22
2021-01-16,6.621332883625056e+22
2021-02-01,7.4996689277424545e+22
2021-02-16,7.281503585010588e+22
2021-03-01,7.145976597630174e+22
2021-03-16,7.1352743596116605e+22
2021-04-01,7.460468425879785e+22
2021-04-16,7.652871628061456e+22
2021-05-01,7.510145907680052e+22
2021-05-16,7.610360013881323e+22
2021-06-01,7.590892394326397e+22
2021-06-16,7.780303067195814e+22
2021-07-01,7.755273270707088e+22
2021-07-16,7.734190433264647e+22
2021-08-01,7.816418793902868e+22
2021-08-16,7.665210205604502e+22
2021-09-01,
2021-09-16,
2021-10-01,7.512396260103389e+22
2021-10-16,7.440397888566991e+22
2021-11-01,7.0824570182450494e+22
2021-11-16,7.1268569948846234e+22
2021-12-01,7.079381197689342e+22
2021-12-16,6.9589456022822076e+22
2022-01-01,7.3417725828338916e+22
2022-01-16,7.10013464554675e+22
2022-02-01,7.418248762596816e+22
2022-02-16,7.699699277109057e+22
2022-03-01,7.618947481286031e+22
2022-03-16,7.707392054559793e+22
2022-04-01,7.684110466198513e+22
2022-04-16,7.762853807517208e+22
2022-05-01,7.768038350708342e+22
2022-05-16,7.87743721031416e+22
2022-06-01,8.051700758061312e+22
2022-06-16,8.036995311024485e+22
2022-07-01,7.836405819654628e+22
2022-07-16,7.6093767958666e+22
2022-08-01,7.5372821318799295e+22
2022-08-16,7.577977397752398e+22
2022-09-01,7.632145299063574e+22
2022-09-16,7.60318153511199e+22
2022-10-01,7.5076885757612194e+22
2022-10-16,7.332444559913157e+22
2022-11-01,7.146402234644543e+22
2022-11-16,6.760095758629351e+22
2022-12-01,6.716321522469892e+22
2022-12-16,6.494496232517637e+22
2023-01-01,6.78695291768959e+22
2023-01-16,6.682501194433221e+22
2023-02-01,6.557706361129252e+22
2023-02-16,6.803477726102329e+22
2023-03-01,7.151990234079082e+22
2023-03-16,7.4263527284657e+22
2023-04-01,7.543463684705072e+22
2023-04-16,7.692813926710852e+22
2023-05-01,7.51461864434689e+22
2023-05-16,7.739919129039893e+22
2023-06-01,7.838163998207596e+22
2023-06-16,7.810953415607088e+22
2023-07-01,7.636196086934019e+22
2023-07-16,7.69053500249908e+22
2023-08-01,
2023-08-16,7.648242522180825e+22
2023-09-01,7.65602883777226e+22
2023-09-16,7.725493605948127e+22
2023-10-01,7.4449384331849375e+22
2023-10-16,7.44947285169333e+22
2023-11-01,7.272317569938497e+22
2023-11-16,7.208010963642643e+22
2023-12-01,7.391178209186023e+22
2023-12-16,6.859028617586091e+22
