date,mean_concentration
2019-01-01,7.598639799795075e+22
2019-01-16,8.060938161370371e+22
2019-02-01,7.858887991810226e+22
2019-02-16,7.765044639707105e+22
2019-03-01,7.708669948367088e+22
2019-03-16,7.615686152040575e+22
2019-04-01,7.576196792350766e+22
2019-04-16,7.3369845977819224e+22
2019-05-01,7.398335172292709e+22
2019-05-16,7.902995107045543e+22
2019-06-01,7.7741546097746e+22
2019-06-16,7.795978767520298e+22
2019-07-01,8.030044981314513e+22
2019-07-16,7.593345149526603e+22
2019-08-01,7.523263644444638e+22
2019-08-16,7.624191260148496e+22
2019-09-01,7.3219733141477405e+22
2019-09-16,7.524663108175438e+22
2019-10-01,7.442214624757032e+22
2019-10-16,7.365300665555147e+22
2019-11-01,7.150726880242046e+22
2019-11-16,7.1543755438369605e+22
2019-12-01,7.061107246307169e+22
2019-12-16,8.112064640472572e+22
2020-01-01,8.301326253802466e+22
2020-01-16,8.060640971294226e+22
2020-02-01,7.993338932746145e+22
2020-02-16,8.228537684029436e+22
2020-03-01,8.091921533934871e+22
2020-03-16,8.72466788363523e+22
2020-04-01,8.623802587629838e+22
2020-04-16,8.113512186168264e+22
2020-05-01,7.971522008225926e+22
2020-05-16,7.533632513424031e+22
2020-06-01,7.4983525438472115e+22
2020-06-16,7.510117403466779e+22
2020-07-01,7.492704941346718e+22
2020-07-16,7.642610126008072e+22
2020-08-01,7.169443430820343e+22
2020-08-16,
2020-09-01,7.295896422650784e+22
2020-09-16,7.187959282668523e+22
2020-10-01,7.058003468932194e+22
2020-10-16,7.037413378601214e+22
2020-11-01,7.116476955993871e+22
2020-11-16,7.244310123911865e+22
2020-12-01,6.912604302933313e+22
2020-12-16,7.539959072378696e+22
2021-01-01,7.064073085209587e+22
2021-02-01,7.974034804102532e+22
2021-02-16,7.786298648955317e+22
2021-03-01,7.624958443834564e+22
2021-03-16,7.949337531789015e+22
2021-04-01,8.132772811443805e+22
2021-04-16,8.341354295105633e+22
2021-05-01,8.31660530869283e+22
2021-05-16,7.814132472528968e+22
2021-06-01,7.760274217612479e+22
2021-06-16,7.834737658755477e+22
2021-07-01,7.916309274027901e+22
2021-07-16,7.787286963010855e+22
2021-08-01,7.666868243044257e+22
2021-08-16,7.79822017285118e+22
2021-09-01,7.483265462967617e+22
2021-09-16,7.478121342187448e+22
2021-10-01,7.304334682754282e+22
2021-10-16,7.189886491440914e+22
2021-11-01,7.472926578552416e+22
2021-11-16,7.102347845780135e+22
2021-12-01,7.608170491294543e+22
2021-12-16,7.909496199544307e+22
2022-01-01,8.11086889090828e+22
2022-01-16,7.532868986286275e+22
2022-02-01,8.224662574841876e+22
2022-02-16,8.573359559412397e+22
2022-03-01,8.348347291767421e+22
2022-03-16,7.4945376363327475e+22
2022-04-01,7.857076386518826e+22
2022-04-16,8.134655706340454e+22
2022-05-01,7.549406812462517e+22
2022-05-16,7.86528840560634e+22
2022-06-01,7.79189599396889e+22
2022-06-16,7.970036122927814e+22
2022-07-01,7.83092156127541e+22
2022-07-16,7.854542725114094e+22
2022-08-01,7.616031635081147e+22
2022-08-16,7.546386974832782e+22
2022-09-01,7.789590710508424e+22
2022-09-16,7.565620041348641e+22
2022-10-01,7.463452947798161e+22
2022-10-16,7.445108522441559e+22
2022-11-01,7.342895143175116e+22
2022-11-16,6.646461058762613e+22
2022-12-01,7.018742505924623e+22
2022-12-16,7.147527591598484e+22
2023-01-01,7.4554366554251035e+22
2023-01-16,7.972573363348139e+22
2023-02-01,7.291279987432942e+22
2023-02-16,7.845872968242324e+22
2023-03-01,7.306753125475922e+22
2023-03-16,8.272739029182835e+22
2023-04-01,8.404051530156991e+22
2023-04-16,8.371936161230244e+22
2023-05-01,8.323236570355298e+22
2023-05-16,8.03969571076113e+22
2023-06-01,7.901720716719349e+22
2023-06-16,7.6495173388637e+22
2023-07-01,7.792691034856338e+22
2023-07-16,7.63072440442528e+22
2023-08-01,7.603097206861833e+22
2023-08-16,7.637229142744765e+22
2023-09-01,7.651321153563826e+22
2023-09-16,7.551883100209287e+22
2023-10-01,7.28434390272767e+22
2023-10-16,7.323587074952997e+22
2023-11-01,7.4662931311219735e+22
2023-11-16,7.568433619871935e+22
2023-12-01,7.888598660912287e+22
2023-12-16,7.61656112956451e+22
