date,mean_concentration
2019-01-01,6.549152930378811e+19
2019-01-16,-5.1794218867398255e+19
2019-02-01,7.584919313892204e+18
2019-02-16,3.7227076843553464e+18
2019-03-01,1.3624728057332379e+20
2019-03-16,1.0559221873238576e+20
2019-04-01,1.1220755481912605e+20
2019-04-16,3.3682207078236865e+19
2019-05-01,8.121556519945275e+19
2019-05-16,7.086147599642976e+19
2019-06-01,3.865573996459551e+19
2019-06-16,-2.0936709064502367e+18
2019-07-01,1.1163197260879766e+19
2019-07-16,8.026206335710762e+18
2019-08-01,-4.718073425077365e+19
2019-08-16,4.433862857021395e+19
2019-09-01,9.487322551135515e+18
2019-09-16,1.6420904743029362e+20
2019-10-01,1.22801144750497e+19
2019-10-16,-6.814541136216557e+19
2019-11-01,3.4350588828037673e+19
2019-11-16,-1.2596358521096352e+19
2019-12-01,1.612644822776147e+20
2019-12-16,3.373295772316211e+20
2020-01-01,1.587031188504013e+20
2020-01-16,5.750304902288581e+19
2020-02-01,3.840077942783989e+18
2020-02-16,5.029893139519933e+19
2020-03-01,5.142856880158109e+18
2020-03-16,3.913190440231405e+19
2020-04-01,5.5713277898799555e+19
2020-04-16,8.528432483690252e+19
2020-05-01,3.560897949201237e+19
2020-05-16,4.789804497027698e+19
2020-06-01,4.09844526389556e+19
2020-06-16,5.08254598831533e+19
2020-07-01,2.0904796519604232e+19
2020-07-16,-5.084493374716991e+19
2020-08-01,-1.1513175291903623e+19
2020-08-16,8.684816207129227e+18
2020-09-01,6.7106564450897175e+19
2020-09-16,-1.2075913674805262e+19
2020-10-01,5.737071873048063e+17
2020-10-16,6.689719129526047e+18
2020-11-01,8.35318435725336e+19
2020-11-16,7.574622760128419e+19
2020-12-01,2.0017188874428056e+20
2020-12-16,2.054465149114329e+20
2021-01-01,1.0848455805344372e+20
2021-01-16,1.466965389685606e+19
2021-02-01,4.841171631517021e+19
2021-02-16,-1.434936039291434e+19
2021-03-01,-8.590874421024504e+18
2021-03-16,1.0762447148508996e+19
2021-04-01,4.908929189726115e+19
2021-04-16,4.810696743881987e+19
2021-05-01,5.4462896684388655e+19
2021-05-16,6.979755446891011e+19
2021-06-01,6.950645819608016e+19
2021-06-16,8.71555719046557e+18
2021-07-01,1.0693421164994122e+19
2021-07-16,-1.648033889527072e+19
2021-08-01,6.1876270209141826e+19
2021-08-16,7.846739786904915e+19
2021-09-01,2.0739774069093686e+18
2021-09-16,3.262668802151389e+19
2021-10-01,2.5898865333910233e+19
2021-10-16,3.396505639175621e+19
2021-11-01,1.6281781400300747e+19
2021-11-16,1.3417281542867395e+20
2021-12-01,1.7179717737257104e+20
2021-12-16,3.240512331287424e+20
2022-01-01,2.7179951938783982e+20
2022-01-16,2.554273300506137e+19
2022-02-01,5.12609381050707e+18
2022-02-16,7.789214831240613e+19
2022-03-01,3.706793143994041e+19
2022-03-16,-1.1690104042217961e+19
2022-04-01,3.1553417035459437e+19
2022-04-16,4.532466687238163e+19
2022-05-01,6.5056230053004345e+19
2022-05-16,2.6605272216906797e+19
2022-06-01,5.422388448409858e+19
2022-06-16,1.7513540052402231e+19
2022-07-01,-8.158650849970166e+19
2022-07-16,-8.439290464000729e+18
2022-08-01,-3.82861271927923e+19
2022-08-16,7.866079839086445e+19
2022-09-01,2.5227888657707733e+19
2022-09-16,-3.3965275584633504e+19
2022-10-01,-3.721118698261932e+19
2022-10-16,8.675150190256784e+18
2022-11-01,-2.118984775799329e+18
2022-11-16,1.0599902130580318e+20
2022-12-01,2.520135254341957e+20
2022-12-16,1.5846899368918565e+20
2023-01-01,1.2688960655674383e+20
2023-01-16,9.397084825939026e+19
2023-02-01,3.740065771464992e+19
2023-02-16,4.813097125321349e+19
2023-03-01,-9.66746108749045e+18
2023-03-16,2.2508681999913394e+19
2023-04-01,7.315224445899338e+19
2023-04-16,6.005263380204811e+19
2023-05-01,6.837359280223181e+19
2023-05-16,4.820086646251225e+19
2023-06-01,5.525329816682126e+19
2023-06-16,8.503867929936223e+19
2023-07-01,1.4015080718503409e+18
2023-07-16,-3.2071326650107662e+19
2023-08-01,-2.646171242985379e+19
2023-08-16,1.5565101539393671e+19
2023-09-01,3.9005654644176794e+18
2023-09-16,3.042939736065602e+19
2023-10-01,2.416520172927556e+19
2023-10-16,3.4499557047125376e+18
2023-11-01,6.284729223522831e+19
2023-11-16,1.3565661986089263e+20
2023-12-01,1.544323293277112e+20
2023-12-16,2.5364503824000074e+20
