date,mean_concentration
2019-01-01,1.3103554867358037e+20
2019-01-16,3.7890160373081733e+18
2019-02-01,1.4491354850988917e+20
2019-02-16,1.0235528865009082e+20
2019-03-01,1.0846524200419548e+20
2019-03-16,1.2719369411261664e+20
2019-04-01,8.480359414286988e+19
2019-04-16,1.0485800233672175e+20
2019-05-01,8.214004095008584e+19
2019-05-16,6.856142857404443e+19
2019-06-01,6.9048178357573075e+19
2019-06-16,-3.7748007805403315e+18
2019-07-01,1.7044438269068235e+19
2019-07-16,1.5508397319900032e+18
2019-08-01,5.854413837515806e+18
2019-08-16,-2.5062928008465297e+19
2019-09-01,
2019-09-16,4.416718929588139e+19
2019-10-01,5.130226824402441e+19
2019-10-16,
2019-11-01,-1.2149680504719405e+19
2019-11-16,8.36272258775253e+19
2019-12-01,1.0592920846905873e+20
2019-12-16,4.942345596384802e+19
2020-01-01,7.3717718838233506e+19
2020-01-16,-4.700011327381624e+19
2020-02-01,1.4732407468968215e+20
2020-02-16,9.82189419629061e+19
2020-03-01,8.110721532122109e+19
2020-03-16,8.946581946042437e+19
2020-04-01,7.141312627769248e+19
2020-04-16,4.9836383835799134e+19
2020-05-01,4.116296477356812e+19
2020-05-16,6.721441200024003e+19
2020-06-01,1.1049956329242552e+19
2020-06-16,1.4213475904936106e+19
2020-07-01,-2.8948864286377943e+19
2020-07-16,-6.464691605419674e+19
2020-08-01,-3.797125356646951e+19
2020-08-16,3.698358246094083e+19
2020-09-01,-1.1554102207241622e+19
2020-09-16,
2020-10-01,4.582654470525005e+19
2020-10-16,-8.755075921026783e+18
2020-11-01,1.0793820860926878e+20
2020-11-16,5.712854423235774e+19
2020-12-01,2.1350423933485295e+20
2020-12-16,1.3554652135656632e+20
2021-01-01,2.7261715453190373e+20
2021-01-16,1.5421448765678702e+20
2021-02-01,1.8151955165305196e+20
2021-02-16,1.6638420464936622e+20
2021-03-01,1.487033272211636e+20
2021-03-16,1.9425602598168023e+19
2021-04-01,1.4625212275755211e+20
2021-04-16,1.9076676082405527e+20
2021-05-01,7.034375245652606e+19
2021-05-16,6.541506236672128e+19
2021-06-01,-5.5848588010206994e+19
2021-06-16,-1.9184895294449454e+18
2021-07-01,-1.3114744488305025e+19
2021-07-16,1.9757419380625875e+19
2021-08-01,6.514004755147585e+19
2021-08-16,5.797343408054999e+19
2021-09-01,1.0455067091393721e+20
2021-09-16,3.7261705548072305e+19
2021-10-01,3.760117539866587e+19
2021-10-16,6.641287198057037e+19
2021-11-01,7.649581815240337e+19
2021-11-16,1.6012482284955314e+20
2021-12-01,2.642930010072104e+20
2021-12-16,3.6307694563764457e+19
2022-01-01,1.409796706753837e+20
2022-01-16,7.816175268772638e+19
2022-02-01,1.112717782558012e+20
2022-02-16,1.0337753491869748e+20
2022-03-01,1.7095813505120633e+20
2022-03-16,8.616315324646138e+19
2022-04-01,1.1275640609225759e+20
2022-04-16,7.346106312022283e+19
2022-05-01,8.917745099596161e+19
2022-05-16,1.4080924316126114e+19
2022-06-01,5.339334565097935e+19
2022-06-16,7.667082708665414e+19
2022-07-01,
2022-07-16,2.1078990999033643e+20
2022-08-01,-1.967778136192744e+19
2022-08-16,3.6406215661004354e+19
2022-09-01,6.145716181980146e+19
2022-09-16,8.155096626742436e+19
2022-10-01,2.580750700007744e+19
2022-10-16,8.515188884904369e+19
2022-11-01,1.1947595269174588e+20
2022-11-16,1.1334249457267737e+20
2022-12-01,8.099495622544592e+19
2022-12-16,1.6351904806452694e+20
2023-01-01,8.312021286970502e+19
2023-01-16,1.1040416511528822e+20
2023-02-01,1.8601170492560972e+20
2023-02-16,1.1994583677105694e+20
2023-03-01,2.1101812742014383e+20
2023-03-16,7.243345524451306e+19
2023-04-01,1.199641059726353e+20
2023-04-16,1.1766173504104151e+20
2023-05-01,1.567341605391178e+20
2023-05-16,4.460695276102899e+19
2023-06-01,4.260925037142739e+19
2023-06-16,3.514490439875456e+19
2023-07-01,-9.387162869622868e+19
2023-07-16,5.08432710478507e+19
2023-08-01,-2.293692570880507e+19
2023-08-16,3.71420680920875e+19
2023-09-01,3.183764689867795e+19
2023-09-16,4.604020071557186e+19
2023-10-01,8.864325701950199e+19
2023-10-16,2.2164653599178942e+20
2023-11-01,1.1896891720321497e+20
2023-11-16,1.3466580494925485e+20
2023-12-01,1.1317105944483543e+20
2023-12-16,1.9836976753243505e+20
