date,mean_concentration
2019-01-01,4.39001562654307e+19
2019-01-16,6.419333082389385e+19
2019-02-01,5.9770555109887754e+19
2019-02-16,4.205116514380273e+19
2019-03-01,3.721011062509119e+19
2019-03-16,1.321788339657704e+19
2019-04-01,1.0756489515959788e+20
2019-04-16,3.409684039401741e+19
2019-05-01,7.74970931027041e+19
2019-05-16,8.170352064263594e+19
2019-06-01,5.442619846082182e+19
2019-06-16,4.3288230996855144e+19
2019-07-01,-5.622583825498238e+19
2019-07-16,-1.185837986613344e+19
2019-08-01,2.2853931106566914e+19
2019-08-16,-3.507330923136336e+19
2019-09-01,6.420288533035057e+18
2019-09-16,1.0255214433428306e+19
2019-10-01,3.018816480974458e+18
2019-10-16,3.199030046527135e+19
2019-11-01,-8.502744081058332e+17
2019-11-16,-5.6408395296356516e+19
2019-12-01,-2.0130283108481753e+19
2019-12-16,-1.5011922820947601e+19
2020-01-01,3.947304665429912e+19
2020-01-16,-1.444057920787253e+19
2020-02-01,1.2201017897346236e+19
2020-02-16,5.959597581921283e+19
2020-03-01,4.1388609041563116e+19
2020-03-16,4.751608363240252e+19
2020-04-01,5.828868884705352e+19
2020-04-16,1.9348901796473815e+19
2020-05-01,2.636679678725578e+19
2020-05-16,6.6537814170511335e+19
2020-06-01,2.0661944031147004e+19
2020-06-16,1.7782889422949923e+19
2020-07-01,-3.6881531743206814e+19
2020-07-16,-2.9955466472376726e+19
2020-08-01,-2.3443578853487805e+18
2020-08-16,5.454972530912067e+18
2020-09-01,-7.447768268202154e+19
2020-09-16,-2.387800608178181e+18
2020-10-01,1.4139518717766599e+19
2020-10-16,1.6593366558550237e+19
2020-11-01,4.548810108431844e+19
2020-11-16,6.093528461384999e+19
2020-12-01,2.720112472153264e+19
2020-12-16,5.983990943261967e+19
2021-01-01,7.662769432555884e+19
2021-01-16,3.852378132114669e+19
2021-02-01,1.1355820031737923e+20
2021-02-16,1.1028560800634996e+20
2021-03-01,3.054418158772337e+19
2021-03-16,1.4217212465070877e+19
2021-04-01,8.908587212172344e+19
2021-04-16,1.0707257005960384e+20
2021-05-01,5.117741984253465e+19
2021-05-16,1.2053761422718077e+19
2021-06-01,2.931961488727251e+19
2021-06-16,6.871610477621778e+18
2021-07-01,6.216273672326825e+19
2021-07-16,4.1093806763498317e+18
2021-08-01,5.47791833652558e+18
2021-08-16,5.812825879880099e+18
2021-09-01,-5.356040047279385e+19
2021-09-16,1.4939133257483253e+20
2021-10-01,5.648865377029401e+19
2021-10-16,3.41986493068249e+19
2021-11-01,-4.708164304547819e+19
2021-11-16,-4.1259733100352573e+18
2021-12-01,2.3581358080434037e+19
2021-12-16,-9.068765754331117e+18
2022-01-01,3.737509318042521e+18
2022-01-16,1.3314760469899481e+19
2022-02-01,2.219007250656201e+19
2022-02-16,1.0898526072004634e+20
2022-03-01,7.569256085957419e+19
2022-03-16,1.830205623762098e+20
2022-04-01,6.857006240089608e+19
2022-04-16,8.138765784150827e+19
2022-05-01,5.759936076576151e+19
2022-05-16,3.791893541885334e+19
2022-06-01,6.62057290849531e+19
2022-06-16,7.227638661314996e+18
2022-07-01,-1.1945710427386611e+20
2022-07-16,7.198563278356009e+18
2022-08-01,
2022-08-16,-6.478421652285822e+18
2022-09-01,-1.0536674448583836e+19
2022-09-16,7.447390422023566e+19
2022-10-01,1.4820467388203872e+19
2022-10-16,1.4647876179940536e+18
2022-11-01,2.6652628270351245e+19
2022-11-16,7.453345594750086e+19
2022-12-01,3.0492076229980197e+19
2022-12-16,5.495396938355719e+18
2023-01-01,8.08016652495631e+19
2023-01-16,5.3994399060096385e+19
2023-02-01,1.4531465333020924e+20
2023-02-16,1.2041299015209904e+20
2023-03-01,5.81392764078961e+19
2023-03-16,1.0734704902340292e+20
2023-04-01,4.0075718523752595e+19
2023-04-16,4.8829774236514976e+19
2023-05-01,5.845421631981245e+19
2023-05-16,7.574811863792237e+19
2023-06-01,5.386889924071149e+19
2023-06-16,3.3235896869240852e+19
2023-07-01,4.666874252327596e+19
2023-07-16,-1.3013259932372785e+19
2023-08-01,-2.9478455512845005e+19
2023-08-16,5.756245049874842e+19
2023-09-01,-2.844173213352229e+19
2023-09-16,7.015853671151995e+18
2023-10-01,1.0595317641208861e+20
2023-10-16,4.9799128835053584e+19
2023-11-01,2.7391823406255305e+19
2023-11-16,9.574117247612754e+19
2023-12-01,9.68803659531417e+19
2023-12-16,2.822514983628747e+19
