date,mean_concentration
2019-01-01,-2.6881446577561113e+19
2019-01-16,3.5248518315503383e+19
2019-02-01,2.2567909290237575e+19
2019-02-16,7.572708695913243e+19
2019-03-01,5.925138275160046e+19
2019-03-16,7.643022225066779e+19
2019-04-01,9.648609757419228e+19
2019-04-16,5.953278662776003e+19
2019-05-01,6.18702625425543e+19
2019-05-16,6.314226422338431e+19
2019-06-01,3.982976768021418e+19
2019-06-16,-2.962070870245666e+19
2019-07-01,-7.730877146643331e+19
2019-07-16,-3.145990842756104e+18
2019-08-01,-2.359408870878575e+19
2019-08-16,3.199844108877563e+18
2019-09-01,-1.0992787324130653e+20
2019-09-16,-6.025618420492051e+18
2019-10-01,1.0420133508295582e+20
2019-10-16,3.142518017973627e+19
2019-11-01,-4.476071669910406e+19
2019-11-16,-6.35159893097145e+19
2019-12-01,-8.20859589076612e+19
2019-12-16,-2.8169333172110136e+18
2020-01-01,-2.3703006379143307e+19
2020-01-16,-8.23357195856608e+19
2020-02-01,6.311855587218848e+19
2020-02-16,5.921710365304047e+19
2020-03-01,3.628756995668704e+19
2020-03-16,9.609909071003889e+19
2020-04-01,2.9422841731502506e+19
2020-04-16,4.665250652322316e+19
2020-05-01,2.1161876303824847e+19
2020-05-16,4.5600834715072365e+19
2020-06-01,-3.5774798195945503e+18
2020-06-16,1.9027847544552997e+19
2020-07-01,-9.528326489498391e+19
2020-07-16,-3.2445454930229375e+19
2020-08-01,-4.89663872105059e+18
2020-08-16,-2.8945200893598433e+19
2020-09-01,-2.7375006796788126e+19
2020-09-16,6.393816025129473e+19
2020-10-01,2.850918838361575e+19
2020-10-16,-8.871225936799961e+18
2020-11-01,2.31950688751319e+19
2020-11-16,2.300317447420645e+19
2020-12-01,1.2385382349429146e+19
2020-12-16,2.7250400683429528e+19
2021-01-01,5.204289835848806e+19
2021-01-16,5.045670409346193e+19
2021-02-01,6.876640968372235e+19
2021-02-16,5.812687358839729e+19
2021-03-01,1.0214296644992996e+20
2021-03-16,3.531955651380397e+19
2021-04-01,1.0229878142917681e+20
2021-04-16,9.13046247646263e+19
2021-05-01,2.9116974553638457e+19
2021-05-16,3.1862258083740635e+19
2021-06-01,7.836970789128912e+18
2021-06-16,-1.9862515749863457e+19
2021-07-01,-2.864616512284564e+19
2021-07-16,-4.861056726740273e+18
2021-08-01,-3.2109916594414035e+19
2021-08-16,5.384673475086713e+19
2021-09-01,3.2542172977243128e+19
2021-09-16,6.4966149895280435e+19
2021-10-01,4.328044614416368e+19
2021-10-16,3.5627449344514662e+19
2021-11-01,2.3873768141784315e+18
2021-11-16,6.843619288197179e+19
2021-12-01,-6.19584594002388e+18
2021-12-16,-9.765590180131617e+17
2022-01-01,-1.0143916593899948e+20
2022-01-16,-1.7928717169335697e+19
2022-02-01,8.864047900759615e+19
2022-02-16,5.628574139646855e+19
2022-03-01,3.879094163906191e+19
2022-03-16,6.5497293620550296e+19
2022-04-01,8.783388050689571e+19
2022-04-16,5.852340629739959e+19
2022-05-01,2.4527258181289386e+19
2022-05-16,7.44710684952291e+18
2022-06-01,3.1623464715983917e+19
2022-06-16,1.6974662624381847e+18
2022-07-01,-8.676453482667475e+19
2022-07-16,-5.385449648589129e+19
2022-08-01,4.003512637461463e+18
2022-08-16,2.6440491364935766e+19
2022-09-01,1.8514479292198105e+19
2022-09-16,7.949791017219118e+19
2022-10-01,-1.513170906091089e+19
2022-10-16,5.677733616184227e+19
2022-11-01,5.569182348273185e+19
2022-11-16,1.4172844400097966e+19
2022-12-01,8.065168792481102e+18
2022-12-16,-2.0910456306739766e+18
2023-01-01,5.956882843766165e+19
2023-01-16,-1.895548288656666e+19
2023-02-01,7.0146577690228744e+19
2023-02-16,7.749165262150713e+19
2023-03-01,1.2600766096291563e+20
2023-03-16,7.064058848512575e+19
2023-04-01,4.124538381601125e+19
2023-04-16,6.002061563721016e+19
2023-05-01,7.3019198591054954e+19
2023-05-16,3.442615474324393e+19
2023-06-01,4.109847616624844e+19
2023-06-16,7.379792247411591e+18
2023-07-01,-2.3921741586850775e+18
2023-07-16,
2023-08-01,-4.212013242315021e+19
2023-08-16,5.113711325058411e+19
2023-09-01,6.91294383090859e+19
2023-09-16,6.079828146510283e+19
2023-10-01,2.0455592331305497e+19
2023-10-16,4.603445351998901e+19
2023-11-01,9.357025927382652e+19
2023-11-16,1.4008331597105639e+20
2023-12-01,-5.13398218966082e+19
2023-12-16,5.916673079845165e+19
