date,mean_concentration
2019-01-01,1.703901324752885e+20
2019-01-16,1.017013775148766e+20
2019-02-01,3.5877426058097013e+19
2019-02-16,2.8914352389418537e+19
2019-03-01,7.761992185607586e+19
2019-03-16,8.129891758700701e+19
2019-04-01,1.0907958773985208e+20
2019-04-16,5.474136175237122e+19
2019-05-01,5.402747265520566e+19
2019-05-16,4.888796528667846e+19
2019-06-01,8.420099351108207e+19
2019-06-16,4.3046178615063855e+19
2019-07-01,-2.7745034608863805e+19
2019-07-16,-4.7128452164978475e+19
2019-08-01,3.1322417548531524e+19
2019-08-16,1.1735331371593566e+19
2019-09-01,5.918876875656472e+18
2019-09-16,-8.575837283578102e+19
2019-10-01,-4.999982175280222e+19
2019-10-16,-9.995232420156318e+19
2019-11-01,3.048931306115985e+19
2019-11-16,1.513504889487426e+20
2019-12-01,1.6830602186640533e+20
2019-12-16,3.116847545254162e+20
2020-01-01,1.0889356283764556e+20
2020-01-16,2.7942515026845475e+19
2020-02-01,1.5127072649595642e+19
2020-02-16,
2020-03-01,1.8384576862772335e+19
2020-03-16,6.733219096455045e+19
2020-04-01,8.597482490129614e+19
2020-04-16,6.7372739321253e+19
2020-05-01,4.869593265132985e+19
2020-05-16,1.070104857826731e+20
2020-06-01,2.862524034944468e+18
2020-06-16,-3.6590291345484575e+19
2020-07-01,9.016439337015811e+18
2020-07-16,
2020-08-01,-7.308093632432772e+18
2020-08-16,-2.8671778516361474e+19
2020-09-01,1.299560491160424e+19
2020-09-16,5.617621214532362e+18
2020-10-01,2.8223337884645773e+19
2020-10-16,-3.933422692115959e+18
2020-11-01,4.7954541046996074e+19
2020-11-16,1.674275646141884e+20
2020-12-01,3.133116242177893e+20
2020-12-16,1.9740106994428805e+20
2021-01-01,4.227934362362183e+19
2021-01-16,4.8679286670599545e+19
2021-02-01,9.479247024262896e+19
2021-02-16,-1.9648370954301235e+19
2021-03-01,2.344383536844923e+19
2021-03-16,3.2150741450732368e+19
2021-04-01,7.152051096392831e+19
2021-04-16,9.32067372360363e+19
2021-05-01,7.144830594361157e+19
2021-05-16,2.7055210318363234e+19
2021-06-01,-8.33379575362976e+18
2021-06-16,1.1025352856126044e+19
2021-07-01,4.621497739243667e+19
2021-07-16,-6.922688285663855e+18
2021-08-01,1.5000832286522266e+19
2021-08-16,1.8050844956862802e+19
2021-09-01,2.9754275716038566e+19
2021-09-16,2.0133963512237765e+19
2021-10-01,-2.352138717078662e+18
2021-10-16,4.2406908828578775e+19
2021-11-01,9.478096702995353e+19
2021-11-16,1.4229037530432982e+20
2021-12-01,1.2165937885838934e+20
2021-12-16,1.7312949121323955e+20
2022-01-01,2.8261663513239713e+20
2022-01-16,1.1330773608290052e+20
2022-02-01,8.152981416602072e+19
2022-02-16,-7068221656678554.0
2022-03-01,5.346965804258782e+19
2022-03-16,9.030258239927083e+19
2022-04-01,9.353495797655436e+19
2022-04-16,5.181771369144634e+19
2022-05-01,2.0976301204260356e+19
2022-05-16,1.3750543266265436e+19
2022-06-01,6.953179067521432e+19
2022-06-16,6.150108954362756e+19
2022-07-01,-7.773813114135892e+18
2022-07-16,-2.8086279276127777e+19
2022-08-01,-1.5970221452985186e+19
2022-08-16,1.4217098284673479e+19
2022-09-01,2.8786181531164467e+19
2022-09-16,-1.0304977187271545e+19
2022-10-01,-2.4851362031772324e+19
2022-10-16,2.755276763681563e+19
2022-11-01,-2.987049146762599e+19
2022-11-16,9.625101897651133e+19
2022-12-01,1.1285457451157026e+20
2022-12-16,1.942054680568005e+20
2023-01-01,8.595384996610225e+19
2023-01-16,4.8317907092218765e+19
2023-02-01,3.4406136497902543e+19
2023-02-16,-2.7395233619194683e+19
2023-03-01,5.373784774079918e+19
2023-03-16,1.2175135164348406e+19
2023-04-01,2.7183730587856085e+19
2023-04-16,5.179892808727929e+19
2023-05-01,7.694712937811334e+19
2023-05-16,5.337457761949804e+19
2023-06-01,4.756130137628311e+19
2023-06-16,2.3069542960255394e+19
2023-07-01,5.545123206680794e+19
2023-07-16,9.931561893159471e+18
2023-08-01,-1.687871763348268e+20
2023-08-16,4.938035614595969e+19
2023-09-01,6.624481592665043e+19
2023-09-16,3.8375285531485086e+19
2023-10-01,6.673686854996284e+19
2023-10-16,8.622665742100726e+19
2023-11-01,3.167856921648921e+19
2023-11-16,8.45588749558458e+19
2023-12-01,2.3203128829356733e+20
2023-12-16,3.112606339071659e+20
