date,mean_concentration
2019-01-01,2.1704218775534882e+20
2019-01-16,1.825209017352821e+20
2019-02-01,2.5275901803706896e+20
2019-02-16,9.55615622875835e+19
2019-03-01,1.6534617995962814e+19
2019-03-16,-1.3622854653092067e+19
2019-04-01,7.128042943172832e+19
2019-04-16,3.767269861860307e+19
2019-05-01,5.859916196074299e+19
2019-05-16,1.9626580223460516e+19
2019-06-01,4.824406526238623e+19
2019-06-16,1.5319213342224744e+19
2019-07-01,-4.7633154475287265e+19
2019-07-16,-3.129146296825025e+18
2019-08-01,
2019-08-16,2.726947407448759e+20
2019-09-01,1.5188332323800504e+19
2019-09-16,6.600106455777486e+19
2019-10-01,-6.3460864275628e+19
2019-10-16,7.429826360210414e+19
2019-11-01,1.7670326409822677e+20
2019-11-16,1.916179148871426e+20
2019-12-01,2.7377698568535897e+20
2019-12-16,6.422526147889175e+20
2020-01-01,3.105043618263905e+20
2020-01-16,3.424451714675756e+20
2020-02-01,1.7544879185905628e+20
2020-02-16,2.400680542084767e+19
2020-03-01,1.3587134335110994e+19
2020-03-16,1.092472541288121e+19
2020-04-01,5.160094889184289e+19
2020-04-16,2.794165700606152e+19
2020-05-01,1.3105217397490184e+19
2020-05-16,5.31449321280053e+19
2020-06-01,4.813229898735219e+19
2020-06-16,-1.348246376313446e+19
2020-07-01,-2.7363803491897643e+19
2020-07-16,-2.1253760778539334e+17
2020-08-01,-6.803139389483766e+19
2020-08-16,-6.23418826023004e+19
2020-09-01,1.0078639165930988e+19
2020-09-16,-6.465129196486661e+19
2020-10-01,4.170779214689656e+19
2020-10-16,7.6073946873342e+19
2020-11-01,1.922074270801943e+20
2020-11-16,2.427828749412626e+20
2020-12-01,3.0735422288351304e+20
2020-12-16,4.209198438819174e+20
2021-01-01,4.425590757907595e+20
2021-01-16,2.788358286133699e+20
2021-02-01,1.9700766580746905e+20
2021-02-16,-9.475048385925216e+18
2021-03-01,-3.280814329338254e+19
2021-03-16,-1.1705447465350101e+20
2021-04-01,-2.889485726415923e+19
2021-04-16,6.868734603915137e+19
2021-05-01,7.651133503563143e+18
2021-05-16,2.0618107167514943e+19
2021-06-01,5.494167114330436e+19
2021-06-16,2.0899751425377292e+19
2021-07-01,4.760784588224522e+19
2021-07-16,-3.591481040073339e+19
2021-08-01,2.792809601576243e+19
2021-08-16,3.6053315355770875e+18
2021-09-01,8.091100473642861e+17
2021-09-16,-2.0846795939131322e+19
2021-10-01,-2.273137491233923e+18
2021-10-16,6.52090871053546e+19
2021-11-01,1.852598906968373e+20
2021-11-16,3.9264579267781073e+20
2021-12-01,4.7714578396322084e+20
2021-12-16,3.180211188160818e+20
2022-01-01,4.326709270865148e+20
2022-01-16,4.27000751877892e+20
2022-02-01,1.7758761908388076e+20
2022-02-16,6.180169597119808e+19
2022-03-01,-3.46363816109125e+18
2022-03-16,-1.5474049280179309e+19
2022-04-01,-5.192442167685004e+19
2022-04-16,2.180769952960207e+19
2022-05-01,1.1126295431567794e+20
2022-05-16,8.22629360256694e+19
2022-06-01,4.967258447449726e+19
2022-06-16,6.059985174289961e+19
2022-07-01,4.4845900496661883e+18
2022-07-16,-5.009752720734684e+19
2022-08-01,2.654900593811484e+19
2022-08-16,2.1078138098488123e+19
2022-09-01,4.6668418921786534e+17
2022-09-16,-2.543678084015451e+19
2022-10-01,-1.1828834874413453e+19
2022-10-16,1.3660658869114194e+20
2022-11-01,1.3570601804533942e+20
2022-11-16,2.4707863993421054e+20
2022-12-01,2.5599867975079684e+20
2022-12-16,3.538989485431763e+20
2023-01-01,3.053691792139007e+20
2023-01-16,2.0302064769625096e+20
2023-02-01,1.212382798257872e+20
2023-02-16,-9.53646666314054e+18
2023-03-01,-3.1338875122482295e+19
2023-03-16,-6.250640030009279e+17
2023-04-01,-3.0928462737623527e+19
2023-04-16,2.2852891963084505e+19
2023-05-01,3.2425131477938037e+19
2023-05-16,5.020854479356401e+19
2023-06-01,4.4727993163356406e+19
2023-06-16,-3.555400717332055e+18
2023-07-01,3.878959550675294e+19
2023-07-16,1.448479107587504e+20
2023-08-01,-1.7629724622541556e+19
2023-08-16,2.7704487698980127e+19
2023-09-01,8.38449945248517e+19
2023-09-16,2.438658924702579e+19
2023-10-01,2.6825122617865953e+19
2023-10-16,8.170644103063464e+19
2023-11-01,2.1486351155189426e+20
2023-11-16,2.3307158612748032e+20
2023-12-01,2.9032807962994636e+20
2023-12-16,3.948372215774959e+20
