date,mean_concentration
2019-01-01,1.2309127019390525e+20
2019-01-16,9.9004768703451e+19
2019-02-01,2.3494656920477814e+20
2019-02-16,1.885295458726792e+20
2019-03-01,2.1815086765423978e+20
2019-03-16,1.4827836954569343e+20
2019-04-01,1.9813003370617435e+20
2019-04-16,1.2460553111347911e+20
2019-05-01,1.3035354052728316e+20
2019-05-16,1.392088293806053e+20
2019-06-01,1.50943828294098e+20
2019-06-16,5.27575677803181e+19
2019-07-01,2.6806687653463654e+19
2019-07-16,-4.0872841089565107e+18
2019-08-01,-6.401373464396631e+18
2019-08-16,-1.985959305911308e+19
2019-09-01,-1.5578307197549236e+19
2019-09-16,5.607441355524243e+19
2019-10-01,1.4800066801062818e+19
2019-10-16,3.558043715156397e+19
2019-11-01,7.186715245089451e+18
2019-11-16,2.0849941881109084e+18
2019-12-01,-3.444206033806341e+19
2019-12-16,1.1040657676361743e+20
2020-01-01,3.857367641448439e+19
2020-01-16,-3.2944109791240212e+19
2020-02-01,8.012181241230031e+19
2020-02-16,1.9786489394489698e+20
2020-03-01,2.1929085550137455e+20
2020-03-16,1.4105818274605638e+20
2020-04-01,1.2174708421939397e+20
2020-04-16,1.089782134324173e+20
2020-05-01,1.610688215829059e+20
2020-05-16,1.195123679494929e+20
2020-06-01,1.4575489134711575e+19
2020-06-16,7.425951944499916e+19
2020-07-01,1.1244020763769348e+19
2020-07-16,-5.270911678576586e+18
2020-08-01,3.848684972340347e+19
2020-08-16,1.314745630381326e+19
2020-09-01,4.693959459197913e+19
2020-09-16,3.825487139710191e+19
2020-10-01,2.7630691197393293e+19
2020-10-16,1.0755304233966295e+19
2020-11-01,1.0010942330108007e+20
2020-11-16,1.7253860335757745e+20
2020-12-01,1.9355075401117644e+20
2020-12-16,1.7422954655480345e+20
2021-01-01,1.152705819910025e+20
2021-01-16,1.829973374419208e+20
2021-02-01,1.5347015647219374e+20
2021-02-16,1.3960976046303194e+20
2021-03-01,1.93314560343321e+20
2021-03-16,1.454127781032257e+20
2021-04-01,1.6427625909117567e+20
2021-04-16,2.065342749088413e+20
2021-05-01,1.1933067839739096e+20
2021-05-16,6.7884823191636206e+19
2021-06-01,5.354560029710337e+18
2021-06-16,-2.512462574482664e+19
2021-07-01,-3.88629969920094e+19
2021-07-16,-1.2016719281392361e+19
2021-08-01,-3.948459690556797e+19
2021-08-16,1.2127631173354295e+19
2021-09-01,2.6753058005603557e+19
2021-09-16,3.21632774795936e+19
2021-10-01,-1.0496679294579835e+19
2021-10-16,-2.0656479855852708e+19
2021-11-01,1.0394830584730798e+19
2021-11-16,1.4791226023952053e+20
2021-12-01,2.0344593885248566e+20
2021-12-16,1.1158684123030063e+20
2022-01-01,2.472361359811134e+20
2022-01-16,9.796787836075752e+19
2022-02-01,1.1175213767947677e+20
2022-02-16,1.9407192409213423e+20
2022-03-01,1.7680629440208447e+20
2022-03-16,1.2840768740815824e+20
2022-04-01,1.374305023961209e+20
2022-04-16,1.190246139551852e+20
2022-05-01,1.679135504265921e+20
2022-05-16,1.553722019812256e+20
2022-06-01,1.3243416151993685e+20
2022-06-16,7.509046903969194e+19
2022-07-01,1.0289600615255132e+19
2022-07-16,6.336774175875614e+19
2022-08-01,-3.300348868318318e+16
2022-08-16,1.7107504149756547e+19
2022-09-01,7.60434424374872e+19
2022-09-16,9.797863884532911e+19
2022-10-01,4.709142015898303e+18
2022-10-16,4.4584185134448796e+19
2022-11-01,1.120867924714448e+19
2022-11-16,3.961408409463561e+19
2022-12-01,1.2349271989133206e+19
2022-12-16,1.0686291674489918e+20
2023-01-01,1.1458272176443567e+20
2023-01-16,1.727108692750528e+20
2023-02-01,1.7547966611561185e+20
2023-02-16,2.0118199210626476e+20
2023-03-01,1.589077127065498e+20
2023-03-16,2.510908769299828e+20
2023-04-01,1.5809875230936387e+20
2023-04-16,1.5655730614035658e+20
2023-05-01,9.33636841114188e+19
2023-05-16,1.2601584625138108e+20
2023-06-01,8.163732378321645e+19
2023-06-16,1.3384064823439245e+20
2023-07-01,4.335268482257622e+19
2023-07-16,-4.741529833071479e+19
2023-08-01,1.6985320733945713e+19
2023-08-16,-6.816892987657247e+17
2023-09-01,6.677993579112294e+19
2023-09-16,1.0144807332534954e+20
2023-10-01,8.309241578318832e+19
2023-10-16,-1.410328426731171e+19
2023-11-01,8.299642616288313e+18
2023-11-16,4.788081703560494e+19
2023-12-01,1.723485429730106e+20
2023-12-16,1.4661872444538357e+20
