date,mean_concentration
2019-01-01,5.426616459394235e+19
2019-01-16,1.4234655472736805e+20
2019-02-01,7.836832206835535e+19
2019-02-16,7.664453125967643e+19
2019-03-01,3.9434130972979675e+19
2019-03-16,7.148210370520518e+19
2019-04-01,1.1200384384505553e+20
2019-04-16,8.62914253728338e+19
2019-05-01,8.388729713287976e+19
2019-05-16,6.803104108873054e+19
2019-06-01,8.364601706411724e+19
2019-06-16,2.931491741274888e+19
2019-07-01,2.7151172904518156e+19
2019-07-16,8.377878353553708e+18
2019-08-01,6.605797920982996e+19
2019-08-16,8.693467520476532e+19
2019-09-01,3.684324613077418e+19
2019-09-16,8.488777038459856e+19
2019-10-01,2.927571123942682e+18
2019-10-16,-2.640303880552367e+19
2019-11-01,1.713334759971837e+19
2019-11-16,9.510231205592523e+19
2019-12-01,1.8203815974206793e+20
2019-12-16,5.038580049632359e+20
2020-01-01,2.0140186996814027e+20
2020-01-16,9.543488565169647e+19
2020-02-01,6.96434817111085e+19
2020-02-16,1.496221704819291e+20
2020-03-01,-2.811329665796424e+19
2020-03-16,1.023534853426165e+19
2020-04-01,5.044374056085243e+19
2020-04-16,4.224894708159058e+19
2020-05-01,5.641130945058063e+19
2020-05-16,1.110400795698382e+20
2020-06-01,2.926177632824849e+19
2020-06-16,5.613984630002647e+19
2020-07-01,-2.1216459876740776e+19
2020-07-16,-1.4067292209094464e+20
2020-08-01,-1.9914997598446436e+19
2020-08-16,-2.881549748470291e+19
2020-09-01,8.91277939132288e+18
2020-09-16,6.9190329340542984e+19
2020-10-01,5.827609058625078e+18
2020-10-16,1.0977641198474783e+19
2020-11-01,1.0089971129884508e+20
2020-11-16,7.95036508284536e+19
2020-12-01,2.3040644954409497e+20
2020-12-16,2.958837103731535e+20
2021-01-01,5.057627734175277e+19
2021-01-16,6.333946347367473e+19
2021-02-01,8.39368217366181e+19
2021-02-16,4.484314379513813e+19
2021-03-01,3.38066498771796e+19
2021-03-16,1.3076394419895611e+19
2021-04-01,7.28110774672458e+19
2021-04-16,1.2696758460007291e+20
2021-05-01,1.1485545156857002e+20
2021-05-16,5.246547222375866e+19
2021-06-01,5.635578232986978e+19
2021-06-16,4.116959313462266e+19
2021-07-01,8.640286833957582e+19
2021-07-16,-3.3514402929060196e+19
2021-08-01,2.737316896427433e+19
2021-08-16,6.236299681036735e+19
2021-09-01,3.7015788827908686e+19
2021-09-16,9.741903144674902e+18
2021-10-01,-6.906918127045399e+18
2021-10-16,1.0380270126434546e+20
2021-11-01,1.875790192879896e+20
2021-11-16,2.2644881257666963e+20
2021-12-01,1.999992281345888e+20
2021-12-16,1.6597326347763863e+20
2022-01-01,4.350504130233409e+20
2022-01-16,8.935243975371363e+19
2022-02-01,3.228722511732284e+18
2022-02-16,5.795626019260241e+19
2022-03-01,2.9566901399725314e+19
2022-03-16,5.462561048827089e+19
2022-04-01,1.1896780614455088e+20
2022-04-16,4.176820160942911e+19
2022-05-01,1.340987719377359e+20
2022-05-16,6.559840920020708e+19
2022-06-01,1.1676507152452983e+20
2022-06-16,2.054123573199668e+19
2022-07-01,4.711504959901817e+19
2022-07-16,-1.4495610681268873e+19
2022-08-01,-6.216897073105879e+18
2022-08-16,2.1305117063820292e+19
2022-09-01,3.3224039970231026e+19
2022-09-16,-1.3409281591421764e+19
2022-10-01,-4.125834312656996e+19
2022-10-16,5.395678418285481e+19
2022-11-01,1.7156819095739413e+20
2022-11-16,1.3814211788975951e+20
2022-12-01,2.50211011515877e+20
2022-12-16,1.85991335683647e+20
2023-01-01,1.3035510112797414e+20
2023-01-16,5.439003672908795e+19
2023-02-01,5.1529157799741415e+19
2023-02-16,8.837319658164594e+18
2023-03-01,8.980022245459071e+18
2023-03-16,6.487718644410231e+19
2023-04-01,1.3275570612688292e+19
2023-04-16,5.557422508300529e+19
2023-05-01,6.824248519266829e+19
2023-05-16,5.284212726859166e+19
2023-06-01,8.586861558162394e+19
2023-06-16,7.38110952948834e+19
2023-07-01,-2.1567005257506324e+19
2023-07-16,3.800878657043258e+19
2023-08-01,-9.143726645767945e+19
2023-08-16,4.327178696295534e+19
2023-09-01,7.061831710820499e+19
2023-09-16,4.577178785377457e+19
2023-10-01,2.488064559353691e+19
2023-10-16,-2.1319180179394286e+19
2023-11-01,9.32261858289976e+19
2023-11-16,2.0590182292764217e+20
2023-12-01,2.2437265742702966e+20
2023-12-16,2.6835402471586464e+20
