date,mean_concentration
2019-01-01,-2.5907613688917463e+19
2019-01-16,-1.9933205706108308e+18
2019-02-01,1.8832218639882253e+20
2019-02-16,2.105618765233798e+19
2019-03-01,9.440291282663747e+19
2019-03-16,1.2650872716691569e+20
2019-04-01,1.1187881358601522e+20
2019-04-16,9.393664542955315e+19
2019-05-01,6.071061076417426e+19
2019-05-16,4.408676969280653e+19
2019-06-01,9.15116464977863e+19
2019-06-16,3.0719868977947754e+19
2019-07-01,4.333419916024219e+18
2019-07-16,-1.51107405065933e+19
2019-08-01,-1.6563055969369799e+19
2019-08-16,2.4104433584399274e+19
2019-09-01,-3.3915730102345236e+19
2019-09-16,7.445169719822236e+19
2019-10-01,-5.069823104105631e+19
2019-10-16,-3.98997518110379e+19
2019-11-01,-8.76235158408491e+19
2019-11-16,1.3447222808878643e+19
2019-12-01,2.1713430739086795e+19
2019-12-16,-5.527100842016578e+20
2020-01-01,7.746585705660744e+19
2020-01-16,5.156645036140623e+19
2020-02-01,6.186270722757178e+19
2020-02-16,6.808125376564824e+19
2020-03-01,1.265499959926841e+20
2020-03-16,1.0577186049171851e+20
2020-04-01,9.754431811052093e+19
2020-04-16,1.2240499396296484e+20
2020-05-01,9.155915843882892e+19
2020-05-16,1.104956252022614e+20
2020-06-01,-9.653101946781766e+18
2020-06-16,-6.382217492369743e+19
2020-07-01,6.335833771109715e+18
2020-07-16,6.189056584790384e+18
2020-08-01,-4.966967437457697e+19
2020-08-16,-5.903554193790274e+18
2020-09-01,1.0224186269387696e+19
2020-09-16,6.925962537352181e+19
2020-10-01,3.721013405315161e+19
2020-10-16,-1.9008860874514703e+18
2020-11-01,6.0474764476157624e+19
2020-11-16,1.9256306344777397e+20
2020-12-01,5.255819078417177e+19
2020-12-16,5.720457857320084e+19
2021-01-01,-2.508740408283086e+19
2021-01-16,-5.352594376314191e+19
2021-02-01,-1.4814130282304946e+19
2021-02-16,5.7157905753104245e+19
2021-03-01,9.563048558959511e+19
2021-03-16,-2.7995429579998515e+18
2021-04-01,1.1465248695056797e+20
2021-04-16,1.2478689377307986e+20
2021-05-01,1.05133880640339e+20
2021-05-16,2.017446031563191e+19
2021-06-01,7.440997096848024e+19
2021-06-16,-1.5510524553169388e+20
2021-07-01,-3.383929388669611e+18
2021-07-16,-6.105930484627368e+19
2021-08-01,-8.80607333506307e+19
2021-08-16,-2.3429515404527206e+19
2021-09-01,3.198036026740738e+19
2021-09-16,2.687309167352647e+19
2021-10-01,-5.682440776230471e+19
2021-10-16,6.171827524246676e+18
2021-11-01,8.630043497058728e+18
2021-11-16,1.2422924794669801e+20
2021-12-01,7.476729260382462e+19
2021-12-16,1.4257216900708121e+20
2022-01-01,1.1506089530341725e+20
2022-01-16,7.68261761285079e+19
2022-02-01,6.104237985137284e+18
2022-02-16,6.157036252807743e+19
2022-03-01,8.642474853702273e+19
2022-03-16,7.626857959417006e+19
2022-04-01,7.619768735454885e+19
2022-04-16,7.569368168465452e+19
2022-05-01,1.0289414265145043e+20
2022-05-16,1.0039755779653134e+20
2022-06-01,8.971500879679308e+19
2022-06-16,-3.737823525370559e+19
2022-07-01,-9.901094531487515e+18
2022-07-16,1.1474665047553784e+20
2022-08-01,-1.4078083536137904e+19
2022-08-16,5.04443625326987e+18
2022-09-01,5.552172467154928e+19
2022-09-16,4.624004686892577e+19
2022-10-01,4.385758237056991e+18
2022-10-16,6.916220228641126e+18
2022-11-01,8.785549518170047e+18
2022-11-16,3.1081158211214483e+19
2022-12-01,-2.058194861590772e+19
2022-12-16,2.4355464213647995e+19
2023-01-01,2.9688496803382936e+19
2023-01-16,1.228189570264646e+20
2023-02-01,1.0446752014777586e+20
2023-02-16,1.3625969611710726e+20
2023-03-01,1.0940662512748211e+20
2023-03-16,1.3820190180197414e+20
2023-04-01,8.058760440423511e+19
2023-04-16,1.0414623347049375e+20
2023-05-01,4.190468127831582e+19
2023-05-16,8.805293911724455e+19
2023-06-01,3.518865499640323e+19
2023-06-16,5.509898879724717e+19
2023-07-01,-3.948374983697322e+19
2023-07-16,-2.1658330839391785e+19
2023-08-01,6.180526229271497e+19
2023-08-16,9.99234425648493e+17
2023-09-01,5.598468878771838e+19
2023-09-16,7.716321856450847e+19
2023-10-01,5.9725492990143005e+19
2023-10-16,-2.654035744539237e+19
2023-11-01,7.774044232505296e+19
2023-11-16,2.637686811550249e+19
2023-12-01,1.9553644064326067e+18
2023-12-16,2.457663809199743e+19
