date,mean_concentration
2019-01-01,3.6155557773083666e+20
2019-01-16,3.087719480577994e+20
2019-02-01,9.489092187007309e+19
2019-02-16,7.404355099623743e+19
2019-03-01,-1.1410062235757275e+19
2019-03-16,6.662486551476396e+18
2019-04-01,1.399937663687319e+20
2019-04-16,8.05389466969837e+19
2019-05-01,6.926056489047455e+19
2019-05-16,5.783113176038295e+19
2019-06-01,6.391945659273817e+19
2019-06-16,4.913178510414412e+19
2019-07-01,2.0486482629308862e+19
2019-07-16,-1.3578957953202104e+18
2019-08-01,6.515834092682676e+19
2019-08-16,6.250315240677855e+19
2019-09-01,-3.0390683487705226e+18
2019-09-16,1.4266192317082332e+20
2019-10-01,-2.4756543853643563e+19
2019-10-16,7.615706093240387e+19
2019-11-01,2.0098599181784053e+20
2019-11-16,2.0289960330487903e+20
2019-12-01,3.09748445886817e+20
2019-12-16,3.6470796792971834e+20
2020-01-01,5.0468645188508405e+20
2020-01-16,3.380818241761927e+20
2020-02-01,2.6965602914652615e+20
2020-02-16,1.6175429093477384e+20
2020-03-01,1.8199279044124756e+19
2020-03-16,4.887298125765554e+19
2020-04-01,2.395492889887167e+19
2020-04-16,4.260120755745226e+19
2020-05-01,6.697679002625583e+19
2020-05-16,3.514248634392583e+19
2020-06-01,4.62662472728471e+19
2020-06-16,3.118241257182061e+19
2020-07-01,6.5508682352263954e+19
2020-07-16,-8.979188041722066e+17
2020-08-01,-1.2071630107611875e+19
2020-08-16,4.178326151466955e+19
2020-09-01,5.759031755887102e+19
2020-09-16,1.1275100593102109e+19
2020-10-01,1.8925666252322775e+18
2020-10-16,5.090844474247408e+19
2020-11-01,2.3144187936450386e+20
2020-11-16,2.7050649096964964e+20
2020-12-01,2.5858709075889973e+20
2020-12-16,2.540105719275961e+20
2021-01-01,3.4614862031216306e+20
2021-01-16,4.884772771512826e+20
2021-02-01,1.7418972608493365e+20
2021-02-16,7.021394104846311e+19
2021-03-01,2.1283066880767304e+19
2021-03-16,-6.0785718218076545e+19
2021-04-01,4.4630809455191537e+18
2021-04-16,5.695902464535848e+19
2021-05-01,1.6501004005428961e+19
2021-05-16,4.009824248674256e+19
2021-06-01,6.058078915846123e+19
2021-06-16,7.997241238384773e+19
2021-07-01,2.0357356276356603e+18
2021-07-16,1.4559742753313568e+20
2021-08-01,1.4860682647548348e+19
2021-08-16,-5.820662284344851e+18
2021-09-01,-8.045150706716028e+19
2021-09-16,-3.726660946723429e+19
2021-10-01,3.6661103458954416e+19
2021-10-16,1.1031609556439314e+20
2021-11-01,1.596772350818518e+20
2021-11-16,2.014785637588952e+20
2021-12-01,1.97015328358294e+20
2021-12-16,2.793857140931721e+20
2022-01-01,3.990906853441378e+20
2022-01-16,1.3774379527088511e+20
2022-02-01,2.054100540604895e+20
2022-02-16,1.2222210615961666e+20
2022-03-01,-1.7894286702809571e+19
2022-03-16,-1.2625240905631937e+19
2022-04-01,-4.679799136222898e+18
2022-04-16,-7.611397358741409e+18
2022-05-01,2.550743523437643e+19
2022-05-16,-1.9276431666401223e+19
2022-06-01,2.6783679889768235e+19
2022-06-16,3.228877144415257e+19
2022-07-01,-1.5045380531697945e+19
2022-07-16,1.2557230144237391e+20
2022-08-01,6.234356905327434e+18
2022-08-16,1.5932240521075663e+19
2022-09-01,-6.370251833518521e+19
2022-09-16,-2.7505292154814415e+19
2022-10-01,6.886248353162641e+19
2022-10-16,1.1486481168400656e+20
2022-11-01,1.9537914027503986e+20
2022-11-16,3.025428673344771e+20
2022-12-01,2.5733073749291395e+20
2022-12-16,3.593743528673699e+20
2023-01-01,4.314126952172253e+20
2023-01-16,4.289845176322424e+20
2023-02-01,2.657148166352021e+20
2023-02-16,1.5599010400913736e+20
2023-03-01,-2.5401071004811686e+19
2023-03-16,-1.8686430674540765e+19
2023-04-01,1.5981318989307148e+19
2023-04-16,3.1760150127840117e+19
2023-05-01,1.5842947479678894e+19
2023-05-16,4.063037643510902e+18
2023-06-01,7.948364220066487e+19
2023-06-16,4.307132334794255e+19
2023-07-01,7.3152771347746865e+19
2023-07-16,9.702334074146458e+18
2023-08-01,2.0337478569016738e+19
2023-08-16,5.337411794954292e+16
2023-09-01,1.4725295896124088e+19
2023-09-16,-2.0533507416958755e+19
2023-10-01,-1.2798211583463926e+18
2023-10-16,9.261262928997632e+19
2023-11-01,3.370789560106963e+20
2023-11-16,2.5879151304623797e+20
2023-12-01,3.3610156961544595e+20
2023-12-16,4.045569357808004e+20
