date,mean_concentration
2019-01-01,-6.022576600799787e+19
2019-01-16,8.19861365747173e+18
2019-02-01,3.902452826412813e+19
2019-02-16,4.255597118477472e+19
2019-03-01,6.863421092462843e+19
2019-03-16,1.0368860799425882e+20
2019-04-01,8.549362277202887e+19
2019-04-16,1.157609747440839e+20
2019-05-01,7.730491132120896e+19
2019-05-16,6.887438248280043e+19
2019-06-01,4.165735803866986e+19
2019-06-16,1.0272955873113928e+19
2019-07-01,5.0892464525794e+19
2019-07-16,-8.031951080536347e+18
2019-08-01,1.3410031969485965e+19
2019-08-16,6.7435952139715445e+19
2019-09-01,-3.145640557059613e+18
2019-09-16,3.981819253091492e+19
2019-10-01,9.68193138733571e+19
2019-10-16,-7.148343034282804e+19
2019-11-01,-2.765954298247886e+19
2019-11-16,1.5045132710567872e+18
2019-12-01,8.389276289631137e+19
2019-12-16,1.00020718063921e+20
2020-01-01,6.5795238350683185e+19
2020-01-16,-2.4702535921711784e+19
2020-02-01,-6.522682357404221e+18
2020-02-16,5.267230868551677e+19
2020-03-01,3.216418828234673e+19
2020-03-16,3.4268497907340333e+19
2020-04-01,8.321324566315857e+19
2020-04-16,2.914081527702468e+19
2020-05-01,3.4264274970547802e+19
2020-05-16,4.872668554084602e+19
2020-06-01,-1.7758812399862927e+19
2020-06-16,7.267457842232075e+18
2020-07-01,-1.883205839726434e+19
2020-07-16,-5.087681746722883e+18
2020-08-01,-6.811379612362287e+19
2020-08-16,-2.763798472767375e+19
2020-09-01,3.4647120720040755e+19
2020-09-16,-1.2750402501551643e+19
2020-10-01,4.2026728052182295e+19
2020-10-16,-8.40453566433175e+19
2020-11-01,4.113755057693808e+19
2020-11-16,3.567292999669015e+19
2020-12-01,1.3614303136975022e+20
2020-12-16,5.8391901200170344e+19
2021-01-01,6.926137487431405e+19
2021-01-16,-2.3619099838275416e+19
2021-02-01,5.171042356220915e+19
2021-02-16,1.338801460487573e+19
2021-03-01,4.997750656910471e+19
2021-03-16,1.526138226059033e+19
2021-04-01,1.1803217671613864e+20
2021-04-16,9.902411673936667e+19
2021-05-01,6.002573001550743e+19
2021-05-16,3.3302325671336186e+19
2021-06-01,2.1762998632459313e+19
2021-06-16,3.846774046082197e+19
2021-07-01,-1.2827463276122436e+19
2021-07-16,-3.300653534432512e+17
2021-08-01,-2.912396075465886e+19
2021-08-16,-2.964494598855313e+19
2021-09-01,3.854399017433295e+19
2021-09-16,4.0502101723472675e+19
2021-10-01,1.7324086025271902e+19
2021-10-16,2.2126854185473098e+19
2021-11-01,-1.5015512284817357e+19
2021-11-16,1.0984750204992682e+20
2021-12-01,1.1044077702209436e+20
2021-12-16,1.517845820315721e+20
2022-01-01,9.842330722950039e+19
2022-01-16,1.3895655830966491e+19
2022-02-01,7.98423048483109e+19
2022-02-16,3.0848234732664484e+19
2022-03-01,6.93915756788251e+19
2022-03-16,3.590317049299366e+19
2022-04-01,3.3405103224507273e+19
2022-04-16,5.819345092040803e+19
2022-05-01,3.937253649784966e+19
2022-05-16,3.853262619535043e+19
2022-06-01,2.7510979226733187e+19
2022-06-16,1.6539050804131176e+19
2022-07-01,-1.635466084236713e+19
2022-07-16,4.721531493939716e+19
2022-08-01,-1.9420598993626296e+19
2022-08-16,4.964007577069651e+18
2022-09-01,3.4956552564526404e+19
2022-09-16,3.5853820073800146e+18
2022-10-01,2.05015514091163e+18
2022-10-16,1.759065327101749e+19
2022-11-01,1.3149590861812685e+19
2022-11-16,7.744538985804835e+18
2022-12-01,4.1650737203919176e+19
2022-12-16,6.976703243258434e+19
2023-01-01,8.665327206428588e+19
2023-01-16,1.8253532342668212e+19
2023-02-01,-1.649762788956223e+19
2023-02-16,2.5737641908927775e+19
2023-03-01,8.16570489241212e+19
2023-03-16,4.158554420205719e+19
2023-04-01,9.90479534302818e+19
2023-04-16,7.70933916364819e+19
2023-05-01,1.02388641257403e+20
2023-05-16,3.05329791270031e+19
2023-06-01,2.3798179777032737e+19
2023-06-16,1.0877916848737055e+19
2023-07-01,-2.54561869994521e+19
2023-07-16,4.279694853596762e+19
2023-08-01,5.818798392332052e+19
2023-08-16,3.3307747811958215e+19
2023-09-01,3.7328362172880904e+19
2023-09-16,4.584290281804979e+19
2023-10-01,2.3205190949515796e+19
2023-10-16,2.0247700270097998e+19
2023-11-01,-2.257040469151727e+19
2023-11-16,1.422801570739308e+19
2023-12-01,2.485383326836725e+20
2023-12-16,6.8341077087745925e+19
