date,mean_concentration
2019-01-01,1.7374903854873874e+20
2019-01-16,1.5642400919406536e+20
2019-02-01,9.303217604919094e+19
2019-02-16,7.106062887001891e+19
2019-03-01,3.687669102779693e+19
2019-03-16,2.0706019157284446e+19
2019-04-01,1.0810739961953257e+20
2019-04-16,9.701364371162726e+19
2019-05-01,6.0021000576865894e+19
2019-05-16,5.771074180568943e+19
2019-06-01,1.0750297817841866e+20
2019-06-16,3.899256893453204e+19
2019-07-01,4.976645977962184e+19
2019-07-16,1.8225819270638877e+19
2019-08-01,2.2330116827325993e+19
2019-08-16,1.7155718515400786e+19
2019-09-01,6.474164232053324e+19
2019-09-16,2.1837740012773765e+19
2019-10-01,-7.150383037505381e+19
2019-10-16,6.318792976964374e+19
2019-11-01,4.689797882567705e+19
2019-11-16,1.3079900446799595e+20
2019-12-01,2.784769507193883e+20
2019-12-16,6.444628479541712e+20
2020-01-01,2.8162542233276675e+20
2020-01-16,4.329820586014341e+19
2020-02-01,6.963334290230841e+19
2020-02-16,3.1988601562201136e+20
2020-03-01,2.0222216302138862e+18
2020-03-16,2.9688437432408445e+19
2020-04-01,7.2313438638909e+19
2020-04-16,1.1116111115985876e+20
2020-05-01,2.9704333640203457e+19
2020-05-16,4.9635863411898425e+19
2020-06-01,2.7285657596499292e+19
2020-06-16,-1.2903725810494675e+19
2020-07-01,-4.307919866335726e+19
2020-07-16,7.1883731487226e+19
2020-08-01,-3.675750434135882e+19
2020-08-16,-1.3895192373429127e+19
2020-09-01,3.1700796166749716e+19
2020-09-16,-4.300440613758069e+18
2020-10-01,4.3438350222681465e+19
2020-10-16,-1.342448613964738e+19
2020-11-01,7.066988514935947e+19
2020-11-16,1.727799538489133e+20
2020-12-01,3.060341267779555e+20
2020-12-16,3.473679334122593e+20
2021-01-01,2.797001379101659e+20
2021-01-16,2.2436315788509122e+20
2021-02-01,1.9834801864272622e+20
2021-02-16,2.905897109105041e+19
2021-03-01,-8.488507407961271e+18
2021-03-16,-1.4759949794335599e+19
2021-04-01,5.726080722699163e+19
2021-04-16,6.674991438226785e+19
2021-05-01,6.451304259877827e+19
2021-05-16,3.823799426539527e+19
2021-06-01,6.524241496573605e+19
2021-06-16,1.3732375220388647e+19
2021-07-01,6.042328659878462e+19
2021-07-16,7.809635816922856e+19
2021-08-01,2.2284098725482e+19
2021-08-16,4.603821007981436e+19
2021-09-01,4.201977010400255e+18
2021-09-16,2.2930754705843274e+19
2021-10-01,-7.363337702370117e+18
2021-10-16,-4.3979007001077647e+18
2021-11-01,7.08762135192279e+19
2021-11-16,2.3230367516172147e+20
2021-12-01,2.2291214745986656e+20
2021-12-16,2.394581472671385e+20
2022-01-01,4.9688187430321534e+20
2022-01-16,6.359280239093574e+18
2022-02-01,7.498375956348071e+19
2022-02-16,6.955041594279528e+19
2022-03-01,-8.562111593387745e+18
2022-03-16,4.304392712620063e+19
2022-04-01,1.0351860048368743e+20
2022-04-16,3.2433541179038355e+19
2022-05-01,6.739323382522483e+19
2022-05-16,7.173520430176221e+19
2022-06-01,8.923542456789277e+19
2022-06-16,4.342194229320598e+19
2022-07-01,-2.970415851248069e+19
2022-07-16,-1.476214261116497e+19
2022-08-01,-3.2594522705617207e+19
2022-08-16,3.6796931628658755e+18
2022-09-01,3.78495329698604e+19
2022-09-16,-8.38438666141387e+17
2022-10-01,-4.0000160643963e+19
2022-10-16,7.957827837495843e+19
2022-11-01,3.428365359586965e+19
2022-11-16,2.0649341182663023e+20
2022-12-01,3.270120437160549e+20
2022-12-16,2.806657923690689e+20
2023-01-01,2.650548022665464e+20
2023-01-16,8.468362553375967e+19
2023-02-01,1.1950131653007373e+20
2023-02-16,2.625589704213356e+19
2023-03-01,3.0444506905302697e+18
2023-03-16,-1.6025556608900522e+19
2023-04-01,5.200475439297634e+19
2023-04-16,5.002047331754339e+19
2023-05-01,5.360448945098674e+19
2023-05-16,8.489394534750375e+19
2023-06-01,5.036761649043224e+19
2023-06-16,-2.751100224657704e+18
2023-07-01,6.192403835052527e+19
2023-07-16,9.866616102482253e+19
2023-08-01,-2.3324440592421573e+19
2023-08-16,
2023-09-01,2.915145075959983e+19
2023-09-16,-6.111365440196073e+18
2023-10-01,4.0284032981190415e+18
2023-10-16,3.4636077011765137e+19
2023-11-01,7.473851594199795e+19
2023-11-16,1.9720793964692308e+20
2023-12-01,1.703525498362318e+20
2023-12-16,3.28345635813214e+20
