date,mean_concentration
2019-01-01,9.108227170149053e+19
2019-01-16,1.107495008608294e+20
2019-02-01,2.2841518936529145e+20
2019-02-16,4.877289134658815e+19
2019-03-01,1.220046754545058e+20
2019-03-16,8.331820490888221e+19
2019-04-01,1.3912469967786762e+20
2019-04-16,1.0533213998866802e+20
2019-05-01,7.288761228554507e+19
2019-05-16,6.754618291923981e+19
2019-06-01,1.1989673846729866e+20
2019-06-16,1.1406278493016862e+20
2019-07-01,4.6547625692306915e+19
2019-07-16,5.086002631193611e+19
2019-08-01,8.056160621917458e+19
2019-08-16,8.377409193269538e+19
2019-09-01,-5.202245797632778e+19
2019-09-16,1.2866938627347612e+20
2019-10-01,5.072368584536768e+19
2019-10-16,8.04085439509893e+19
2019-11-01,8.402961975199474e+19
2019-11-16,3.110912000869319e+20
2019-12-01,3.829480208749128e+20
2019-12-16,
2020-01-01,4.014534277959938e+20
2020-01-16,2.7940642678957015e+20
2020-02-01,2.27957350788104e+20
2020-02-16,3.851233708603183e+20
2020-03-01,6.383732907802132e+19
2020-03-16,4.336922747565517e+19
2020-04-01,5.300712243025603e+19
2020-04-16,8.425972838054304e+19
2020-05-01,2.3920133960199246e+19
2020-05-16,1.0458805829058725e+20
2020-06-01,1.0654260544688035e+20
2020-06-16,5.1566896040594506e+19
2020-07-01,3.869878353787919e+19
2020-07-16,-1.8591474570465276e+19
2020-08-01,2.962637142345396e+19
2020-08-16,-4.140996218621899e+19
2020-09-01,5.952179237181999e+19
2020-09-16,3.4979516987266888e+19
2020-10-01,3.84811451992651e+19
2020-10-16,-3.904028959733381e+19
2020-11-01,-9.074756942087166e+18
2020-11-16,3.047337619525703e+20
2020-12-01,3.449854616552515e+20
2020-12-16,2.699570545899553e+20
2021-01-01,4.227344929865992e+20
2021-01-16,3.129545461626708e+20
2021-02-01,2.1268297541487405e+20
2021-02-16,1.3405442043900897e+19
2021-03-01,-6.754229435233605e+18
2021-03-16,-5.680744002662025e+18
2021-04-01,5.6197904985810625e+19
2021-04-16,8.820974706884816e+19
2021-05-01,8.377908028480225e+19
2021-05-16,8.528700508256374e+19
2021-06-01,2.21915382913668e+19
2021-06-16,7.91358853443816e+19
2021-07-01,1.1053789770905358e+19
2021-07-16,9.807717143767692e+19
2021-08-01,8.44654861329519e+19
2021-08-16,9.046078797594683e+19
2021-09-01,7.410023136283063e+18
2021-09-16,-2.8566576812732506e+19
2021-10-01,3.667869503538338e+19
2021-10-16,1.364932873004386e+20
2021-11-01,5.408350496377172e+19
2021-11-16,2.904755163825963e+20
2021-12-01,3.3135674529763505e+20
2021-12-16,3.3577264779240414e+20
2022-01-01,4.4867359505019345e+20
2022-01-16,3.0095351536717832e+19
2022-02-01,2.7942362236409027e+20
2022-02-16,2.272771492781056e+20
2022-03-01,2.1285901630609208e+18
2022-03-16,6.096853271597448e+19
2022-04-01,7.660540510249499e+19
2022-04-16,3.137460137792177e+19
2022-05-01,9.872794325895537e+19
2022-05-16,4.237381375186721e+19
2022-06-01,7.660400367235165e+19
2022-06-16,3.6069976941334073e+19
2022-07-01,-2.036682399604298e+19
2022-07-16,-3.5016126365817385e+19
2022-08-01,5.680017073033624e+18
2022-08-16,1.771842971636456e+19
2022-09-01,2.5086711151170585e+19
2022-09-16,1.7908660419907641e+19
2022-10-01,2.0962157337043942e+18
2022-10-16,7.063561471880785e+19
2022-11-01,2.7529908595005755e+20
2022-11-16,2.0886915935462998e+20
2022-12-01,1.5076412124376993e+20
2022-12-16,2.564382473156648e+20
2023-01-01,2.551679488999212e+20
2023-01-16,3.550915835045696e+20
2023-02-01,1.1726315299919895e+20
2023-02-16,5.910340654658241e+19
2023-03-01,2.2223119919690863e+19
2023-03-16,6.105623698633436e+19
2023-04-01,3.177548304847048e+19
2023-04-16,1.3988544116253932e+20
2023-05-01,8.268541755280486e+19
2023-05-16,6.555756420050638e+19
2023-06-01,9.994291088322491e+19
2023-06-16,4.869735738182841e+19
2023-07-01,5.023992012445824e+19
2023-07-16,-1.6864590334494102e+19
2023-08-01,4.093966764192704e+18
2023-08-16,3.4929524797355233e+19
2023-09-01,1.0174326836139306e+20
2023-09-16,2.883458716028089e+19
2023-10-01,5.295901369185253e+19
2023-10-16,6.251643644892531e+19
2023-11-01,1.3725124520150082e+20
2023-11-16,2.7360704922049e+20
2023-12-01,2.9289915104228298e+20
2023-12-16,3.764924822503673e+20
