date,mean_concentration
2019-01-01,1.3236930201278435e+19
2019-01-16,1.505949202917027e+19
2019-02-01,6.874700808604482e+19
2019-02-16,6.66749188083229e+19
2019-03-01,4.5388642152374755e+19
2019-03-16,5.086231505073441e+19
2019-04-01,6.225994213638027e+19
2019-04-16,6.387954394445976e+19
2019-05-01,3.448323768024972e+19
2019-05-16,4.203419528065451e+19
2019-06-01,4.575514923921561e+19
2019-06-16,-2.1706142647610806e+19
2019-07-01,-6.764829450646162e+19
2019-07-16,-3.1987221723391493e+18
2019-08-01,-3.734540671175175e+19
2019-08-16,-2.690679581980066e+19
2019-09-01,-7.240038502814159e+19
2019-09-16,-7.001336228586609e+18
2019-10-01,3.720367798470247e+19
2019-10-16,5.331284973645263e+19
2019-11-01,-2.565838752685749e+19
2019-11-16,-1.1880255919216697e+19
2019-12-01,-4.461296788544174e+19
2019-12-16,-1.1460793586309492e+20
2020-01-01,-7.443014751540974e+19
2020-01-16,-3.4921995856473526e+19
2020-02-01,1.8395849339740363e+20
2020-02-16,7.904095876353519e+19
2020-03-01,1.0413675878687408e+20
2020-03-16,4.620468969061813e+19
2020-04-01,4.558982646333403e+19
2020-04-16,1.8077009071467647e+19
2020-05-01,2.2013397036371083e+19
2020-05-16,3.358332729750741e+19
2020-06-01,1.6323202437156774e+19
2020-06-16,-1.6791958588864293e+19
2020-07-01,-5.74455865220736e+19
2020-07-16,-4.939167974999904e+19
2020-08-01,-3.2841944056486613e+19
2020-08-16,-1.759811278037053e+20
2020-09-01,-7.939248885425959e+18
2020-09-16,9.482439856805837e+17
2020-10-01,3.742779105172335e+19
2020-10-16,4.247148274218291e+19
2020-11-01,2.260409393647511e+19
2020-11-16,4.71183937887794e+19
2020-12-01,5.753363539607782e+19
2020-12-16,-1.5913707025489836e+19
2021-01-01,8.575439083455855e+19
2021-01-16,8.30401313923177e+19
2021-02-01,1.2294553854206029e+20
2021-02-16,1.4307817737204366e+20
2021-03-01,9.94085141555961e+19
2021-03-16,8.015822498900923e+19
2021-04-01,6.716897251329686e+19
2021-04-16,6.833329504049731e+19
2021-05-01,5.725407228011614e+19
2021-05-16,3.5260586017252532e+19
2021-06-01,3.2701402691947876e+19
2021-06-16,1.896683019335803e+18
2021-07-01,-3.794090926970478e+19
2021-07-16,-1.2184991834309917e+19
2021-08-01,3.015323617804426e+19
2021-08-16,5.927102544037032e+19
2021-09-01,3.753767588899511e+19
2021-09-16,7.495517566796665e+18
2021-10-01,-1.0051397287097987e+19
2021-10-16,2.67650136532283e+19
2021-11-01,-1.393408456064991e+19
2021-11-16,-5.533619988656477e+19
2021-12-01,3.1031783178556207e+19
2021-12-16,-1.886155021988869e+19
2022-01-01,-1.0142495896209705e+19
2022-01-16,8.708807296812648e+18
2022-02-01,2.4896454143505306e+19
2022-02-16,2.9312814853552746e+19
2022-03-01,9.748649958359333e+19
2022-03-16,9.468080042922084e+19
2022-04-01,1.4214554471915974e+20
2022-04-16,9.618517975477217e+19
2022-05-01,2.954610507215882e+19
2022-05-16,3.730406994697857e+19
2022-06-01,4.268887488922974e+19
2022-06-16,1.3573368688568603e+19
2022-07-01,-1.1041184381634435e+20
2022-07-16,-1.881872460478449e+19
2022-08-01,-1.33063078080474e+20
2022-08-16,-1.612397209633784e+19
2022-09-01,5.104122722897907e+19
2022-09-16,4.1686278482146116e+19
2022-10-01,-1.489788094833861e+19
2022-10-16,5.500714107287269e+19
2022-11-01,2.6611321790374183e+19
2022-11-16,6.362346861670523e+19
2022-12-01,1.168097359737028e+19
2022-12-16,2.329690394749793e+18
2023-01-01,4.6503168480321905e+19
2023-01-16,1.6567952547251194e+19
2023-02-01,1.3790176922713558e+20
2023-02-16,1.4480844344172426e+20
2023-03-01,1.2582752368501675e+20
2023-03-16,3.2441191548496626e+19
2023-04-01,2.3676273723758744e+19
2023-04-16,6.682767139598193e+19
2023-05-01,4.908204529591169e+19
2023-05-16,2.516797211230153e+19
2023-06-01,1.8985388312888984e+19
2023-06-16,3.395168262099492e+19
2023-07-01,-4.2661117050047e+19
2023-07-16,-1.8904668925870516e+20
2023-08-01,9.484940740978221e+18
2023-08-16,-8.839743859440654e+18
2023-09-01,1.852117174596568e+19
2023-09-16,-1.6539024080455694e+19
2023-10-01,2.6899128489365283e+19
2023-10-16,4.376878093221301e+19
2023-11-01,6.9623049308876554e+19
2023-11-16,2.0616148676734046e+19
2023-12-01,-1.4796033266326716e+19
2023-12-16,2.7700355192099738e+19
