date,mean_concentration
2019-01-01,5.502965441277963e+20
2019-01-16,2.382678556172269e+20
2019-02-01,5.466633711317751e+20
2019-02-16,3.2801348887642636e+20
2019-03-01,4.0298511840652604e+20
2019-03-16,3.1608073400282585e+20
2019-04-01,4.229510591720265e+20
2019-04-16,4.438253327809198e+20
2019-05-01,2.288178876421834e+20
2019-05-16,2.5007349843891687e+20
2019-06-01,2.341259264078545e+20
2019-06-16,1.6506098899980704e+20
2019-07-01,5.773133944876692e+19
2019-07-16,9.27234979863984e+19
2019-08-01,3.2232267499305837e+19
2019-08-16,1.0434581248463983e+20
2019-09-01,9.184447203754556e+19
2019-09-16,4.710475479176327e+19
2019-10-01,2.7389616721000317e+19
2019-10-16,2.2260400021232953e+20
2019-11-01,2.3976729973305236e+20
2019-11-16,3.420429424915014e+20
2019-12-01,5.249569101266702e+20
2019-12-16,4.371389486234375e+20
2020-01-01,3.129901263206178e+20
2020-01-16,3.032371918887437e+20
2020-02-01,6.060097085183378e+20
2020-02-16,2.1748729440887616e+20
2020-03-01,3.23558141200656e+20
2020-03-16,2.786917910446479e+20
2020-04-01,3.7595360356761056e+20
2020-04-16,2.50476719632932e+20
2020-05-01,3.594544218932717e+20
2020-05-16,2.0053480157086135e+20
2020-06-01,2.585944572821451e+20
2020-06-16,1.524596856932713e+20
2020-07-01,-6.402622244238475e+19
2020-07-16,2.456273829008638e+20
2020-08-01,2.5556534499378636e+20
2020-08-16,-6.879140685998855e+18
2020-09-01,3.014049263126006e+20
2020-09-16,5.41908040616853e+19
2020-10-01,8.74910864597122e+19
2020-10-16,1.4248003004277082e+20
2020-11-01,2.5447799173152843e+20
2020-11-16,4.506602659632101e+20
2020-12-01,3.95509858311878e+20
2020-12-16,2.958947818677724e+20
2021-01-01,2.6488618769692144e+20
2021-01-16,2.829458062240822e+20
2021-02-01,4.2848940776901725e+20
2021-02-16,2.340275950112857e+20
2021-03-01,3.3923373426837796e+20
2021-03-16,3.01254004901293e+20
2021-04-01,3.4844147107969086e+20
2021-04-16,3.611601930945177e+20
2021-05-01,3.2465130722397494e+20
2021-05-16,1.0194940145428536e+20
2021-06-01,1.2614743249942082e+20
2021-06-16,-1.2713024075925676e+19
2021-07-01,1.9276565681845674e+19
2021-07-16,4.937100746782705e+19
2021-08-01,8.430347840949461e+19
2021-08-16,9.078877097916142e+19
2021-09-01,3.3548076870161046e+20
2021-09-16,2.1214042415817563e+20
2021-10-01,1.7557307695691566e+20
2021-10-16,1.3390164666943806e+20
2021-11-01,3.5197234811208434e+20
2021-11-16,3.856641477502538e+20
2021-12-01,2.1944650734200327e+20
2021-12-16,5.5133179915043465e+20
2022-01-01,7.642451522310566e+20
2022-01-16,3.838597477546658e+20
2022-02-01,1.8465076443637298e+20
2022-02-16,3.35732830823255e+20
2022-03-01,3.309718309263576e+20
2022-03-16,2.1853381371800804e+20
2022-04-01,2.850495910926423e+20
2022-04-16,2.6719654576067654e+20
2022-05-01,1.820687955116037e+20
2022-05-16,2.0351545667655405e+20
2022-06-01,2.464944870642257e+20
2022-06-16,3.2409176855633105e+19
2022-07-01,4.657441713312072e+19
2022-07-16,1.829775583535266e+20
2022-08-01,9.140877189083659e+19
2022-08-16,8.483481643349398e+19
2022-09-01,6.560896581419765e+19
2022-09-16,1.0430679095245675e+20
2022-10-01,2.6132520224181046e+20
2022-10-16,2.1769154291086633e+20
2022-11-01,2.5238205245819404e+20
2022-11-16,4.5992407578256055e+20
2022-12-01,4.493017118430547e+20
2022-12-16,3.274406062413147e+20
2023-01-01,5.241655720675466e+20
2023-01-16,2.6520789338689795e+20
2023-02-01,2.3231915928997256e+20
2023-02-16,3.386978106173025e+20
2023-03-01,4.727027854853447e+20
2023-03-16,5.531354947472359e+20
2023-04-01,3.5226725083868063e+20
2023-04-16,3.3779339994121634e+20
2023-05-01,3.206017953899562e+20
2023-05-16,2.4029374286075684e+20
2023-06-01,2.5967188982283115e+20
2023-06-16,1.7522051057633847e+20
2023-07-01,1.9605719660465816e+20
2023-07-16,1.003146934638093e+20
2023-08-01,1.1046189027164655e+20
2023-08-16,1.0162975728324572e+20
2023-09-01,1.0570647667629335e+20
2023-09-16,1.5005309927708626e+20
2023-10-01,2.216990829371416e+20
2023-10-16,3.317033604809151e+20
2023-11-01,1.7194012641373225e+20
2023-11-16,1.7827495311468944e+20
2023-12-01,4.778373962811753e+20
2023-12-16,6.111092310414713e+20
