date,mean_concentration
2019-01-01,2.0109795909235954e+19
2019-01-16,6.879892553494466e+19
2019-02-01,3.508040080124329e+19
2019-02-16,4.598584862061868e+19
2019-03-01,6.089401114890725e+19
2019-03-16,7.735080819457358e+19
2019-04-01,9.16482346146094e+19
2019-04-16,4.475642085355812e+19
2019-05-01,1.2856659225455536e+20
2019-05-16,7.87509876854126e+19
2019-06-01,4.563517847185889e+19
2019-06-16,-4.024356466611446e+19
2019-07-01,1.3564576710057626e+19
2019-07-16,-4.662380039085483e+19
2019-08-01,-8.158993392559856e+19
2019-08-16,-5.540343318831676e+19
2019-09-01,1.6383339790860601e+19
2019-09-16,-3.2906827589050936e+18
2019-10-01,-2.979337192955983e+19
2019-10-16,-3.1958945972117815e+19
2019-11-01,6.202250888789521e+18
2019-11-16,-3.374194566980723e+19
2019-12-01,-9.747702864439968e+19
2019-12-16,1.491209949835392e+19
2020-01-01,4.052526543297912e+19
2020-01-16,1.0541056279420397e+18
2020-02-01,4.288258185712818e+19
2020-02-16,5.371927609286446e+19
2020-03-01,6.338447962152075e+19
2020-03-16,2.3123821399083774e+19
2020-04-01,3.1974245938650296e+19
2020-04-16,6.15516802496004e+19
2020-05-01,2.1301881721230615e+19
2020-05-16,5.943949525601548e+19
2020-06-01,8.200604635746613e+18
2020-06-16,-3.459836570384257e+19
2020-07-01,-1.8895701747113968e+19
2020-07-16,-4.504540520722404e+19
2020-08-01,-1.5504134993306052e+20
2020-08-16,1.0312091118461549e+19
2020-09-01,1.9731946727342973e+19
2020-09-16,-5.412718412075219e+19
2020-10-01,
2020-10-16,5.696784288481689e+19
2020-11-01,5.845509124262202e+19
2020-11-16,1.3125799365282718e+19
2020-12-01,-7.810858801057926e+18
2020-12-16,9.265668406365523e+19
2021-01-01,7.715740428550113e+19
2021-01-16,8.015683255550632e+19
2021-02-01,1.1147846868086296e+20
2021-02-16,1.2293618978598227e+20
2021-03-01,6.802414351983712e+19
2021-03-16,4.314039357964007e+19
2021-04-01,6.303650731774842e+19
2021-04-16,9.643989697581199e+19
2021-05-01,4.89736638295335e+19
2021-05-16,9.167339744790106e+17
2021-06-01,-8.867519790688401e+18
2021-06-16,-5.346766079989017e+19
2021-07-01,-8.577813783113889e+18
2021-07-16,8.210073991634213e+19
2021-08-01,1.5881363295349113e+19
2021-08-16,7.623798967681406e+19
2021-09-01,
2021-09-16,6.3903986879379735e+19
2021-10-01,3.93362175644987e+18
2021-10-16,8.937608894337419e+19
2021-11-01,1.2237720892545714e+20
2021-11-16,-4.836000376087644e+19
2021-12-01,-2.329953325212463e+19
2021-12-16,-4.188774079776218e+19
2022-01-01,-5.99267742954994e+18
2022-01-16,2.7724088096056336e+19
2022-02-01,5.484860744323068e+19
2022-02-16,5.7014309983404155e+19
2022-03-01,1.1722564734237652e+20
2022-03-16,1.692838493516252e+20
2022-04-01,1.1296559340008155e+20
2022-04-16,1.1006629582945133e+20
2022-05-01,2.8047225582934483e+19
2022-05-16,2.808570228888242e+19
2022-06-01,4.139736599576003e+19
2022-06-16,2.0803033217944975e+18
2022-07-01,2.3376029709004253e+20
2022-07-16,2.90511201136052e+19
2022-08-01,4.963271074660857e+19
2022-08-16,-2.7088224258509353e+18
2022-09-01,-5.450354627727204e+18
2022-09-16,-7.915523837435963e+18
2022-10-01,-7.93199816974076e+19
2022-10-16,3.814523159887979e+19
2022-11-01,-2.850497893145368e+19
2022-11-16,3.909083154784625e+19
2022-12-01,-3.9295394780166e+19
2022-12-16,2.3523710615417713e+19
2023-01-01,7.95776376763432e+19
2023-01-16,5.406782327735497e+19
2023-02-01,1.4185255980504488e+20
2023-02-16,1.390524863606399e+20
2023-03-01,7.59407602632787e+19
2023-03-16,1.0173427078454043e+20
2023-04-01,7.617581544393674e+19
2023-04-16,5.119486758122927e+19
2023-05-01,7.562055893304487e+19
2023-05-16,8.156029983113262e+19
2023-06-01,4.481130502411004e+19
2023-06-16,-5.830561715653779e+18
2023-07-01,-1.9262687999044714e+19
2023-07-16,-1.1761254126752824e+20
2023-08-01,-3.2181728792209203e+18
2023-08-16,9.421606651463262e+19
2023-09-01,2.894390495849571e+19
2023-09-16,7.202827415779649e+19
2023-10-01,-3.091084695405683e+19
2023-10-16,1.4317580012016564e+19
2023-11-01,-3.1711375174704353e+19
2023-11-16,9.855552926899218e+18
2023-12-01,-1.9022324251313308e+19
2023-12-16,-2.3363100592972358e+19
