date,mean_concentration
2019-01-01,-5.190507874145367e+19
2019-01-16,2.5019310529792782e+19
2019-02-01,1.7611365082702356e+19
2019-02-16,4.006266848627542e+19
2019-03-01,4.841382354011064e+19
2019-03-16,9.304826513536593e+19
2019-04-01,1.2274662320782459e+20
2019-04-16,6.692522572423568e+19
2019-05-01,5.931686020697211e+19
2019-05-16,4.368675906287995e+19
2019-06-01,6.949989587621197e+19
2019-06-16,1.5914223306383628e+19
2019-07-01,-5.693253381729067e+19
2019-07-16,-2.501573687623942e+19
2019-08-01,-3.877783700406996e+19
2019-08-16,-2.1124231103826457e+19
2019-09-01,-7.701388814693902e+18
2019-09-16,1.545749104960618e+20
2019-10-01,-4.9127400685146644e+19
2019-10-16,-9.106926857464506e+19
2019-11-01,1.0956544257087482e+18
2019-11-16,5.304460591291016e+18
2019-12-01,-1.0319264039977497e+19
2019-12-16,4.269000591837052e+19
2020-01-01,9.72927614116358e+18
2020-01-16,-2.284820919970756e+19
2020-02-01,2.3065535591583887e+19
2020-02-16,3.4882662573340165e+18
2020-03-01,4.770441879773249e+18
2020-03-16,6.3657403311414166e+19
2020-04-01,6.479594304142143e+19
2020-04-16,5.5344402074994975e+19
2020-05-01,5.429555972694587e+19
2020-05-16,7.127580465992131e+19
2020-06-01,-6.934058793436898e+18
2020-06-16,-5.328834930616655e+19
2020-07-01,-5.908918707532066e+19
2020-07-16,-2.55480510562642e+19
2020-08-01,-3.265732574615077e+19
2020-08-16,6.678283676336195e+18
2020-09-01,1.337164164666409e+19
2020-09-16,9.253493085865386e+18
2020-10-01,4.80354832883714e+19
2020-10-16,-1.293255355918739e+19
2020-11-01,2.6842366139438227e+19
2020-11-16,8.197312852522977e+19
2020-12-01,1.2988140948225573e+20
2020-12-16,7.376463971686917e+19
2021-01-01,4.369421254560621e+19
2021-01-16,1.0045429759115641e+20
2021-02-01,3.238776080259056e+19
2021-02-16,2.122196812319389e+19
2021-03-01,7.331575909276704e+19
2021-03-16,3.142988659160804e+19
2021-04-01,9.556669489172354e+19
2021-04-16,1.2676851454089775e+20
2021-05-01,6.215722163887485e+19
2021-05-16,6.272067819731358e+19
2021-06-01,2.903572253571137e+19
2021-06-16,-1.9864740037325808e+19
2021-07-01,-2.698010960292775e+19
2021-07-16,3.3555718657411043e+19
2021-08-01,-5.182815022404853e+18
2021-08-16,-2.1536629614622495e+19
2021-09-01,2.0856540051114665e+18
2021-09-16,3.962459596797812e+19
2021-10-01,1.5144006711272096e+19
2021-10-16,2.4361219707781784e+19
2021-11-01,-4.965684005189247e+19
2021-11-16,4.843915638721445e+19
2021-12-01,1.0132545299701223e+20
2021-12-16,1.4766752266054962e+20
2022-01-01,-3.7052810238194847e+18
2022-01-16,3.22953518289889e+19
2022-02-01,9.19295924374083e+19
2022-02-16,1.0831306022252028e+19
2022-03-01,6.484744620737512e+19
2022-03-16,6.8941339639168655e+19
2022-04-01,5.640979816194919e+19
2022-04-16,2.918801289560008e+19
2022-05-01,6.3863835357927416e+19
2022-05-16,5.083909949167862e+19
2022-06-01,7.595667517434274e+19
2022-06-16,2.960425241420155e+19
2022-07-01,-1.3339581332331018e+18
2022-07-16,-1.0505781258415417e+20
2022-08-01,-4.4064703347270513e+18
2022-08-16,-4.719395283204042e+18
2022-09-01,4.72371736937562e+19
2022-09-16,2.7314721580433687e+19
2022-10-01,-3.894252864549547e+19
2022-10-16,2.4589769942277214e+19
2022-11-01,-2.506278244017749e+19
2022-11-16,5.7911331690906345e+19
2022-12-01,2.504132145125644e+19
2022-12-16,8.522524533927831e+19
2023-01-01,5.211558660744384e+19
2023-01-16,4.949493748631665e+18
2023-02-01,5.608645334021215e+19
2023-02-16,8.972780257962805e+19
2023-03-01,6.158680179987628e+19
2023-03-16,4.427443566879495e+19
2023-04-01,6.278409129726379e+19
2023-04-16,2.452820081485055e+19
2023-05-01,7.8343597030579e+19
2023-05-16,6.8650663501892305e+19
2023-06-01,4.741232818915472e+19
2023-06-16,5.206053985493844e+17
2023-07-01,-7.038566560329348e+19
2023-07-16,-6.389623558286791e+18
2023-08-01,-5.867005419134992e+19
2023-08-16,3.6433466535949275e+19
2023-09-01,8.899652101064824e+19
2023-09-16,3.809219909356655e+19
2023-10-01,3.732625376061612e+19
2023-10-16,2.296370775606e+19
2023-11-01,-3.2981072317646025e+19
2023-11-16,1.705688207700956e+19
2023-12-01,1.1799155386399069e+20
2023-12-16,7.876553418489772e+19
