date,mean_concentration
2019-01-01,9.699265086723424e+19
2019-01-16,1.712805352439187e+19
2019-02-01,6.160470326905405e+19
2019-02-16,1.3718171974145317e+19
2019-03-01,2.8668070006526013e+19
2019-03-16,-2.3386985199722344e+19
2019-04-01,3.93986265844742e+19
2019-04-16,-2.914890495882431e+19
2019-05-01,3.2840237721141527e+19
2019-05-16,1.9387623695297794e+19
2019-06-01,3.1833639301356302e+19
2019-06-16,1.7301062008127683e+19
2019-07-01,4.76931841956506e+19
2019-07-16,2.6453057892423254e+19
2019-08-01,3.3060164833117065e+19
2019-08-16,1.456574250629512e+20
2019-09-01,7.248566510388106e+19
2019-09-16,6.4783062701500195e+19
2019-10-01,-7.330519837587271e+18
2019-10-16,1.3265273198524472e+20
2019-11-01,8.731410054528228e+18
2019-11-16,4.460381789124601e+19
2019-12-01,1.0792244911065081e+20
2019-12-16,7.345086661412935e+19
2020-01-01,7.734022694315867e+19
2020-01-16,1.9388062242620834e+19
2020-02-01,4.547616271403738e+19
2020-02-16,3.583321675868627e+19
2020-03-01,4.321993245024144e+19
2020-03-16,7.774223294392088e+18
2020-04-01,3.632248968107182e+17
2020-04-16,1.021963287153418e+19
2020-05-01,-9.180299440846306e+18
2020-05-16,2.111935139115277e+19
2020-06-01,7.418024111276887e+18
2020-06-16,5.0981916471731446e+19
2020-07-01,2.7074788493407076e+19
2020-07-16,5.067884377421073e+19
2020-08-01,6.411215067967663e+18
2020-08-16,-3.3526530117009736e+19
2020-09-01,7.874427643892398e+19
2020-09-16,3.010003238884969e+19
2020-10-01,3.395550919502165e+19
2020-10-16,-3.0086730316048597e+19
2020-11-01,1.8708545047189148e+19
2020-11-16,8.91064342146445e+19
2020-12-01,5.4459844469255365e+19
2020-12-16,1.3244977433767795e+19
2021-01-01,8.966864507660103e+19
2021-01-16,3.206669590392467e+18
2021-02-01,1.289377688865569e+20
2021-02-16,2.3317460681987777e+19
2021-03-01,-1.445655021498386e+19
2021-03-16,-4.8759017605332705e+19
2021-04-01,9.192752428789144e+19
2021-04-16,2.314322899131526e+19
2021-05-01,-5.198589612002852e+17
2021-05-16,2.6940471262012584e+19
2021-06-01,-3.6351020996376293e+19
2021-06-16,1.6590679906461497e+19
2021-07-01,2.8657538389409858e+19
2021-07-16,4.832000498279657e+19
2021-08-01,9.14856879482092e+19
2021-08-16,3.81737117670952e+19
2021-09-01,-1.3254455706207e+19
2021-09-16,4.596729909170018e+19
2021-10-01,
2021-10-16,-1.0266629989248152e+19
2021-11-01,9.057083964385382e+19
2021-11-16,4.722145473647625e+19
2021-12-01,4.038154329575098e+19
2021-12-16,3.140380959860082e+19
2022-01-01,1.989973292560498e+18
2022-01-16,1.0271801663744737e+20
2022-02-01,6.977148193585322e+19
2022-02-16,8.867410075344075e+19
2022-03-01,5.567491284984731e+19
2022-03-16,1.0489433099276285e+20
2022-04-01,2.5478951237550567e+19
2022-04-16,-2.765016878557123e+19
2022-05-01,5.065385939950852e+19
2022-05-16,9.206954533379887e+18
2022-06-01,3.840964480376609e+19
2022-06-16,-2.5588298869656752e+19
2022-07-01,6.1490840923518255e+19
2022-07-16,6.010098197240714e+18
2022-08-01,-5.348255093934638e+18
2022-08-16,5.203159549294753e+19
2022-09-01,-9.80044812397021e+18
2022-09-16,2.495854217317238e+19
2022-10-01,5.185708430220354e+17
2022-10-16,1.045627847553793e+20
2022-11-01,1.6842167463368333e+19
2022-11-16,2.531894757713463e+19
2022-12-01,-2.644672587433889e+18
2022-12-16,5.405625572525718e+19
2023-01-01,7.187315077843762e+19
2023-01-16,8.82765774008979e+19
2023-02-01,7.341494086370578e+19
2023-02-16,2.2211973108117475e+19
2023-03-01,-5.123961073559379e+18
2023-03-16,1.179602685429075e+19
2023-04-01,3.0211869547251106e+19
2023-04-16,2.917033970935277e+19
2023-05-01,4.1656004730951156e+19
2023-05-16,1.231831523413443e+19
2023-06-01,3.17588624683737e+19
2023-06-16,-1.8820474587362263e+19
2023-07-01,7.3512522664517214e+19
2023-07-16,1.0085593707045044e+19
2023-08-01,1.9640737367119024e+19
2023-08-16,2.651996758297696e+19
2023-09-01,2.8268514828073906e+19
2023-09-16,-5.445164032337743e+18
2023-10-01,-1.7457733745480298e+19
2023-10-16,1.2841427712237553e+20
2023-11-01,-8.689827278622193e+18
2023-11-16,2.9843066447543316e+19
2023-12-01,5.4546920051667e+19
2023-12-16,2.320509739903441e+19
