date,mean_concentration
2019-01-01,-8.791016326449719e+18
2019-01-16,7.141828281340575e+19
2019-02-01,2.2531026602918917e+20
2019-02-16,1.1095413531253093e+20
2019-03-01,1.1202403906639931e+20
2019-03-16,1.602451261495928e+20
2019-04-01,1.4404031916897732e+20
2019-04-16,1.022547674167043e+20
2019-05-01,8.705172880877627e+19
2019-05-16,8.139997799904484e+19
2019-06-01,1.0822716583972864e+20
2019-06-16,1.139156897825942e+20
2019-07-01,4.468466976689661e+19
2019-07-16,6.1357360703454405e+19
2019-08-01,-2.820679731389374e+19
2019-08-16,2.974112090942771e+19
2019-09-01,5.967566768696967e+18
2019-09-16,1.5317327179864353e+19
2019-10-01,-4.256712745619187e+19
2019-10-16,-6.538131320144362e+19
2019-11-01,-4.582884798922641e+19
2019-11-16,1.1944357390351045e+20
2019-12-01,2.050411520988166e+20
2019-12-16,5.1986743495802683e+20
2020-01-01,2.162868229535888e+20
2020-01-16,2.261338796128246e+20
2020-02-01,7.574431213804198e+19
2020-02-16,2.06163656627604e+20
2020-03-01,7.597553717809534e+18
2020-03-16,9.021578662998848e+19
2020-04-01,1.1637308753971978e+20
2020-04-16,8.61054871974876e+19
2020-05-01,8.327646376651642e+18
2020-05-16,9.782516786904623e+19
2020-06-01,3.482450209589932e+19
2020-06-16,2.803333509849426e+19
2020-07-01,1.2196850643015981e+19
2020-07-16,-6.714334956832158e+19
2020-08-01,1.1696762170474789e+19
2020-08-16,6.886695835941737e+18
2020-09-01,1.8803234067865706e+19
2020-09-16,3.804893388110162e+19
2020-10-01,9.731300929446496e+18
2020-10-16,-3.5337406932260116e+18
2020-11-01,2.7542415433005335e+19
2020-11-16,1.564675041920216e+20
2020-12-01,2.0882698084271115e+20
2020-12-16,1.931884780983816e+20
2021-01-01,1.0677861642586884e+19
2021-01-16,2.364774348964661e+19
2021-02-01,1.0436063650939365e+20
2021-02-16,7.3136338243221365e+19
2021-03-01,9.914284282890417e+19
2021-03-16,-2.3816351454342164e+19
2021-04-01,8.163202070242071e+19
2021-04-16,1.1889849461315786e+20
2021-05-01,8.721264972300036e+19
2021-05-16,1.1976842742700147e+20
2021-06-01,3.6784963820621582e+19
2021-06-16,1.0029822486508759e+20
2021-07-01,6.469996634591084e+19
2021-07-16,-3.307999607347737e+18
2021-08-01,6.296644758034866e+19
2021-08-16,8.413247579184603e+19
2021-09-01,3.6267289390346215e+19
2021-09-16,1.595293728370617e+19
2021-10-01,-2.5008184928171434e+19
2021-10-16,4.469175800444969e+19
2021-11-01,1.2049823161131837e+20
2021-11-16,2.37277311183513e+20
2021-12-01,1.6010603961634377e+20
2021-12-16,2.7790803963515768e+20
2022-01-01,4.433846638079151e+20
2022-01-16,1.4426349441532092e+20
2022-02-01,4.176325572264498e+19
2022-02-16,1.0662599256773417e+20
2022-03-01,5.958314323648499e+19
2022-03-16,3.2019845938159895e+19
2022-04-01,8.636144860387418e+19
2022-04-16,6.693585907948313e+19
2022-05-01,4.003663382670512e+19
2022-05-16,7.470429825140577e+19
2022-06-01,1.0165611924373216e+20
2022-06-16,4.922457022733773e+19
2022-07-01,-3.7093734040926423e+18
2022-07-16,4.763830824598018e+18
2022-08-01,7.820597414323125e+18
2022-08-16,6.36082137370802e+19
2022-09-01,6.609632049362278e+19
2022-09-16,3.3502824225875794e+18
2022-10-01,-8.217423052490893e+19
2022-10-16,9.050183657220188e+19
2022-11-01,6.448803632847059e+19
2022-11-16,1.4745799174871826e+20
2022-12-01,4.11165229600416e+20
2022-12-16,1.948395385279807e+20
2023-01-01,1.7748634057781258e+20
2023-01-16,2.3245682448690512e+20
2023-02-01,8.573798334461436e+19
2023-02-16,4.299360768694737e+19
2023-03-01,5.171638433693688e+19
2023-03-16,8.486562134916312e+19
2023-04-01,6.143773588198297e+19
2023-04-16,7.62389936237246e+19
2023-05-01,9.929031357956986e+19
2023-05-16,1.1628681323806604e+20
2023-06-01,1.1482030922044867e+20
2023-06-16,3.958611513392834e+19
2023-07-01,3.4240509444606435e+19
2023-07-16,9.926817700872505e+18
2023-08-01,-5.687767268974096e+19
2023-08-16,3.844359330322801e+19
2023-09-01,2.1873445472968962e+19
2023-09-16,6.165982467360908e+19
2023-10-01,1.0667316960152936e+20
2023-10-16,8.57150946943926e+18
2023-11-01,1.5507685839991203e+20
2023-11-16,2.4203903710032753e+20
2023-12-01,3.257080341165887e+20
2023-12-16,3.423550258497487e+20
