date,mean_concentration
2019-01-01,9.084890450166343e+19
2019-01-16,5.750270921230879e+19
2019-02-01,1.087750713903528e+20
2019-02-16,7.916944362175337e+19
2019-03-01,4.495966237478521e+19
2019-03-16,5.757443216576212e+19
2019-04-01,1.1113655390898856e+20
2019-04-16,8.501745528501885e+19
2019-05-01,4.698410191920073e+19
2019-05-16,5.11602341877621e+19
2019-06-01,8.553401960716696e+19
2019-06-16,2.3411260490951885e+19
2019-07-01,-1.472551004986432e+19
2019-07-16,-2.6162635896560366e+19
2019-08-01,-4.648433898233219e+19
2019-08-16,1.0904381646087071e+20
2019-09-01,3.745525913802721e+19
2019-09-16,5.649165349584264e+19
2019-10-01,-2.286387433786776e+19
2019-10-16,-1.4116500475528073e+19
2019-11-01,1.403454923963951e+20
2019-11-16,9.58097672913118e+19
2019-12-01,1.6613714295345935e+20
2019-12-16,3.156193992896455e+20
2020-01-01,1.1592538944539214e+20
2020-01-16,3.916637434318414e+19
2020-02-01,6.994778662886204e+19
2020-02-16,
2020-03-01,-9.144402815168938e+18
2020-03-16,6.850933451114913e+19
2020-04-01,7.330311521021144e+19
2020-04-16,7.262613898730079e+19
2020-05-01,5.312719399274972e+19
2020-05-16,3.2016749731380777e+19
2020-06-01,2.680707783761568e+19
2020-06-16,5.6925439704356454e+17
2020-07-01,-4.352647685439638e+19
2020-07-16,2.7522578633852015e+19
2020-08-01,-3.4490149455839375e+19
2020-08-16,-3.116161969217087e+19
2020-09-01,-8.586709061369299e+18
2020-09-16,2.944611656807161e+19
2020-10-01,3.767178787090202e+19
2020-10-16,6.486765843186661e+18
2020-11-01,7.044036762541861e+19
2020-11-16,1.9456697655733938e+20
2020-12-01,1.3935762320788721e+20
2020-12-16,2.434077851814991e+20
2021-01-01,4.0716763452291344e+20
2021-01-16,-1.0521872512040202e+19
2021-02-01,1.1247966262956732e+20
2021-02-16,-3.8919679512111584e+17
2021-03-01,1.941878251066158e+19
2021-03-16,1.4901749396825203e+19
2021-04-01,7.027963254319425e+19
2021-04-16,1.2519070783175018e+20
2021-05-01,5.254566381383787e+19
2021-05-16,3.9896373262617485e+19
2021-06-01,2.40030471974113e+19
2021-06-16,8.29786371746795e+19
2021-07-01,2.320003772663217e+19
2021-07-16,9.693559187125522e+19
2021-08-01,-1.2364553638072721e+19
2021-08-16,1.7778166795060105e+19
2021-09-01,5.011177079828038e+19
2021-09-16,2.6987244906118242e+19
2021-10-01,3.220475019211418e+18
2021-10-16,8.224393884118669e+18
2021-11-01,4.9792108964216635e+19
2021-11-16,1.8094634304279108e+20
2021-12-01,1.481356582707265e+20
2021-12-16,1.2547042545327283e+20
2022-01-01,2.978488805111791e+20
2022-01-16,1.577402212549578e+20
2022-02-01,9.358772466159534e+19
2022-02-16,6.4483262345409266e+19
2022-03-01,1.8872928440933552e+19
2022-03-16,6.496564570619247e+19
2022-04-01,1.1532935992215601e+20
2022-04-16,5.6682664406626075e+19
2022-05-01,6.008220041291971e+19
2022-05-16,9.17245900041225e+19
2022-06-01,7.260859637843364e+19
2022-06-16,4.794261859406141e+19
2022-07-01,4.0493583957062287e+18
2022-07-16,7.220778793378777e+19
2022-08-01,7.565554446147486e+18
2022-08-16,3.129694830353886e+19
2022-09-01,3.306713475294981e+19
2022-09-16,-4.635626265295002e+18
2022-10-01,-1.0853344779367298e+20
2022-10-16,9.52869652241976e+19
2022-11-01,1.6753359350087772e+20
2022-11-16,1.4065730513583265e+20
2022-12-01,2.1484160267823412e+20
2022-12-16,2.070355022206416e+20
2023-01-01,2.8590820887285256e+19
2023-01-16,3.678996812566328e+19
2023-02-01,2.731309481621212e+19
2023-02-16,2.8988218471768584e+19
2023-03-01,3.491058614057444e+19
2023-03-16,1.815021084737262e+19
2023-04-01,3.659755825065218e+19
2023-04-16,1.719886913568549e+19
2023-05-01,6.133951151418922e+19
2023-05-16,6.105844498306349e+19
2023-06-01,6.872373063999874e+19
2023-06-16,4.449819054060226e+19
2023-07-01,5.40963101394107e+19
2023-07-16,1.9333481616880173e+19
2023-08-01,
2023-08-16,3.4672720885986484e+19
2023-09-01,7.009086264701817e+19
2023-09-16,5.339376970461863e+19
2023-10-01,1.1986533051468136e+19
2023-10-16,3.1184054069921735e+19
2023-11-01,1.4016670025183406e+19
2023-11-16,7.396182059240047e+19
2023-12-01,1.64361473586612e+20
2023-12-16,2.5215347072638815e+20
