date,mean_concentration
2019-01-01,4.5601099570589155e+19
2019-01-16,3.732594418752971e+19
2019-02-01,4.706086171055469e+19
2019-02-16,2.23733028270081e+19
2019-03-01,1.2908766557590125e+20
2019-03-16,9.929545474629353e+19
2019-04-01,1.3162218774382787e+20
2019-04-16,4.531970492995258e+19
2019-05-01,7.2817512607693685e+19
2019-05-16,2.243680921016186e+19
2019-06-01,3.688938469862179e+19
2019-06-16,5.031233026870026e+19
2019-07-01,-1.2301148449114428e+20
2019-07-16,-3.773225730260689e+19
2019-08-01,2.193306085112388e+17
2019-08-16,-1.7511823072702825e+18
2019-09-01,-7.176614204253719e+19
2019-09-16,1.0834553696002386e+20
2019-10-01,1.3257362896909949e+19
2019-10-16,-1.3013995380215192e+19
2019-11-01,-2.5171401902158946e+19
2019-11-16,-3.0286930426216608e+19
2019-12-01,2.9243296061603415e+18
2019-12-16,-6.894941035604213e+19
2020-01-01,
2020-01-16,-7.228597815329637e+19
2020-02-01,-1.2273501576860359e+19
2020-02-16,5.8483388969071e+19
2020-03-01,-8.849882382937708e+18
2020-03-16,1.3704881281216905e+20
2020-04-01,9.335546099414575e+19
2020-04-16,5.570272955892182e+19
2020-05-01,1.0654812121186128e+19
2020-05-16,1.085184677671037e+20
2020-06-01,-5.716645853551198e+19
2020-06-16,1.4004834551394779e+20
2020-07-01,1.5871955431964852e+19
2020-07-16,3.376704878262342e+19
2020-08-01,-2.062521065547288e+18
2020-08-16,-9.086105476308299e+19
2020-09-01,1.456806709312485e+20
2020-09-16,-1.2139033596758766e+19
2020-10-01,1.8741847200037578e+18
2020-10-16,1.7022114405687976e+19
2020-11-01,7.59093450123614e+19
2020-11-16,1.3391592898528795e+20
2020-12-01,2.3023806718971717e+20
2020-12-16,9.455187272896673e+19
2021-01-01,3.3065373214061027e+19
2021-01-16,4.714220468006525e+19
2021-02-01,-1.854827551575151e+19
2021-02-16,6.8468564925983646e+19
2021-03-01,1.0900243772727443e+20
2021-03-16,3.4056776033825755e+19
2021-04-01,9.030062422176191e+19
2021-04-16,1.115647593557765e+20
2021-05-01,1.339329510347381e+19
2021-05-16,8.368352412545029e+19
2021-06-01,3.8818471530917724e+19
2021-06-16,
2021-07-01,-2.1329424463009473e+19
2021-07-16,-6.955120459507821e+19
2021-08-01,7.423752274017618e+19
2021-08-16,4.734783851906191e+19
2021-09-01,5.294861842459577e+19
2021-09-16,-6.83445337612684e+18
2021-10-01,-2.345612596616138e+19
2021-10-16,-4.5485423631177695e+19
2021-11-01,4.7626470536980144e+19
2021-11-16,1.0142128566741749e+20
2021-12-01,4.6805664438475825e+19
2021-12-16,6.874594264352818e+19
2022-01-01,1.3827107846525996e+20
2022-01-16,-4.96085360574388e+19
2022-02-01,-8.17239732757185e+18
2022-02-16,4.856774354753602e+19
2022-03-01,8.875425133432319e+19
2022-03-16,4.112595577762532e+19
2022-04-01,1.3045037561218503e+20
2022-04-16,5.291946644591053e+19
2022-05-01,7.886016872411059e+19
2022-05-16,8.407606410883747e+19
2022-06-01,9.442369232122574e+19
2022-06-16,2.529893108325187e+19
2022-07-01,-4.045756884982766e+18
2022-07-16,-2.8755521572522685e+18
2022-08-01,2.400781919882761e+18
2022-08-16,-6.861068362553574e+18
2022-09-01,3.4720141317217784e+19
2022-09-16,2.828979920744078e+19
2022-10-01,3.2557570939867214e+19
2022-10-16,-3.3339794752849215e+19
2022-11-01,-7.409143116936887e+18
2022-11-16,1.8399839025224194e+19
2022-12-01,2.047899572316379e+19
2022-12-16,-2.1052099124723245e+19
2023-01-01,8.06666695458259e+19
2023-01-16,-1.501691892550431e+19
2023-02-01,8.452703829750338e+19
2023-02-16,9.830709468606746e+19
2023-03-01,8.11421898712033e+19
2023-03-16,6.9674261869256385e+19
2023-04-01,6.06399193106913e+19
2023-04-16,8.123047589936839e+19
2023-05-01,3.519372355811499e+19
2023-05-16,7.109860369433601e+19
2023-06-01,6.249041929370996e+19
2023-06-16,5.355808248366875e+18
2023-07-01,-1.0259758484457511e+20
2023-07-16,-4.35239615847269e+19
2023-08-01,2.2023180048554302e+20
2023-08-16,2.3238642899559195e+19
2023-09-01,3.6202173578140307e+19
2023-09-16,5.774135596857647e+19
2023-10-01,3.636187397117889e+19
2023-10-16,-3.4869723935239183e+18
2023-11-01,-3.7696043700445585e+19
2023-11-16,8.73443914141313e+19
2023-12-01,7.934051917926338e+19
2023-12-16,5.3604287501692985e+19
