date,mean_concentration
2019-01-01,1.5438539751407518e+20
2019-01-16,1.1431526024864385e+20
2019-02-01,2.6261217409997593e+20
2019-02-16,1.767163045831966e+20
2019-03-01,2.2430959815803994e+20
2019-03-16,2.569099963201615e+20
2019-04-01,2.2596777724940222e+20
2019-04-16,2.076864087304611e+20
2019-05-01,1.2738043506102536e+20
2019-05-16,1.7247610959050772e+20
2019-06-01,1.1336126653409544e+20
2019-06-16,7.013376501083707e+18
2019-07-01,2.5090165005745476e+19
2019-07-16,3.0186317043735273e+19
2019-08-01,-3.1135907375009665e+19
2019-08-16,-5.653973216293557e+19
2019-09-01,
2019-09-16,1.0516110629443903e+20
2019-10-01,1.0564560441672557e+20
2019-10-16,1.7611041478510658e+20
2019-11-01,9.43858629033409e+19
2019-11-16,2.0310283465127133e+20
2019-12-01,4.4105010756714195e+20
2019-12-16,3.8051840672672494e+20
2020-01-01,3.4683263498772906e+20
2020-01-16,8.9794112820365e+19
2020-02-01,2.922138464606105e+20
2020-02-16,2.280410111259648e+20
2020-03-01,3.108037789229019e+20
2020-03-16,1.8752697914339223e+20
2020-04-01,1.1666201324234752e+20
2020-04-16,6.8969194150374064e+19
2020-05-01,8.909894208639743e+19
2020-05-16,1.0532664003063362e+20
2020-06-01,2.0284419090810216e+19
2020-06-16,4.531928518549632e+19
2020-07-01,-3.3256445354532594e+19
2020-07-16,-3.096999438958929e+19
2020-08-01,-3.908324433736587e+19
2020-08-16,-3.198951356243066e+19
2020-09-01,1.7377485291506962e+18
2020-09-16,2.559869054363846e+20
2020-10-01,4.669598589938368e+19
2020-10-16,1.2316473916108027e+20
2020-11-01,1.553471492209359e+20
2020-11-16,2.345608130121364e+20
2020-12-01,3.755687506424724e+20
2020-12-16,2.3740901001675496e+20
2021-01-01,4.625133713381682e+20
2021-01-16,2.147602602745598e+20
2021-02-01,2.4359288008623374e+20
2021-02-16,2.654768006597411e+20
2021-03-01,2.213492847283547e+20
2021-03-16,1.0392465162385469e+20
2021-04-01,2.2138400581637656e+20
2021-04-16,2.422546458465344e+20
2021-05-01,1.626590335151839e+20
2021-05-16,1.3939971756149703e+20
2021-06-01,5.57676009045929e+19
2021-06-16,1.0809740249047037e+20
2021-07-01,8.645451234911376e+19
2021-07-16,1.3007086402554757e+20
2021-08-01,6.890612027651111e+19
2021-08-16,5.676401541442584e+19
2021-09-01,1.3777423201851757e+20
2021-09-16,1.0518085331431054e+20
2021-10-01,1.6144239977912893e+20
2021-10-16,2.0835104683007184e+20
2021-11-01,1.6842979236253326e+20
2021-11-16,2.55071989665763e+20
2021-12-01,4.4377110057809084e+20
2021-12-16,1.498738552181174e+20
2022-01-01,4.432566362950388e+20
2022-01-16,2.0442553450564908e+20
2022-02-01,2.326240656678483e+20
2022-02-16,2.243269364313264e+20
2022-03-01,2.9233494491199622e+20
2022-03-16,2.301172945918016e+20
2022-04-01,1.8489561467950803e+20
2022-04-16,1.613712183193026e+20
2022-05-01,1.624906433519837e+20
2022-05-16,5.0337188025379004e+19
2022-06-01,1.552528893117423e+20
2022-06-16,1.0026134611516252e+20
2022-07-01,
2022-07-16,6.520834930205912e+19
2022-08-01,1.4110074741667784e+20
2022-08-16,3.8013267373812376e+19
2022-09-01,1.5051772898856953e+20
2022-09-16,1.5105057522222957e+20
2022-10-01,8.43915210822564e+19
2022-10-16,1.7014976097545768e+20
2022-11-01,2.1648992928584774e+20
2022-11-16,2.3000957118315217e+20
2022-12-01,2.219489777047995e+20
2022-12-16,2.2556209154655443e+20
2023-01-01,3.574800038826487e+20
2023-01-16,2.340548505664439e+20
2023-02-01,1.8168008076743393e+20
2023-02-16,2.9961736706353915e+20
2023-03-01,3.390394493079006e+20
2023-03-16,3.019420923668898e+20
2023-04-01,2.0653868791856834e+20
2023-04-16,1.8955511694534695e+20
2023-05-01,2.706481482921663e+20
2023-05-16,1.31087701057399e+20
2023-06-01,1.1926700652511873e+20
2023-06-16,6.6619855635954115e+19
2023-07-01,2.9764399000011204e+20
2023-07-16,-6.411005972631333e+18
2023-08-01,-1.4424950945614664e+19
2023-08-16,7.112151995281554e+19
2023-09-01,1.3777191906243645e+20
2023-09-16,7.594984175113413e+19
2023-10-01,1.591770742499777e+20
2023-10-16,2.6286873790524958e+20
2023-11-01,1.9753902907500046e+20
2023-11-16,4.045267100899903e+20
2023-12-01,2.5803593589604594e+20
2023-12-16,3.5860829542229685e+20
