date,mean_concentration
2019-01-01,6.4874121434496295e+19
2019-01-16,1.1219894053390788e+20
2019-02-01,7.184272314213637e+19
2019-02-16,6.9245457160564466e+19
2019-03-01,6.558058728638243e+19
2019-03-16,9.580379695687736e+19
2019-04-01,7.866808552928068e+19
2019-04-16,9.17215046431679e+19
2019-05-01,1.1150314585499573e+20
2019-05-16,9.181765118015337e+19
2019-06-01,5.6644067247369314e+19
2019-06-16,3.686607106913035e+19
2019-07-01,-1.5751927418423489e+19
2019-07-16,-7.334048015990458e+18
2019-08-01,-1.0065209425582862e+19
2019-08-16,-5.141876255108508e+19
2019-09-01,1.612739687619882e+20
2019-09-16,9.98747470592607e+18
2019-10-01,7.533780148741368e+17
2019-10-16,5.111693435641757e+19
2019-11-01,-1.3927601757660072e+19
2019-11-16,-1.2862786085919021e+20
2019-12-01,-8.276098416817771e+19
2019-12-16,2.0415151755304227e+19
2020-01-01,1.0774817601970582e+20
2020-01-16,3.449879766064523e+19
2020-02-01,5.470866838776256e+19
2020-02-16,8.388262741539488e+19
2020-03-01,6.54983125638594e+19
2020-03-16,7.190858248514287e+19
2020-04-01,2.6691688169783624e+19
2020-04-16,3.828057941280218e+19
2020-05-01,3.375681037297001e+19
2020-05-16,6.903320708234228e+19
2020-06-01,5.598807790972045e+19
2020-06-16,3.484208922394017e+19
2020-07-01,-7.439658697439126e+19
2020-07-16,-1.061560470987528e+18
2020-08-01,-5.994509210316109e+19
2020-08-16,-7.302935382868934e+19
2020-09-01,-2.17707743208945e+19
2020-09-16,4.116663149613943e+19
2020-10-01,4.563171696926169e+19
2020-10-16,3.433704451227265e+19
2020-11-01,5.200281881399113e+19
2020-11-16,-5.808008643168389e+18
2020-12-01,1.1845055310259849e+20
2020-12-16,9.58634936935782e+19
2021-01-01,8.74400288424357e+19
2021-01-16,1.0096649678399124e+20
2021-02-01,1.3314818913087563e+20
2021-02-16,1.1354921270627123e+20
2021-03-01,5.474951996303485e+19
2021-03-16,3.4596063770658226e+19
2021-04-01,9.31512743015517e+19
2021-04-16,8.632781779422608e+19
2021-05-01,3.827601201881637e+19
2021-05-16,3.027851654834959e+19
2021-06-01,6.988999544202407e+18
2021-06-16,-1.5578317969214347e+19
2021-07-01,-6.527037272080682e+19
2021-07-16,3.331107560648187e+19
2021-08-01,7.329973176749866e+19
2021-08-16,5.192098377985382e+19
2021-09-01,8.441175890903328e+19
2021-09-16,9.105752346859515e+19
2021-10-01,-9.55143518260153e+18
2021-10-16,6.2563324014523064e+19
2021-11-01,1.326722122276655e+20
2021-11-16,-6.693293784674619e+19
2021-12-01,8.832046204535982e+19
2021-12-16,7.181687302400409e+18
2022-01-01,8.542705730051425e+18
2022-01-16,1.092834971023421e+20
2022-02-01,1.4265162612002172e+20
2022-02-16,7.27343811301059e+19
2022-03-01,1.3596892021743657e+20
2022-03-16,1.547964751974814e+20
2022-04-01,1.236714852886822e+20
2022-04-16,1.2225459287311337e+20
2022-05-01,6.835002994258294e+19
2022-05-16,1.813660942864441e+18
2022-06-01,6.7120844037356995e+19
2022-06-16,-7.057615928163789e+19
2022-07-01,2.7380494208688607e+19
2022-07-16,1.4755653827752948e+19
2022-08-01,7.233424504958638e+19
2022-08-16,-2.271457459890375e+19
2022-09-01,2.897926153571954e+19
2022-09-16,4.92872106532949e+19
2022-10-01,2.6081123666178875e+19
2022-10-16,4.264637463507554e+19
2022-11-01,1.7120726672636166e+19
2022-11-16,9.305501839335981e+19
2022-12-01,2.158984622068273e+19
2022-12-16,-1.457548183168559e+19
2023-01-01,6.037379799668347e+19
2023-01-16,7.154585088870462e+19
2023-02-01,1.6345928031532748e+20
2023-02-16,1.8665384712126808e+20
2023-03-01,1.1294137463335523e+20
2023-03-16,1.455215018760758e+20
2023-04-01,8.472584843813785e+19
2023-04-16,5.83753594736942e+19
2023-05-01,6.397134592051023e+19
2023-05-16,7.0041133006505705e+19
2023-06-01,6.201949874150942e+19
2023-06-16,-1.5584102222932683e+19
2023-07-01,-9.334254544442642e+18
2023-07-16,
2023-08-01,-1.881072474584772e+19
2023-08-16,1.8330648728258947e+18
2023-09-01,
2023-09-16,7.530918936924655e+19
2023-10-01,5.8682302948167e+19
2023-10-16,4.114104581790975e+19
2023-11-01,1.4725410786942584e+20
2023-11-16,3.3937951392534925e+19
2023-12-01,2.389921290223768e+19
2023-12-16,1.1817977328781966e+20
