date,mean_concentration
2019-01-01,4.768807256815236e+19
2019-01-16,7.299137829995908e+19
2019-02-01,9.33101727349314e+19
2019-02-16,5.477465391360979e+19
2019-03-01,4.976715302547918e+19
2019-03-16,8.018223161936829e+19
2019-04-01,9.961050070634083e+19
2019-04-16,6.831755756883812e+19
2019-05-01,8.260543505531032e+19
2019-05-16,1.0377633371117452e+20
2019-06-01,6.032889350381261e+19
2019-06-16,4.543111133208244e+19
2019-07-01,-3.6931684274881756e+18
2019-07-16,-4.260771362097649e+19
2019-08-01,-8.462935598698827e+19
2019-08-16,-6.175315008618224e+18
2019-09-01,-2.7898573188016993e+18
2019-09-16,1.5126347843941308e+19
2019-10-01,3.792712117414735e+19
2019-10-16,-3.9184386276942275e+18
2019-11-01,-8.720972538377942e+18
2019-11-16,2.1909880111686e+19
2019-12-01,-5.187236829178645e+19
2019-12-16,4.733345760539763e+18
2020-01-01,9.26983875723659e+19
2020-01-16,6.422813033038061e+19
2020-02-01,5.726915071801633e+19
2020-02-16,3.679835450418731e+19
2020-03-01,2.4649133521896657e+19
2020-03-16,2.577802219241672e+19
2020-04-01,2.9960051681995424e+19
2020-04-16,1.968576925292214e+19
2020-05-01,4.788904800425704e+19
2020-05-16,6.654099159256842e+19
2020-06-01,6.010390478295158e+19
2020-06-16,-6.295011801183791e+19
2020-07-01,3.018719722718785e+19
2020-07-16,2.7597525482280133e+19
2020-08-01,
2020-08-16,-5.901804364702577e+19
2020-09-01,1.1959461808195725e+19
2020-09-16,1.282706001669766e+20
2020-10-01,1.1265527590751873e+20
2020-10-16,7.972665364040548e+19
2020-11-01,-7.800948947566887e+19
2020-11-16,-6.148802466927192e+19
2020-12-01,5.211828034571164e+19
2020-12-16,1.0248987950138448e+20
2021-01-01,4.782260153595572e+19
2021-01-16,9.155249950806624e+19
2021-02-01,8.875019073424407e+19
2021-02-16,1.1606234299802065e+20
2021-03-01,5.703057371886111e+19
2021-03-16,1.2003963140373668e+19
2021-04-01,6.0816741982433665e+19
2021-04-16,9.480231141364621e+19
2021-05-01,3.4869517026880426e+19
2021-05-16,2.1477955278172406e+19
2021-06-01,5.107571944429175e+19
2021-06-16,-5.420437934765561e+18
2021-07-01,-6.418542096763106e+19
2021-07-16,1.0585588910790097e+20
2021-08-01,4.610721689188173e+19
2021-08-16,3.3136422338983612e+19
2021-09-01,-3.0110265111250313e+19
2021-09-16,-3.328268661979708e+19
2021-10-01,5.616474664646467e+18
2021-10-16,7.333150115007294e+19
2021-11-01,3.1006349060505285e+20
2021-11-16,-2.5922618927045333e+19
2021-12-01,4.294971053012634e+18
2021-12-16,5.7408006315115364e+19
2022-01-01,2.1927091979059618e+19
2022-01-16,6.261428629657799e+19
2022-02-01,1.0454185034028206e+20
2022-02-16,6.698436625738024e+19
2022-03-01,8.250305535526101e+19
2022-03-16,1.9061486431651096e+20
2022-04-01,7.09595902700583e+19
2022-04-16,7.027262664976434e+19
2022-05-01,1.3463669263853132e+20
2022-05-16,1.1922066726446807e+19
2022-06-01,6.338393005550029e+19
2022-06-16,4.814141065956288e+19
2022-07-01,1.3811290352201725e+20
2022-07-16,2.1049494630885683e+19
2022-08-01,6.9308700276311654e+19
2022-08-16,-7.94703173407467e+18
2022-09-01,4.101020842409864e+19
2022-09-16,4.207149109120498e+19
2022-10-01,1.5380650126196402e+19
2022-10-16,3.317380157842169e+19
2022-11-01,-1.8417869670820055e+19
2022-11-16,1.7680243605784328e+19
2022-12-01,-4.862779051036015e+18
2022-12-16,6.033478109391812e+19
2023-01-01,5.409014246240058e+19
2023-01-16,4.677583948388503e+19
2023-02-01,1.4259777439047762e+20
2023-02-16,9.710794369822235e+19
2023-03-01,8.561824499590115e+19
2023-03-16,5.160739137594556e+19
2023-04-01,5.335051516245638e+19
2023-04-16,5.366251419435684e+19
2023-05-01,9.24156811165703e+19
2023-05-16,6.679034728118239e+19
2023-06-01,8.174125325720778e+19
2023-06-16,1.4834000361644489e+19
2023-07-01,3.3450137249638105e+19
2023-07-16,-1.5074726535171564e+19
2023-08-01,5.048559269118069e+19
2023-08-16,4.200576135790175e+19
2023-09-01,3.001676733597164e+19
2023-09-16,3.8347988863511e+19
2023-10-01,3.7158570658587574e+19
2023-10-16,7.560551300542317e+19
2023-11-01,5.021156483547035e+19
2023-11-16,1.7254195420448633e+19
2023-12-01,-2.0553573723616236e+19
2023-12-16,3.840288100631943e+19
