date,mean_concentration
2019-01-01,9.4156572275562e+19
2019-01-16,2.143903230218285e+20
2019-02-01,8.566599207373816e+19
2019-02-16,-4.3567696978036195e+19
2019-03-01,-5.324098512768072e+19
2019-03-16,-3.7011514959342486e+19
2019-04-01,1.0210221317489892e+20
2019-04-16,7.145438550346059e+19
2019-05-01,5.200373117193867e+19
2019-05-16,5.639765797441451e+19
2019-06-01,6.237241891124363e+19
2019-06-16,7.779409276806734e+19
2019-07-01,-8.692612134296613e+18
2019-07-16,5.065223302097852e+19
2019-08-01,-1.222917091845618e+20
2019-08-16,1.663423078498675e+20
2019-09-01,6.33339661932865e+18
2019-09-16,4.0921818306990336e+18
2019-10-01,-7.692313057844242e+19
2019-10-16,5.068651873062625e+19
2019-11-01,1.6430123899970562e+20
2019-11-16,8.732207888493329e+19
2019-12-01,2.827905287741357e+20
2019-12-16,5.748526973258126e+20
2020-01-01,3.397462380097095e+20
2020-01-16,3.298731679948546e+20
2020-02-01,1.390376916965001e+20
2020-02-16,3.803045969123821e+19
2020-03-01,-3.4422833139110867e+19
2020-03-16,1.6480680913953434e+19
2020-04-01,5.1641002868153745e+19
2020-04-16,5.635332304327136e+19
2020-05-01,5.205818414107785e+19
2020-05-16,8.045343733343093e+19
2020-06-01,2.6205482874791887e+19
2020-06-16,3.2189583888420078e+19
2020-07-01,-1.1921445334674262e+20
2020-07-16,-2.113620411029694e+19
2020-08-01,-1.2663879229709496e+20
2020-08-16,2.8463205580521357e+19
2020-09-01,-3.226457694687109e+19
2020-09-16,-1.3152021155118866e+19
2020-10-01,4.274970664754813e+19
2020-10-16,5.272537889335412e+19
2020-11-01,1.3025666076111795e+20
2020-11-16,2.219978505027813e+20
2020-12-01,2.8529936563285914e+20
2020-12-16,2.874293967215352e+20
2021-01-01,6.366287037474197e+20
2021-01-16,2.9253411107672798e+20
2021-02-01,1.5538512276925995e+20
2021-02-16,-2.92872028043773e+19
2021-03-01,3.710585329560246e+19
2021-03-16,-6.1852309888871465e+19
2021-04-01,7.032835705498332e+19
2021-04-16,6.744678968398503e+19
2021-05-01,8.966241315187901e+18
2021-05-16,1.8262007911754177e+19
2021-06-01,6.0041697695310455e+19
2021-06-16,8.229325412652717e+19
2021-07-01,5.9491359066716135e+19
2021-07-16,-7.081735375835252e+17
2021-08-01,-1.9632670328349688e+19
2021-08-16,4.117657538209073e+19
2021-09-01,-2.423133698375209e+19
2021-09-16,-1.38277611267155e+19
2021-10-01,4.5711001093320425e+19
2021-10-16,1.0527197959783539e+20
2021-11-01,8.480667449242149e+19
2021-11-16,3.4885757559681614e+20
2021-12-01,3.327147736655147e+20
2021-12-16,2.3155318762225022e+20
2022-01-01,4.409750938253701e+20
2022-01-16,3.914064104894761e+20
2022-02-01,1.550644994388933e+20
2022-02-16,7.68915005460762e+19
2022-03-01,7.0172425358353334e+19
2022-03-16,1.7159906765615354e+19
2022-04-01,2.5499953960629873e+18
2022-04-16,3.3545736005286597e+19
2022-05-01,5.118975815550831e+19
2022-05-16,4.7458271058612625e+19
2022-06-01,5.719172430009395e+19
2022-06-16,4.096649216317719e+19
2022-07-01,-1.677698992184711e+19
2022-07-16,-2.48139690103556e+19
2022-08-01,5.63318859582394e+19
2022-08-16,1.2339126461942606e+19
2022-09-01,1.3299440421667867e+19
2022-09-16,-2.932290683987279e+19
2022-10-01,-4.955788219651361e+19
2022-10-16,1.2333992305010408e+20
2022-11-01,3.956879296332216e+20
2022-11-16,3.2172142901349325e+20
2022-12-01,3.252364062654733e+20
2022-12-16,2.805768248159536e+20
2023-01-01,4.0332696926429807e+20
2023-01-16,2.044834258649366e+20
2023-02-01,1.58159512323765e+20
2023-02-16,6.772815746764396e+19
2023-03-01,4.773040154403762e+19
2023-03-16,3.2389148715055337e+19
2023-04-01,1.4302612607478039e+19
2023-04-16,1.3811989001478188e+20
2023-05-01,7.495094975698839e+19
2023-05-16,5.9144323824595804e+19
2023-06-01,4.388199333028611e+19
2023-06-16,1.9136973954868118e+19
2023-07-01,3.1976048481792356e+19
2023-07-16,4.661580403625413e+18
2023-08-01,-5.79809848379917e+19
2023-08-16,6.070551511350139e+19
2023-09-01,3.106408366182298e+18
2023-09-16,-3.422447449646762e+19
2023-10-01,2.803181836504078e+18
2023-10-16,4.731850670052873e+19
2023-11-01,1.350555737628454e+20
2023-11-16,2.036003890686874e+20
2023-12-01,2.404637211803297e+20
2023-12-16,3.6646103480062326e+20
