date,mean_concentration
2019-01-01,2.1610117460199526e+20
2019-01-16,2.688973435519143e+20
2019-02-01,2.02634762350992e+20
2019-02-16,-1.044083699589688e+20
2019-03-01,1.8028452931220576e+19
2019-03-16,4.447728711931054e+19
2019-04-01,1.609480375425296e+20
2019-04-16,3.336539403620544e+19
2019-05-01,3.7219411167548375e+19
2019-05-16,5.483647869068335e+19
2019-06-01,8.139845740208452e+19
2019-06-16,6.034401266176878e+19
2019-07-01,3.858066934896615e+19
2019-07-16,-6.622179479709703e+19
2019-08-01,4.285343111958342e+19
2019-08-16,5.191485907483643e+19
2019-09-01,5.824015796209437e+19
2019-09-16,1.2148331070382612e+19
2019-10-01,-3.0936052769897976e+19
2019-10-16,1.1794149369460475e+20
2019-11-01,1.955786060821705e+20
2019-11-16,3.5258921689563267e+19
2019-12-01,3.91592424406355e+20
2019-12-16,3.6272572900607964e+20
2020-01-01,5.343838315337646e+20
2020-01-16,3.6838216479727544e+20
2020-02-01,2.0450639615776437e+20
2020-02-16,1.1412607338783765e+20
2020-03-01,-4.7561238373261e+19
2020-03-16,-3.5932745042645576e+18
2020-04-01,3.925388265650365e+19
2020-04-16,7.88723526063909e+19
2020-05-01,2.5354682927895204e+19
2020-05-16,5.562805525745919e+19
2020-06-01,6.250556573907277e+19
2020-06-16,4.69128901543588e+19
2020-07-01,1.989488913923386e+19
2020-07-16,-2.5831922161444925e+19
2020-08-01,9.127619368055279e+18
2020-08-16,-5.139664346647828e+19
2020-09-01,2.0381636155861758e+19
2020-09-16,4.228360084011102e+19
2020-10-01,2.371384309748331e+18
2020-10-16,6.01524862913728e+19
2020-11-01,1.1468846379631577e+20
2020-11-16,2.5421286360242477e+20
2020-12-01,2.3957635291195415e+20
2020-12-16,2.8274575500196997e+20
2021-01-01,6.195315978410419e+20
2021-01-16,4.9079736053387094e+20
2021-02-01,2.0153019198980224e+20
2021-02-16,8.642068652018431e+18
2021-03-01,-2.288864427837953e+19
2021-03-16,-8.610779162294493e+19
2021-04-01,-9.507129816039529e+17
2021-04-16,-1.3751044187255435e+19
2021-05-01,3.759790357169322e+19
2021-05-16,3.574945139437877e+19
2021-06-01,3.9200651360920764e+19
2021-06-16,6.394102623721995e+19
2021-07-01,1.9822623816023814e+19
2021-07-16,2.242541836359558e+19
2021-08-01,3.443105713612721e+19
2021-08-16,1.7032035823361767e+19
2021-09-01,-8.955060977794602e+18
2021-09-16,-6.765350095603059e+18
2021-10-01,3.4362932239701578e+19
2021-10-16,1.0743844835973716e+20
2021-11-01,1.7336570071794228e+20
2021-11-16,2.9390152837711597e+20
2021-12-01,3.079128084377644e+20
2021-12-16,2.9885501046810975e+20
2022-01-01,2.633902518065239e+20
2022-01-16,1.541379020460148e+20
2022-02-01,1.3107070154549857e+20
2022-02-16,1.4388283504469914e+20
2022-03-01,6.707371486614999e+19
2022-03-16,-1.052029155575067e+19
2022-04-01,3.5489937966404925e+18
2022-04-16,1.8401564041388536e+19
2022-05-01,8.287862424487905e+19
2022-05-16,2.6199982167454708e+19
2022-06-01,3.7849814879957745e+18
2022-06-16,-1.7432967716032008e+19
2022-07-01,-3.915499135234693e+19
2022-07-16,1.0227241158531144e+20
2022-08-01,2.5720294113842418e+19
2022-08-16,3.0693980731004035e+19
2022-09-01,-1.754048922963642e+19
2022-09-16,-4.556290138057554e+19
2022-10-01,-4.517766785661232e+19
2022-10-16,1.1006370857938246e+20
2022-11-01,4.4881761814324445e+20
2022-11-16,3.037634900156267e+20
2022-12-01,1.615462992286978e+20
2022-12-16,3.2187140471942205e+20
2023-01-01,4.383494259496218e+20
2023-01-16,3.639083142278101e+20
2023-02-01,1.3051339427493744e+20
2023-02-16,9.27758046189038e+19
2023-03-01,-4.663768280964845e+19
2023-03-16,-4.2923875093031756e+19
2023-04-01,2.9349496697925095e+19
2023-04-16,7.913909536223506e+19
2023-05-01,-2.1409734565840454e+19
2023-05-16,5.3347025485328966e+19
2023-06-01,6.910156294137267e+19
2023-06-16,-1.8305861390720106e+19
2023-07-01,8.332141646849917e+19
2023-07-16,-2.993937628796849e+19
2023-08-01,1.926776166922878e+19
2023-08-16,6.502600608222859e+18
2023-09-01,1.467611857341529e+17
2023-09-16,9.653685145681437e+18
2023-10-01,3.965631652795729e+19
2023-10-16,9.410498238545804e+19
2023-11-01,2.4726707950008913e+20
2023-11-16,2.852903525248013e+20
2023-12-01,2.7417357206867608e+20
2023-12-16,3.552393846755091e+20
