date,mean_concentration
2019-01-01,-1.6297792162693091e+19
2019-01-16,-1.2562381857733603e+19
2019-02-01,9.607648050376388e+19
2019-02-16,9.440383373586748e+19
2019-03-01,1.1099006701997893e+20
2019-03-16,9.861088527928777e+19
2019-04-01,8.725888621435337e+19
2019-04-16,7.1323634891974754e+19
2019-05-01,9.419613004425994e+19
2019-05-16,4.86959466761246e+19
2019-06-01,5.924931280651159e+19
2019-06-16,2.812905719233784e+18
2019-07-01,-1.1667222544428296e+20
2019-07-16,6.042240748039681e+18
2019-08-01,-1.3724957738909626e+19
2019-08-16,1.8670398552731337e+19
2019-09-01,4.1735084421462687e+18
2019-09-16,6.666832816591968e+19
2019-10-01,-5.191142390657304e+18
2019-10-16,4.910086779731166e+18
2019-11-01,-8.781771836694076e+18
2019-11-16,-5.4572863214357225e+19
2019-12-01,-2.8098694775343176e+18
2019-12-16,5.956667488129952e+19
2020-01-01,-3.6288712765055468e+19
2020-01-16,4.067595192460608e+19
2020-02-01,-2.0222891334618608e+19
2020-02-16,6.9252004382009836e+19
2020-03-01,3.7643768580986675e+19
2020-03-16,1.1241516134516646e+20
2020-04-01,8.814357762515124e+19
2020-04-16,1.0990441711225848e+20
2020-05-01,6.488795464537235e+19
2020-05-16,8.896977129690127e+19
2020-06-01,-8.751861410616954e+18
2020-06-16,-2.7304837078562963e+19
2020-07-01,-2.206658655797463e+19
2020-07-16,1.658221517535116e+19
2020-08-01,-8.899428122331007e+19
2020-08-16,-4.688347161274899e+19
2020-09-01,-3.1447216808832004e+19
2020-09-16,2.310388732848038e+19
2020-10-01,8.025563613314437e+18
2020-10-16,4.3653072290086257e+18
2020-11-01,6.754752034062951e+19
2020-11-16,1.619041134127923e+20
2020-12-01,2.371789680444404e+20
2020-12-16,1.0499082218533421e+19
2021-01-01,-4.370835234094558e+17
2021-01-16,-2.5596110665628406e+19
2021-02-01,1.0486948634051162e+19
2021-02-16,1.0998941649196773e+19
2021-03-01,7.430357027793445e+19
2021-03-16,3.729322374989246e+19
2021-04-01,9.906491051646512e+19
2021-04-16,1.2698179624800618e+20
2021-05-01,5.730298327580819e+19
2021-05-16,5.833442054154972e+19
2021-06-01,4.802532218955653e+19
2021-06-16,-3.2659751367943234e+19
2021-07-01,-5.590750776035235e+19
2021-07-16,-4.000304289936588e+19
2021-08-01,6.160299157492955e+18
2021-08-16,3.5235712192443085e+18
2021-09-01,2.9890614927528235e+19
2021-09-16,4.9237348553802736e+19
2021-10-01,-2.041441162481591e+19
2021-10-16,2.0021970035442676e+19
2021-11-01,1.2456995894923635e+19
2021-11-16,3.540261265361402e+19
2021-12-01,2.104237985028186e+19
2021-12-16,9.665302512796115e+19
2022-01-01,9.777924297334804e+19
2022-01-16,1.5538746057727656e+20
2022-02-01,7.071088942693431e+19
2022-02-16,4.68345379514229e+19
2022-03-01,7.350936343411813e+19
2022-03-16,5.122757363279715e+19
2022-04-01,1.1729832449238542e+20
2022-04-16,9.692395815186733e+19
2022-05-01,1.2643540460700584e+20
2022-05-16,8.8642510734744e+19
2022-06-01,1.2576570735574476e+20
2022-06-16,-2.9792500261731946e+19
2022-07-01,4.194830716143502e+18
2022-07-16,1.7316296136022505e+19
2022-08-01,3.9846896460182725e+19
2022-08-16,-2.2140478022845542e+18
2022-09-01,-1.7806409754062602e+19
2022-09-16,5.519645738427803e+19
2022-10-01,5.048692055332107e+19
2022-10-16,8.423166185345054e+18
2022-11-01,-2.416135320822093e+19
2022-11-16,2.88530602853912e+19
2022-12-01,-1.1246589361997165e+17
2022-12-16,1.9635591606999165e+18
2023-01-01,2.9836624846591332e+19
2023-01-16,3.4607095744144888e+19
2023-02-01,3.5522847291387867e+19
2023-02-16,1.1371038990208632e+20
2023-03-01,7.880029406243342e+19
2023-03-16,8.149897738424815e+19
2023-04-01,6.118667177284118e+19
2023-04-16,7.903509757117245e+19
2023-05-01,8.30954447834197e+19
2023-05-16,7.505272570753974e+19
2023-06-01,5.1682934846508016e+19
2023-06-16,4.222830658325367e+19
2023-07-01,-3.529838215313154e+19
2023-07-16,2.4250195690824835e+19
2023-08-01,-1.261617481847033e+20
2023-08-16,2.8606463700455864e+18
2023-09-01,6.817278568798206e+19
2023-09-16,4.922515376391115e+19
2023-10-01,6.464474179772973e+19
2023-10-16,-5.476789155407166e+18
2023-11-01,-5.862283897702007e+19
2023-11-16,-1.1941033662280538e+19
2023-12-01,5.8341452734243996e+19
2023-12-16,5.923149439138599e+19
