date,mean_concentration
2019-01-01,1.5061178071341046e+20
2019-01-16,1.2619576607357744e+20
2019-02-01,3.3675759166972035e+20
2019-02-16,2.4514257689838096e+20
2019-03-01,2.9488301944240734e+20
2019-03-16,1.9580890257401086e+20
2019-04-01,1.79638605183616e+20
2019-04-16,1.7747952422478646e+20
2019-05-01,1.1279330998557794e+20
2019-05-16,1.9011465371810333e+20
2019-06-01,1.1232296057215844e+20
2019-06-16,2.9589875938246308e+19
2019-07-01,-2.114716651987498e+19
2019-07-16,4.59812101070323e+18
2019-08-01,7.385234530934156e+19
2019-08-16,2.3869419865451606e+19
2019-09-01,-1.1520797080674271e+19
2019-09-16,-2.603479598878136e+18
2019-10-01,1.530379145862875e+20
2019-10-16,1.0362120895417783e+20
2019-11-01,1.2543776200871028e+20
2019-11-16,5.888113979362724e+19
2019-12-01,3.1377934489068424e+20
2019-12-16,2.7558940206729393e+20
2020-01-01,6.246821425216469e+19
2020-01-16,1.4085807167067357e+20
2020-02-01,3.6881459798783374e+20
2020-02-16,1.8257130878441842e+20
2020-03-01,2.8404806046449048e+20
2020-03-16,1.903538999581605e+20
2020-04-01,1.1311833772007573e+20
2020-04-16,9.882666466802549e+19
2020-05-01,9.377438553265011e+19
2020-05-16,9.615492866597873e+19
2020-06-01,7.839878477989783e+19
2020-06-16,-3.383199986399939e+17
2020-07-01,-1.0378228204210842e+19
2020-07-16,-7.334182259909087e+18
2020-08-01,-3.1316006037233925e+18
2020-08-16,-5.7556934614273294e+19
2020-09-01,1.5530377587597304e+18
2020-09-16,9.304438824549235e+19
2020-10-01,1.2491302956757403e+20
2020-10-16,1.0048180555468908e+20
2020-11-01,2.454652836498203e+20
2020-11-16,2.282308671901792e+20
2020-12-01,2.9287196485035183e+20
2020-12-16,2.8570222384278762e+20
2021-01-01,2.448578645858897e+20
2021-01-16,2.4488719807523327e+20
2021-02-01,2.7241268220708055e+20
2021-02-16,2.226837731147062e+20
2021-03-01,1.8982709413005676e+20
2021-03-16,1.2125978628685929e+20
2021-04-01,1.8515753844211827e+20
2021-04-16,2.53543123082859e+20
2021-05-01,8.62055276979758e+19
2021-05-16,4.480389060919375e+19
2021-06-01,4.3796088798111244e+19
2021-06-16,1.565528561840361e+19
2021-07-01,2.624633495596842e+19
2021-07-16,2.1709999306861003e+19
2021-08-01,1.4839221211423451e+19
2021-08-16,5.327079949182036e+19
2021-09-01,5.653643585589919e+19
2021-09-16,1.0264930700807125e+20
2021-10-01,4.0657683581476585e+19
2021-10-16,1.0304067470652187e+20
2021-11-01,2.2717036898828278e+20
2021-11-16,3.22785956871909e+20
2021-12-01,1.820494227134439e+20
2021-12-16,1.543195410493068e+20
2022-01-01,4.2030366378358086e+20
2022-01-16,1.950207839219792e+20
2022-02-01,1.3716793535900895e+20
2022-02-16,1.585850255764563e+20
2022-03-01,2.593707616295649e+20
2022-03-16,1.7498361297807124e+20
2022-04-01,2.0260331584518832e+20
2022-04-16,1.399031304113816e+20
2022-05-01,9.753464476849339e+19
2022-05-16,1.0640636561411778e+20
2022-06-01,1.0459879352935154e+20
2022-06-16,-2.732542526726911e+19
2022-07-01,5.27881959643226e+19
2022-07-16,6.574594427777634e+19
2022-08-01,2.752020615877033e+18
2022-08-16,2.9057388576383058e+19
2022-09-01,9.859491790743652e+18
2022-09-16,2.764387638232453e+19
2022-10-01,6.675389555510487e+19
2022-10-16,1.8370747934842942e+20
2022-11-01,2.756036932009582e+20
2022-11-16,3.1775887612874614e+20
2022-12-01,1.9461865824925552e+20
2022-12-16,2.010368875473788e+20
2023-01-01,4.053989713254879e+20
2023-01-16,1.4324359417094794e+20
2023-02-01,2.1495009533995047e+20
2023-02-16,4.100428547590736e+20
2023-03-01,2.959052092779539e+20
2023-03-16,2.2413639311678007e+20
2023-04-01,2.0968629680122338e+20
2023-04-16,1.1109275192958255e+20
2023-05-01,1.5218846897817495e+20
2023-05-16,1.3214069744789961e+20
2023-06-01,1.3210233742092334e+20
2023-06-16,5.878791186817778e+19
2023-07-01,-1.7134416448783323e+19
2023-07-16,2.8367042862423073e+19
2023-08-01,3.933025232165459e+18
2023-08-16,2.662376255668026e+19
2023-09-01,2.8535052130768876e+19
2023-09-16,6.4200507814446555e+19
2023-10-01,1.0790378054501818e+20
2023-10-16,2.0848444034231363e+20
2023-11-01,1.1463697049362398e+20
2023-11-16,2.9307775308317606e+20
2023-12-01,1.3182951206739901e+20
2023-12-16,3.274702536709724e+20
