date,mean_concentration
2019-01-01,5.1717868508794634e+19
2019-01-16,4.504506101106072e+19
2019-02-01,1.718558244486881e+20
2019-02-16,5.265815256345182e+19
2019-03-01,7.381770130895287e+19
2019-03-16,3.667014007482334e+19
2019-04-01,7.219483291497516e+19
2019-04-16,7.1539323304283046e+19
2019-05-01,1.0460256136248599e+20
2019-05-16,1.1231317516730075e+20
2019-06-01,5.045637972441562e+19
2019-06-16,5.0258819619398476e+19
2019-07-01,1.020955559612833e+20
2019-07-16,-2.1886664332304953e+19
2019-08-01,1.7249441172460533e+20
2019-08-16,-1.8561904857324823e+19
2019-09-01,2.0701846432040534e+19
2019-09-16,2.365287882785572e+19
2019-10-01,4.083564688236955e+19
2019-10-16,-4.3185633105603265e+19
2019-11-01,-4.480445743602569e+19
2019-11-16,7.390590596549083e+19
2019-12-01,-2.2460007916832756e+19
2019-12-16,-1.587587346638621e+19
2020-01-01,
2020-01-16,5.1618480357113905e+19
2020-02-01,9.199183701001683e+19
2020-02-16,6.665140036916073e+19
2020-03-01,3.4036795282003784e+19
2020-03-16,9.553070307095754e+19
2020-04-01,5.938341943123002e+19
2020-04-16,2.9685336865348436e+19
2020-05-01,3.06144180626615e+19
2020-05-16,1.3905345778655302e+20
2020-06-01,1.1965609816725039e+20
2020-06-16,2.636751724081111e+19
2020-07-01,-7.1801577342731895e+19
2020-07-16,-4.162589921648581e+19
2020-08-01,7.980047420833595e+19
2020-08-16,-4.942453571167637e+19
2020-09-01,1.6887964022773844e+19
2020-09-16,3.551172944736403e+19
2020-10-01,2.001649433008646e+20
2020-10-16,3.843886156907969e+19
2020-11-01,-2.9782846893106364e+19
2020-11-16,2.650804912908318e+19
2020-12-01,7.721731446182439e+19
2020-12-16,3.892621257455532e+19
2021-01-01,1.4770714193329897e+20
2021-01-16,1.5046407004357817e+20
2021-02-01,1.7675482852185994e+20
2021-02-16,1.0831579428271186e+20
2021-03-01,9.84412331639583e+19
2021-03-16,-1.0514839205613765e+20
2021-04-01,8.24718222049918e+19
2021-04-16,9.255571537636352e+19
2021-05-01,1.4304043277189753e+19
2021-05-16,4.113102706655066e+19
2021-06-01,1.7210069046329776e+19
2021-06-16,-6.733321840996275e+18
2021-07-01,8.16593688188965e+19
2021-07-16,-3.83006467019737e+19
2021-08-01,-5.02386498795939e+18
2021-08-16,-2.3317566850299957e+19
2021-09-01,2.2024293833113596e+19
2021-09-16,8.683442496895669e+19
2021-10-01,5.201366827975517e+19
2021-10-16,9.236225888132727e+18
2021-11-01,
2021-11-16,-4.9592642535223615e+19
2021-12-01,1.913473972276375e+19
2021-12-16,2.997072838845308e+19
2022-01-01,-1.4194514301149446e+19
2022-01-16,9.449045497326333e+19
2022-02-01,4.589295070940676e+19
2022-02-16,6.4172493841721434e+19
2022-03-01,1.5969076177558484e+20
2022-03-16,1.7112189682210728e+20
2022-04-01,9.402713895628977e+19
2022-04-16,9.404468279978025e+19
2022-05-01,1.328757549558086e+20
2022-05-16,9.33720019469697e+18
2022-06-01,7.190228721107078e+19
2022-06-16,2.025628083438012e+19
2022-07-01,
2022-07-16,7.667020047611903e+18
2022-08-01,4.947414284497723e+19
2022-08-16,-7.005106110729564e+17
2022-09-01,-4.339784386072622e+18
2022-09-16,1.329641063785857e+19
2022-10-01,9.289728506482957e+17
2022-10-16,5.504705971128632e+19
2022-11-01,1.0250364818040064e+19
2022-11-16,7.404343182758307e+19
2022-12-01,4.038789010107371e+19
2022-12-16,1.1599636230866438e+20
2023-01-01,1.4032273553896394e+20
2023-01-16,1.3567512664699647e+20
2023-02-01,2.4090669966422363e+20
2023-02-16,1.605171429873919e+20
2023-03-01,1.4730019269350454e+20
2023-03-16,-5.767172463625292e+18
2023-04-01,4.192092363135552e+19
2023-04-16,7.788141933866697e+19
2023-05-01,2.3027852974680522e+18
2023-05-16,9.370769764078155e+19
2023-06-01,1.0833050857689791e+20
2023-06-16,7.326245534343577e+19
2023-07-01,4.714314609073723e+19
2023-07-16,
2023-08-01,3.8120854249641435e+19
2023-08-16,3.2477064136318624e+19
2023-09-01,-9.450257034930202e+19
2023-09-16,1.4175839851726114e+20
2023-10-01,7.223967369490525e+19
2023-10-16,2.6281526801984565e+19
2023-11-01,1.0925374518729907e+20
2023-11-16,-5.922113532382321e+19
2023-12-01,1.6146245962612953e+19
2023-12-16,1.6460379521006597e+20
