date,mean_concentration
2019-01-01,-6.240076272096475e+18
2019-01-16,2.8206874128478982e+19
2019-02-01,2.5702854263897317e+19
2019-02-16,4.934315088421949e+19
2019-03-01,1.1267428640112373e+20
2019-03-16,1.0184175235012546e+20
2019-04-01,1.3271676863701513e+20
2019-04-16,8.158507987080998e+19
2019-05-01,4.751742839159121e+19
2019-05-16,7.104055503938936e+19
2019-06-01,5.245442857252393e+19
2019-06-16,-9.279353938690759e+19
2019-07-01,-5.500219730270777e+19
2019-07-16,-5.929280428994265e+18
2019-08-01,1.7372570365708728e+19
2019-08-16,5.036341265017055e+18
2019-09-01,-1.062518486425521e+20
2019-09-16,2.986002843328415e+19
2019-10-01,2.65614913734821e+19
2019-10-16,-2.0884701223663346e+19
2019-11-01,-5.873478508444915e+19
2019-11-16,-6.611121168442376e+19
2019-12-01,-2.415181607493357e+19
2019-12-16,5.1904338819853165e+19
2020-01-01,4.3590022798389395e+19
2020-01-16,-2.513213506829569e+19
2020-02-01,6.7994274133224554e+19
2020-02-16,8.540865650589375e+19
2020-03-01,8.060133767788626e+19
2020-03-16,6.763494354832461e+19
2020-04-01,7.616755745685347e+19
2020-04-16,7.2210419237700076e+19
2020-05-01,5.16203600233822e+19
2020-05-16,3.784419492016955e+19
2020-06-01,2.682821117855629e+19
2020-06-16,-7.99881047739894e+18
2020-07-01,-2.1268186372798048e+17
2020-07-16,-2.4643010452262126e+19
2020-08-01,-4.3774154219417534e+19
2020-08-16,-1.2196898137560534e+20
2020-09-01,6.243569733509805e+19
2020-09-16,-6.237444077917417e+19
2020-10-01,2.201391378004934e+19
2020-10-16,5.557189003413526e+19
2020-11-01,5.132272332701531e+19
2020-11-16,4.1681521904220774e+19
2020-12-01,7.671905104704517e+19
2020-12-16,6.664200859221353e+19
2021-01-01,5.388158709317351e+19
2021-01-16,1.0895549397214654e+20
2021-02-01,8.185481949001908e+19
2021-02-16,7.602923086833241e+19
2021-03-01,6.865181822591988e+19
2021-03-16,6.4288500445453976e+19
2021-04-01,1.072549839940356e+20
2021-04-16,1.5700881694027393e+20
2021-05-01,5.726391153937317e+19
2021-05-16,4.018289102185864e+19
2021-06-01,-1.1884756573667637e+19
2021-06-16,3.7098054660194525e+19
2021-07-01,3.261779523633151e+19
2021-07-16,2.198175720240232e+19
2021-08-01,4.087989346590766e+19
2021-08-16,9.519764449801511e+19
2021-09-01,
2021-09-16,
2021-10-01,1.2846865380808796e+20
2021-10-16,4.003486804903455e+19
2021-11-01,1.8993902879176184e+19
2021-11-16,8.569633096953024e+19
2021-12-01,8.448676762560935e+19
2021-12-16,1.0354089874595344e+20
2022-01-01,7.604286956125073e+19
2022-01-16,1.2103455340105926e+20
2022-02-01,7.507040724034357e+19
2022-02-16,1.4847065065627605e+20
2022-03-01,1.3256290277679951e+20
2022-03-16,4.568110936222993e+19
2022-04-01,2.9819201210500473e+19
2022-04-16,7.984002411266456e+19
2022-05-01,4.570849292312035e+19
2022-05-16,1.3243835391303471e+19
2022-06-01,-1.3680774579262915e+18
2022-06-16,6.562153010569167e+19
2022-07-01,-6.5663960938126746e+19
2022-07-16,-2.0901508254525043e+19
2022-08-01,1.959568725956218e+19
2022-08-16,-5.3169999193039034e+17
2022-09-01,-5.68243391472726e+18
2022-09-16,3.7800314939680506e+19
2022-10-01,2.3823834410887942e+19
2022-10-16,9.683104145037921e+19
2022-11-01,1.0237173181436327e+20
2022-11-16,7.97882409231956e+19
2022-12-01,3.0841051751120044e+19
2022-12-16,1.219747476901779e+20
2023-01-01,4.21846214345634e+19
2023-01-16,5.019334461170316e+19
2023-02-01,1.618705934267479e+20
2023-02-16,2.1597853897557996e+20
2023-03-01,1.475308155127676e+20
2023-03-16,1.507044787726247e+20
2023-04-01,5.692237413477935e+19
2023-04-16,4.488442120092726e+19
2023-05-01,4.6911564100108435e+19
2023-05-16,3.2403685565910503e+19
2023-06-01,5.462157925721167e+19
2023-06-16,2.6396616950706627e+19
2023-07-01,4.856953776975796e+19
2023-07-16,7.702427346179318e+19
2023-08-01,
2023-08-16,4.241688835635891e+19
2023-09-01,4.871232635500861e+19
2023-09-16,6.531618229092384e+19
2023-10-01,2.688609674367269e+19
2023-10-16,1.3280000295079531e+20
2023-11-01,6.004042516821433e+19
2023-11-16,4.271241670809582e+19
2023-12-01,9.29856707612294e+19
2023-12-16,1.328616721371138e+20
