date,mean_concentration
2019-01-01,2.1501473061159852e+20
2019-01-16,7.327931747151494e+19
2019-02-01,2.4358764789080926e+20
2019-02-16,2.996840652830946e+20
2019-03-01,2.4198095511640126e+20
2019-03-16,1.2680412472544451e+20
2019-04-01,2.9240169602881382e+20
2019-04-16,1.7559057507907902e+20
2019-05-01,1.697445944708098e+20
2019-05-16,1.723235962556786e+20
2019-06-01,1.859776436010528e+20
2019-06-16,7.981671962076206e+19
2019-07-01,4.0172081073436273e+18
2019-07-16,-3.254103355003521e+19
2019-08-01,1.1105928314405092e+20
2019-08-16,-3.48658826540131e+19
2019-09-01,4.941060511543798e+18
2019-09-16,3.662289354709543e+19
2019-10-01,4.780770728722407e+19
2019-10-16,-9.066863741959004e+18
2019-11-01,-6.36286774432364e+19
2019-11-16,1.4386992416099486e+19
2019-12-01,-7.945053664457976e+18
2019-12-16,1.772694433485551e+20
2020-01-01,1.0633833861386617e+20
2020-01-16,2.9320192592261706e+19
2020-02-01,1.8298810703836653e+20
2020-02-16,1.4987205291300445e+20
2020-03-01,1.1069739270833185e+20
2020-03-16,1.1701855885662059e+20
2020-04-01,1.4818997613486657e+20
2020-04-16,1.0101910469326152e+20
2020-05-01,1.3601573866140762e+20
2020-05-16,1.6858454955956827e+20
2020-06-01,9.805271262678829e+19
2020-06-16,-1.7537929664065493e+19
2020-07-01,-6.512985572153022e+19
2020-07-16,-3.5395477165144048e+19
2020-08-01,-3.944014159307549e+19
2020-08-16,-9.510072206338165e+18
2020-09-01,-4.89608598230359e+18
2020-09-16,3.091551851040764e+19
2020-10-01,5.986730103146483e+19
2020-10-16,6.967578197045231e+18
2020-11-01,6.357247531298114e+19
2020-11-16,4.1070459566762074e+19
2020-12-01,1.3452118684024091e+20
2020-12-16,1.751941724113162e+20
2021-01-01,9.030173587148754e+19
2021-01-16,1.7533254562685003e+20
2021-02-01,1.5731931706545966e+20
2021-02-16,1.1239059332806977e+20
2021-03-01,1.1192460343964649e+20
2021-03-16,1.3739378473691367e+20
2021-04-01,2.2712229150834016e+20
2021-04-16,3.3447518289599404e+20
2021-05-01,1.4131713113836483e+20
2021-05-16,1.7787930969813533e+20
2021-06-01,2.002649396197869e+20
2021-06-16,5.3138382640967885e+19
2021-07-01,4.0243258286047227e+18
2021-07-16,-2.8707831588747227e+19
2021-08-01,-7.135138700883709e+19
2021-08-16,2.697411312885704e+18
2021-09-01,3.6626963400542917e+19
2021-09-16,7.533123772379888e+19
2021-10-01,5.185855268193483e+19
2021-10-16,-1.1003739349251771e+18
2021-11-01,-2.081623206197336e+19
2021-11-16,4.4921460946581045e+19
2021-12-01,5.151125529733599e+19
2021-12-16,1.5464659761032407e+20
2022-01-01,2.352037551406477e+20
2022-01-16,2.670480478137641e+20
2022-02-01,2.063205233849055e+20
2022-02-16,1.6584516448922422e+20
2022-03-01,1.2748833137356335e+20
2022-03-16,1.0445999500764771e+20
2022-04-01,2.3043166914022746e+20
2022-04-16,1.8143059035653803e+20
2022-05-01,1.274155687289661e+20
2022-05-16,1.1123275383027122e+20
2022-06-01,2.1864825801370763e+20
2022-06-16,1.0680725586256162e+20
2022-07-01,-9.285520222738364e+18
2022-07-16,7.259154516951738e+19
2022-08-01,-1.760995285021827e+19
2022-08-16,2.4140950151236067e+19
2022-09-01,-3.400964606595495e+18
2022-09-16,5.699613087548958e+19
2022-10-01,4.127338168248726e+19
2022-10-16,8.950346229407303e+19
2022-11-01,6.978444997834502e+19
2022-11-16,7.2623473772765995e+19
2022-12-01,1.6901966937940928e+20
2022-12-16,1.381032515226576e+20
2023-01-01,2.4023728295448805e+20
2023-01-16,1.3769673679785961e+20
2023-02-01,1.5669987912848707e+20
2023-02-16,1.8945781531912045e+20
2023-03-01,2.5143421286553934e+20
2023-03-16,3.947176731301194e+20
2023-04-01,2.484001951440482e+20
2023-04-16,1.597523510424202e+20
2023-05-01,1.0072216270446415e+20
2023-05-16,1.3932505990592774e+20
2023-06-01,1.997311378300913e+20
2023-06-16,1.4535842326409286e+20
2023-07-01,-1.2604478351278346e+19
2023-07-16,-1.1470748559667042e+17
2023-08-01,-6.217238756452685e+19
2023-08-16,2.8871344936425206e+19
2023-09-01,1.0777050861905191e+20
2023-09-16,3.980286016694769e+19
2023-10-01,1.5754736473900555e+20
2023-10-16,8.990816572543081e+19
2023-11-01,8.037243127251727e+19
2023-11-16,8.45507949962595e+19
2023-12-01,6.936521362586949e+19
2023-12-16,1.4595204459227323e+20
