date,mean_concentration
2019-01-01,-4.633757467224389e+18
2019-01-16,-5.594777903736052e+19
2019-02-01,1.9973433935870575e+19
2019-02-16,5.5599530831408505e+19
2019-03-01,7.68328883235873e+19
2019-03-16,4.096617756331752e+19
2019-04-01,4.991304990110207e+19
2019-04-16,7.406592015816612e+19
2019-05-01,4.195692595697196e+19
2019-05-16,5.636487670117833e+19
2019-06-01,4.1174547034875994e+19
2019-06-16,2.9095729678493164e+19
2019-07-01,-4.3259353171963387e+18
2019-07-16,-1.23166801728759e+19
2019-08-01,9.61002978871323e+18
2019-08-16,-2.4817483927305056e+19
2019-09-01,-2.908621371081878e+17
2019-09-16,-3.184440056747548e+19
2019-10-01,-5.434252499775021e+19
2019-10-16,-5.827422554289152e+19
2019-11-01,-5.608594170774934e+18
2019-11-16,-9.334230503613362e+18
2019-12-01,3.5260390971749945e+19
2019-12-16,1.5518249998658195e+20
2020-01-01,2.498275968005957e+19
2020-01-16,-1.3172412686683744e+19
2020-02-01,7.837951923914046e+19
2020-02-16,1.9216406118632034e+19
2020-03-01,2.186422827018165e+19
2020-03-16,-2.422250779634136e+18
2020-04-01,7.915313371940697e+19
2020-04-16,3.8025017481924575e+19
2020-05-01,4.348427831839447e+19
2020-05-16,2.3576326728184254e+19
2020-06-01,5.042332788293163e+19
2020-06-16,2.5789000838023836e+19
2020-07-01,3.1335966169340436e+19
2020-07-16,-7.37581380863474e+19
2020-08-01,-5.537894224557212e+19
2020-08-16,-7.759784502060256e+18
2020-09-01,1.9530501490975613e+19
2020-09-16,7.40255158369172e+19
2020-10-01,2.8143013236673036e+19
2020-10-16,-7.325817121189563e+18
2020-11-01,1.946047447175025e+19
2020-11-16,8.437853225250798e+19
2020-12-01,1.100892568132713e+20
2020-12-16,1.3162817524198228e+20
2021-01-01,-7.139714465243023e+18
2021-01-16,8.174631096978028e+18
2021-02-01,8.519195238848058e+19
2021-02-16,4.485241338717474e+19
2021-03-01,4.236121160083793e+19
2021-03-16,-9.152127793801965e+18
2021-04-01,9.456212962688272e+19
2021-04-16,6.2722598781456065e+19
2021-05-01,4.975294679896947e+19
2021-05-16,3.762414114014167e+19
2021-06-01,4.880651309784338e+19
2021-06-16,-2.735313414863794e+19
2021-07-01,-4.757863518177139e+17
2021-07-16,1.4586142062845264e+19
2021-08-01,-1.5956231463025066e+20
2021-08-16,4.233771525776564e+19
2021-09-01,1.3320764966321242e+20
2021-09-16,1.8957661483965022e+19
2021-10-01,-4.661232483195945e+19
2021-10-16,-1.6520874392569512e+19
2021-11-01,7.622045657268473e+19
2021-11-16,1.6799499450151446e+20
2021-12-01,1.5364879886334847e+20
2021-12-16,2.1847956547265266e+20
2022-01-01,1.567247639943694e+20
2022-01-16,8.314503499784783e+19
2022-02-01,8.674406852098451e+18
2022-02-16,4.668990790665561e+19
2022-03-01,3.612920881017937e+19
2022-03-16,4.159514224773192e+19
2022-04-01,1.315103745660446e+19
2022-04-16,5.707475249465012e+19
2022-05-01,3.5284705235303182e+19
2022-05-16,3.3359911871223394e+19
2022-06-01,3.757583252940086e+19
2022-06-16,2.953200821657105e+19
2022-07-01,4.040752165670146e+19
2022-07-16,-8.60219966046446e+19
2022-08-01,4.5396026308979204e+19
2022-08-16,3.276573620405212e+19
2022-09-01,2.8036438710237802e+19
2022-09-16,-1.3656849575183739e+19
2022-10-01,-3.320955804210045e+19
2022-10-16,4.322394231517613e+19
2022-11-01,8.761233461696217e+19
2022-11-16,8.62412291151244e+19
2022-12-01,2.067730332567607e+19
2022-12-16,5.473499087103758e+19
2023-01-01,9.100215291317276e+19
2023-01-16,4.916668065037589e+19
2023-02-01,-8.793444260052821e+18
2023-02-16,4.3533334110751244e+19
2023-03-01,6.903675007307874e+19
2023-03-16,-7.826768099461725e+18
2023-04-01,3.5870154790602224e+19
2023-04-16,4.888618530064989e+19
2023-05-01,4.851244867209524e+19
2023-05-16,6.297739505482498e+19
2023-06-01,-7.122195123520431e+18
2023-06-16,-2.809967161754778e+19
2023-07-01,3.0991852244061467e+19
2023-07-16,-2.113220200401574e+19
2023-08-01,-4.1407929155818455e+19
2023-08-16,-2.0863481059960934e+19
2023-09-01,5.907704840928817e+19
2023-09-16,-2.3353494908971782e+19
2023-10-01,-2.533665571727307e+19
2023-10-16,3.756205342432517e+19
2023-11-01,8.543668599486208e+19
2023-11-16,1.574901415695045e+20
2023-12-01,8.773678052424565e+19
2023-12-16,1.4571164855439756e+20
