date,mean_concentration
2019-01-01,1.1032144722094673e+20
2019-01-16,1.4645307515789505e+20
2019-02-01,1.9900546902471403e+20
2019-02-16,1.2506708219983598e+20
2019-03-01,5.109804925523474e+19
2019-03-16,1.1457037166330675e+20
2019-04-01,1.1928759750175693e+20
2019-04-16,1.1413850201925553e+20
2019-05-01,8.751945746935177e+19
2019-05-16,1.0783839005951461e+20
2019-06-01,1.1181575698861097e+20
2019-06-16,4.510242779517832e+19
2019-07-01,-1.5977769962756217e+19
2019-07-16,-1.638150320228269e+19
2019-08-01,1.0338696021629056e+20
2019-08-16,2.8946706833020334e+19
2019-09-01,1.0174815135435815e+19
2019-09-16,9.009500713846292e+19
2019-10-01,4.69267722243955e+19
2019-10-16,5.882226732907786e+19
2019-11-01,1.2193837528588155e+19
2019-11-16,-1.570619770677873e+19
2019-12-01,6.928088823051415e+17
2019-12-16,-8.416786793908747e+18
2020-01-01,4.4831401270497876e+20
2020-01-16,1.0903289414028927e+20
2020-02-01,1.2816356289129108e+20
2020-02-16,1.420158373357059e+20
2020-03-01,1.974236264316247e+20
2020-03-16,1.2280868571943179e+20
2020-04-01,5.7518299440071e+19
2020-04-16,5.43989134358059e+19
2020-05-01,7.694032271353319e+19
2020-05-16,9.198609815157785e+19
2020-06-01,1.5574122340671087e+19
2020-06-16,6.182673063371789e+19
2020-07-01,2.4467500255800922e+19
2020-07-16,2.427158442523741e+18
2020-08-01,1.0301033856330354e+20
2020-08-16,2.8475722694950896e+19
2020-09-01,4.167075197319411e+19
2020-09-16,5.0674303624884675e+19
2020-10-01,5.957165677788524e+19
2020-10-16,2.2305039933749223e+19
2020-11-01,1.194574840615817e+19
2020-11-16,5.0881279081064825e+19
2020-12-01,1.6208925697266047e+20
2020-12-16,1.3644950355351423e+20
2021-01-01,1.0897623271865128e+20
2021-01-16,3.432843993594035e+20
2021-02-01,1.8250572228705514e+20
2021-02-16,1.6218704201200104e+20
2021-03-01,1.3300138005101391e+20
2021-03-16,1.4569237260307032e+20
2021-04-01,1.2099105805597016e+20
2021-04-16,1.228548272269432e+20
2021-05-01,2.4160367584668713e+19
2021-05-16,2.1512675722975932e+19
2021-06-01,2.6778728471581323e+19
2021-06-16,4.8421524272759235e+19
2021-07-01,1.2875359303900584e+20
2021-07-16,1.0150944470157641e+20
2021-08-01,6.522888366957193e+19
2021-08-16,4.297441287767869e+19
2021-09-01,5.716784399966291e+19
2021-09-16,1.0919730985639944e+20
2021-10-01,3.457345738073306e+19
2021-10-16,5.20416081079181e+19
2021-11-01,1.2513612855554523e+20
2021-11-16,4.1287255739279877e+18
2021-12-01,3.1696589413530685e+19
2021-12-16,8.151165981338444e+19
2022-01-01,7.926567144375814e+19
2022-01-16,2.1803837939774787e+20
2022-02-01,1.6246761481197643e+20
2022-02-16,1.589306614826018e+20
2022-03-01,2.331081805935235e+20
2022-03-16,1.4487282681255014e+20
2022-04-01,1.501858212006648e+20
2022-04-16,1.3619448890265736e+20
2022-05-01,1.2299251596949396e+20
2022-05-16,5.6362973149522575e+19
2022-06-01,1.25530144128528e+20
2022-06-16,2.9618689039393497e+19
2022-07-01,-4.420041280573819e+18
2022-07-16,9.049503969517929e+18
2022-08-01,7.989091920693805e+19
2022-08-16,5.000189996108676e+19
2022-09-01,6.829601550286776e+19
2022-09-16,4.0405675404804555e+19
2022-10-01,5.9836202298743276e+19
2022-10-16,9.417251717514656e+19
2022-11-01,6.12436830863496e+19
2022-11-16,1.8163270053432518e+20
2022-12-01,9.56138022259232e+18
2022-12-16,1.775531057961095e+20
2023-01-01,2.3712822875282214e+20
2023-01-16,1.68219373685484e+20
2023-02-01,2.5829250728025358e+20
2023-02-16,2.6595631642787152e+20
2023-03-01,2.056152906063789e+20
2023-03-16,4.6477291781754814e+19
2023-04-01,1.1542758823977252e+20
2023-04-16,9.754139288822258e+19
2023-05-01,9.477245003936178e+19
2023-05-16,1.0225175171398817e+20
2023-06-01,9.91377579641312e+19
2023-06-16,1.0859596837184936e+20
2023-07-01,9.47002958146818e+19
2023-07-16,3.616285145169037e+19
2023-08-01,2.5812007090231017e+19
2023-08-16,6.2296537313092534e+19
2023-09-01,1.566903190012998e+20
2023-09-16,1.013144679445795e+20
2023-10-01,1.6001353131021258e+20
2023-10-16,1.6807868486456135e+20
2023-11-01,7.51937320476828e+19
2023-11-16,-7.156063331016035e+18
2023-12-01,4.665144295176429e+19
2023-12-16,2.5564226998772915e+20
