date,mean_concentration
2020-01-01,5.406764593766223e-05
2020-01-16,5.3827962431561765e-05
2020-02-01,5.370386020107831e-05
2020-02-16,5.794127330249471e-05
2020-03-01,5.9696222614456206e-05
2020-03-16,7.005674418543598e-05
2020-04-01,6.430385312958134e-05
2020-04-16,7.29024425816661e-05
2020-05-01,6.57155502243608e-05
2020-05-16,6.571102999560189e-05
2020-06-01,7.258161124360922e-05
2020-06-16,6.300935643477432e-05
2020-07-01,6.7207819878849e-05
2020-07-16,6.680216928703437e-05
2020-08-01,6.401854453457858e-05
2020-08-16,6.506454887007274e-05
2020-09-01,6.152041789107817e-05
2020-09-16,6.211549482084897e-05
2020-10-01,6.0336329439333045e-05
2020-10-16,5.521449896088569e-05
2020-11-01,4.913131550145899e-05
2020-11-16,5.613548045385128e-05
2020-12-01,5.291570331854335e-05
2020-12-16,5.5665787121892096e-05
2021-01-01,5.8592220839772736e-05
2021-01-16,5.721762398387844e-05
2021-02-01,5.7843256410154165e-05
2021-02-16,6.9203215629503e-05
2021-03-01,6.962282835621358e-05
2021-03-16,8.416485349748309e-05
2021-04-01,7.237466521071646e-05
2021-04-16,7.681272403897286e-05
2021-05-01,8.544230727566872e-05
2021-05-16,7.856286439934335e-05
2021-06-01,7.028531572606e-05
2021-06-16,7.183991115627361e-05
2021-07-01,7.493126359080499e-05
2021-07-16,7.289157673849646e-05
2021-08-01,7.202271846140144e-05
2021-08-16,6.35552553829688e-05
2021-09-01,6.53755806250831e-05
2021-09-16,6.665030092416198e-05
2021-10-01,6.920993579822696e-05
2021-10-16,5.99172430212871e-05
2021-11-01,5.580481349720836e-05
2021-11-16,5.182056552900359e-05
2021-12-01,5.341678626982171e-05
2021-12-16,5.408559214819151e-05
2022-01-01,5.379527245408845e-05
2022-01-16,5.257336699041751e-05
2022-02-01,5.486444962385409e-05
2022-02-16,6.295437501243771e-05
2022-03-01,7.035378883761083e-05
2022-03-16,7.464312753528054e-05
2022-04-01,5.445245906577297e-05
2022-04-16,6.386257251924902e-05
2022-05-01,6.428808342376275e-05
2022-05-16,6.814853874263802e-05
2022-06-01,6.910255100163549e-05
2022-06-16,7.579592029303639e-05
2022-07-01,7.176104732161193e-05
2022-07-16,6.434117350747091e-05
2022-08-01,6.957310338315816e-05
2022-08-16,6.652963025118555e-05
2022-09-01,6.42800285304218e-05
2022-09-16,6.485919636157758e-05
2022-10-01,6.894176837883085e-05
2022-10-16,6.10627437590643e-05
2022-11-01,5.768244313266156e-05
2022-11-16,5.772702984570132e-05
2022-12-01,6.074075441471965e-05
2022-12-16,6.462205260844845e-05
2023-01-01,6.168414815638718e-05
2023-01-16,6.725140493769966e-05
2023-02-01,6.714649191560962e-05
2023-02-16,6.618741447377341e-05
2023-03-01,7.992975641834277e-05
2023-03-16,7.448580184797836e-05
2023-04-01,7.695160635672254e-05
2023-04-16,8.031769233730292e-05
2023-05-01,7.911863938982118e-05
2023-05-16,8.061448955349876e-05
2023-06-01,7.997710270164318e-05
2023-06-16,7.771310422718742e-05
2023-07-01,7.508382242654391e-05
2023-07-16,7.553174024504735e-05
