date,mean_concentration
2020-01-01,4.735769370820024e-05
2020-01-16,5.023041874148436e-05
2020-02-01,4.881683430253315e-05
2020-02-16,5.002419563343911e-05
2020-03-01,5.54483430633136e-05
2020-03-16,5.220371693749044e-05
2020-04-01,5.219938398492827e-05
2020-04-16,6.161038244202015e-05
2020-05-01,6.302758227109765e-05
2020-05-16,6.057529295434523e-05
2020-06-01,5.491895666693676e-05
2020-06-16,5.707668059656373e-05
2020-07-01,5.746483389828988e-05
2020-07-16,5.848829118038027e-05
2020-08-01,5.374693830484838e-05
2020-08-16,7.095567869058935e-05
2020-09-01,5.7384736959195456e-05
2020-09-16,6.20970413025015e-05
2020-10-01,6.170098127520785e-05
2020-10-16,5.672772214221594e-05
2020-11-01,5.969828918380325e-05
2020-11-16,5.619720685475098e-05
2020-12-01,4.876370532203828e-05
2020-12-16,5.246333429756888e-05
2021-01-01,4.670382767521485e-05
2021-01-16,5.2885339059890345e-05
2021-02-01,5.3209705600116114e-05
2021-02-16,5.3606001688384073e-05
2021-03-01,5.678788848699644e-05
2021-03-16,5.283968869874772e-05
2021-04-01,6.701475790708749e-05
2021-04-16,7.540841862701822e-05
2021-05-01,6.322387689042988e-05
2021-05-16,5.422147301618217e-05
2021-06-01,6.028837597259673e-05
2021-06-16,6.003177291095428e-05
2021-07-01,6.328123861518403e-05
2021-07-16,6.082176951461419e-05
2021-08-01,5.869226732053085e-05
2021-08-16,6.24815374340043e-05
2021-09-01,5.754710580465794e-05
2021-09-16,7.946256963805554e-05
2021-10-01,6.255122446661454e-05
2021-10-16,6.0778446029231256e-05
2021-11-01,5.918134112872895e-05
2021-11-16,6.390465706438698e-05
2021-12-01,5.973082840542356e-05
2021-12-16,6.125333570322167e-05
2022-01-01,6.004773262993024e-05
2022-01-16,6.476516511399139e-05
2022-02-01,6.138115319322434e-05
2022-02-16,5.676228377999315e-05
2022-03-01,6.108829478906292e-05
2022-03-16,6.129407063522393e-05
2022-04-01,6.64100145913437e-05
2022-04-16,6.901320862186943e-05
2022-05-01,7.577567707771141e-05
2022-05-16,6.596572428798526e-05
2022-06-01,6.351938927968672e-05
2022-06-16,5.988547375376002e-05
2022-07-01,6.0757289009577854e-05
2022-07-16,7.155800245170122e-05
2022-08-01,5.762356311602212e-05
2022-08-16,7.373867332553096e-05
2022-09-01,5.6810829675612616e-05
2022-09-16,6.707947166414908e-05
2022-10-01,7.15476753315315e-05
2022-10-16,6.856842945723847e-05
2022-11-01,5.5572637095233376e-05
2022-11-16,6.0225708057040856e-05
2022-12-01,5.6634466441885455e-05
2022-12-16,6.166445737865216e-05
2023-01-01,6.39789551446214e-05
2023-01-16,5.5293521363375616e-05
2023-02-01,5.155495861565011e-05
2023-02-16,5.749675195450603e-05
2023-03-01,5.65122049335181e-05
2023-03-16,6.629042166788848e-05
2023-04-01,7.040320224111167e-05
2023-04-16,9.052534057265124e-05
2023-05-01,7.857011051571634e-05
2023-05-16,7.401516212745725e-05
2023-06-01,6.799133306122504e-05
2023-06-16,6.41427463917381e-05
2023-07-01,6.75538560888382e-05
2023-07-16,5.9759133942428114e-05
