date,mean_concentration
2019-01-01,6.796161703112717e-05
2019-01-16,7.688804958560092e-05
2019-02-01,7.508534324024526e-05
2019-02-16,6.12067255392817e-05
2019-03-01,7.20119581777628e-05
2019-03-16,7.924522181236671e-05
2019-04-01,7.844324642266033e-05
2019-04-16,8.229443351789229e-05
2019-05-01,8.272245878695077e-05
2019-05-16,7.463487364036669e-05
2019-06-01,8.109367824701739e-05
2019-06-16,7.523158401918723e-05
2019-07-01,7.317365014654782e-05
2019-07-16,7.064126515746097e-05
2019-08-01,6.790377044310489e-05
2019-08-16,6.419026663906682e-05
2019-09-01,6.268808394239399e-05
2019-09-16,6.318084268737138e-05
2019-10-01,6.795980629347952e-05
2019-10-16,7.210469158269213e-05
2019-11-01,6.633397861932311e-05
2019-11-16,6.846064040838814e-05
2019-12-01,6.941016484134449e-05
2019-12-16,7.508701267361764e-05
2020-01-01,6.901524002032556e-05
2020-01-16,7.225131328187384e-05
2020-02-01,6.554387808940547e-05
2020-02-16,6.805434513788413e-05
2020-03-01,6.363007829937211e-05
2020-03-16,7.034905591295526e-05
2020-04-01,7.210354279885496e-05
2020-04-16,6.770359919374897e-05
2020-05-01,6.895916090712863e-05
2020-05-16,6.830240679381578e-05
2020-06-01,8.271749414786183e-05
2020-06-16,6.909345190168141e-05
2020-07-01,7.302849197971743e-05
2020-07-16,6.290373157364679e-05
2020-08-01,6.694107782008408e-05
2020-08-16,6.128486121766059e-05
2020-09-01,6.270858573481457e-05
2020-09-16,6.188086023620239e-05
2020-10-01,7.155264120897597e-05
2020-10-16,7.043120713905949e-05
2020-11-01,7.270108983928055e-05
2020-11-16,6.977845340834076e-05
2020-12-01,6.805396511374552e-05
2020-12-16,7.477291864312668e-05
2021-01-01,6.825654855830585e-05
2021-01-16,7.614889845106672e-05
2021-02-01,7.419302239040355e-05
2021-02-16,7.22246883827797e-05
2021-03-01,7.078125324778326e-05
2021-03-16,8.079519051789167e-05
2021-04-01,8.371348117086666e-05
2021-04-16,7.997755049958057e-05
2021-05-01,7.102869892207194e-05
2021-05-16,7.441288984179685e-05
2021-06-01,7.136921410616009e-05
2021-06-16,7.601247717424627e-05
2021-07-01,7.306352407368332e-05
2021-07-16,6.943318220818338e-05
2021-08-01,6.547985137702983e-05
2021-08-16,7.348263846821513e-05
2021-09-01,7.111592142826386e-05
2021-09-16,6.768329406048365e-05
2021-10-01,6.918554328763836e-05
2021-10-16,7.163773138701473e-05
2021-11-01,7.648831253579202e-05
2021-11-16,6.424155724426424e-05
2021-12-01,8.121955579230383e-05
2021-12-16,7.334835811610081e-05
2022-01-01,6.154679787618209e-05
2022-01-16,6.89371803200332e-05
2022-02-01,6.462714254355085e-05
2022-02-16,6.773859410708577e-05
2022-03-01,7.420713692944717e-05
2022-03-16,7.131535255041782e-05
2022-04-01,7.221719408678389e-05
2022-04-16,7.323427477166245e-05
2022-05-01,6.818184528607587e-05
2022-05-16,6.355067652740407e-05
2022-06-01,7.132749294635369e-05
2022-06-16,7.606318929226492e-05
2022-07-01,7.15063165343456e-05
2022-07-16,6.174657512167889e-05
2022-08-01,6.870623133931182e-05
2022-08-16,6.383439082400041e-05
2022-09-01,6.724825453315951e-05
2022-09-16,6.46701533282401e-05
2022-10-01,6.839528865387362e-05
2022-10-16,7.355023412610479e-05
2022-11-01,7.705747190183182e-05
2022-11-16,8.471787296123e-05
2022-12-01,9.484835245767372e-05
2022-12-16,8.325464035233993e-05
2023-01-01,7.76556643504828e-05
2023-01-16,8.664665740193204e-05
2023-02-01,7.915152162603311e-05
2023-02-16,7.522854050070342e-05
2023-03-01,8.095046188734286e-05
2023-03-16,7.633465356027436e-05
2023-04-01,7.574068314094659e-05
2023-04-16,8.762104829905008e-05
2023-05-01,8.208426445072217e-05
2023-05-16,7.359315879546153e-05
2023-06-01,8.306230740228521e-05
2023-06-16,8.341940863859198e-05
2023-07-01,7.415214025277846e-05
2023-07-16,7.41596588090826e-05
2023-08-01,6.658774217584818e-05
2023-08-16,7.048322800175415e-05
2023-09-01,6.99372315426916e-05
2023-09-16,9.228281416827773e-05
2023-10-01,6.941251374536968e-05
2023-10-16,8.110654519414342e-05
2023-11-01,7.7819192203726e-05
2023-11-16,8.27144423368746e-05
2023-12-01,6.93977582960986e-05
2023-12-16,0.00010018367968637
