date,mean_concentration
2019-01-01,9.100851860595604e-05
2019-01-16,7.45805598255387e-05
2019-02-01,6.733407334190738e-05
2019-02-16,7.185086175162322e-05
2019-03-01,7.010869974819979e-05
2019-03-16,7.267955105340294e-05
2019-04-01,7.55288235868943e-05
2019-04-16,7.688865882472427e-05
2019-05-01,9.846811130174758e-05
2019-05-16,9.302990184489438e-05
2019-06-01,9.906349899865644e-05
2019-06-16,8.951889308736835e-05
2019-07-01,7.959896339751098e-05
2019-07-16,7.577706768863313e-05
2019-08-01,6.528876959497754e-05
2019-08-16,7.244912698133004e-05
2019-09-01,6.0084073919872376e-05
2019-09-16,5.613460603549556e-05
2019-10-01,6.747988994835096e-05
2019-10-16,5.475687687952725e-05
2019-11-01,6.483500958091787e-05
2019-11-16,5.95367478899311e-05
2019-12-01,6.112589225894791e-05
2019-12-16,6.874640341725083e-05
2020-01-01,8.458832103269184e-05
2020-01-16,6.588917868230629e-05
2020-02-01,5.919303161070552e-05
2020-02-16,6.354881993859132e-05
2020-03-01,5.404087518063152e-05
2020-03-16,6.111261492404238e-05
2020-04-01,5.8314383306983136e-05
2020-04-16,6.382680189433438e-05
2020-05-01,7.549956752636462e-05
2020-05-16,8.710628374533543e-05
2020-06-01,8.101993811997977e-05
2020-06-16,7.310644782122792e-05
2020-07-01,5.9042118268607765e-05
2020-07-16,6.449688167910092e-05
2020-08-01,6.110586604539064e-05
2020-08-16,6.383667916975775e-05
2020-09-01,6.032978120233795e-05
2020-09-16,6.338246387514382e-05
2020-10-01,6.995174753696539e-05
2020-10-16,7.34253112173701e-05
2020-11-01,7.14507690066109e-05
2020-11-16,6.400020493707822e-05
2020-12-01,7.593712872996363e-05
2020-12-16,0.00012236298673889417
2021-01-01,8.35146869583594e-05
2021-01-16,8.585794966952787e-05
2021-02-01,8.194992078134891e-05
2021-02-16,8.164853611901386e-05
2021-03-01,7.485811664428606e-05
2021-03-16,8.148938729176576e-05
2021-04-01,7.995992159816349e-05
2021-04-16,8.778738301287328e-05
2021-05-01,7.686407547019958e-05
2021-05-16,9.099183487882972e-05
2021-06-01,9.248438059447072e-05
2021-06-16,8.588899030249128e-05
2021-07-01,9.026851069565112e-05
2021-07-16,7.633510318990999e-05
2021-08-01,7.619731992738113e-05
2021-08-16,7.798579065566571e-05
2021-09-01,7.236180727888702e-05
2021-09-16,7.21421586476356e-05
2021-10-01,6.66816079104696e-05
2021-10-16,8.274880391176558e-05
2021-11-01,5.701262427646551e-05
2021-11-16,6.0436382779950655e-05
2021-12-01,7.363473002697218e-05
2021-12-16,8.917198041508719e-05
2022-01-01,7.243954114707866e-05
2022-01-16,9.21855691464986e-05
2022-02-01,7.485662737679649e-05
2022-02-16,7.38740632188011e-05
2022-03-01,8.050952633642485e-05
2022-03-16,8.344683853716512e-05
2022-04-01,6.533052877378325e-05
2022-04-16,7.770070157531234e-05
2022-05-01,8.982446008251317e-05
2022-05-16,0.00010004539796144113
2022-06-01,0.0001109904569343858
2022-06-16,8.391295770043887e-05
2022-07-01,
2022-07-16,6.527538207748395e-05
2022-08-01,7.684044699984635e-05
2022-08-16,7.29422982069579e-05
2022-09-01,7.234967343150392e-05
2022-09-16,7.143006952864236e-05
2022-10-01,6.551484015177852e-05
2022-10-16,7.562771211030165e-05
2022-11-01,7.540653482575873e-05
2022-11-16,8.757114952435474e-05
2022-12-01,8.004994518425124e-05
2022-12-16,9.47269170473497e-05
2023-01-01,8.61413737484046e-05
2023-01-16,7.707919089080505e-05
2023-02-01,9.619939084930624e-05
2023-02-16,9.124383804880706e-05
2023-03-01,9.013047413456685e-05
2023-03-16,7.858600232358456e-05
2023-04-01,8.263646142467192e-05
2023-04-16,9.270417353449512e-05
2023-05-01,9.545706005825232e-05
2023-05-16,0.00010023694525010076
2023-06-01,0.00010948799930642502
2023-06-16,9.303647858033456e-05
2023-07-01,8.038769593433962e-05
2023-07-16,6.891005986106018e-05
2023-08-01,7.498931013271939e-05
2023-08-16,8.52553900731334e-05
2023-09-01,9.614951379346696e-05
2023-09-16,7.278942689265119e-05
2023-10-01,8.977903982776009e-05
2023-10-16,8.33141139656496e-05
2023-11-01,7.761471288220428e-05
2023-11-16,8.204875597070167e-05
2023-12-01,7.560872905042294e-05
2023-12-16,6.67983992647006e-05
