date,mean_concentration
2019-01-01,9.030060800676404e-05
2019-01-16,8.965290946790226e-05
2019-02-01,8.078034170342308e-05
2019-02-16,8.93300612345304e-05
2019-03-01,7.699614994320503e-05
2019-03-16,9.21211324799363e-05
2019-04-01,8.163813076783895e-05
2019-04-16,8.789344845095026e-05
2019-05-01,9.018098685300492e-05
2019-05-16,8.76767423475089e-05
2019-06-01,9.40793871495133e-05
2019-06-16,8.371046141471164e-05
2019-07-01,8.190303674982626e-05
2019-07-16,7.299527977286011e-05
2019-08-01,6.694918127620955e-05
2019-08-16,7.873421213422849e-05
2019-09-01,7.065638141310021e-05
2019-09-16,7.12228155809557e-05
2019-10-01,6.782998118788283e-05
2019-10-16,6.280929307542856e-05
2019-11-01,6.948503236838779e-05
2019-11-16,6.328616435870894e-05
2019-12-01,6.135694865857411e-05
2019-12-16,7.064124488073975e-05
2020-01-01,8.637108621193205e-05
2020-01-16,7.488369279710378e-05
2020-02-01,6.937621442785887e-05
2020-02-16,7.225757652790695e-05
2020-03-01,8.06534976161392e-05
2020-03-16,8.357584720274456e-05
2020-04-01,6.959962282964418e-05
2020-04-16,6.769404056461501e-05
2020-05-01,7.530177468674768e-05
2020-05-16,7.305668966272256e-05
2020-06-01,7.433646165374992e-05
2020-06-16,7.408081943585678e-05
2020-07-01,6.998067725069097e-05
2020-07-16,7.165080559507403e-05
2020-08-01,7.366611738098241e-05
2020-08-16,6.434243626334316e-05
2020-09-01,6.986527399194535e-05
2020-09-16,6.301723357151828e-05
2020-10-01,5.924907670544486e-05
2020-10-16,6.814787739487378e-05
2020-11-01,7.309822593420355e-05
2020-11-16,7.316492910117508e-05
2020-12-01,7.490847150270994e-05
2020-12-16,8.366730914510238e-05
2021-01-01,7.573678579893579e-05
2021-01-16,9.80457543832406e-05
2021-02-01,9.769203569742276e-05
2021-02-16,0.00010466524509628146
2021-03-01,9.146256791860948e-05
2021-03-16,0.00010608185906265808
2021-04-01,9.548649027961628e-05
2021-04-16,8.518345960209628e-05
2021-05-01,7.49161583312725e-05
2021-05-16,7.866734356927845e-05
2021-06-01,7.636008511810978e-05
2021-06-16,8.039110676910209e-05
2021-07-01,8.145482596241622e-05
2021-07-16,7.672591401295784e-05
2021-08-01,7.649282857055337e-05
2021-08-16,7.384336032396537e-05
2021-09-01,7.371187730420457e-05
2021-09-16,7.435708366426957e-05
2021-10-01,7.12552376443921e-05
2021-10-16,7.414410873635656e-05
2021-11-01,7.00503874273803e-05
2021-11-16,6.372325167633856e-05
2021-12-01,6.439850841040441e-05
2021-12-16,7.996420307952989e-05
2022-01-01,7.356031175868552e-05
2022-01-16,8.805198260041357e-05
2022-02-01,7.498057494736546e-05
2022-02-16,8.899028699484952e-05
2022-03-01,0.00010419873453495695
2022-03-16,8.997725745861333e-05
2022-04-01,7.512869125576743e-05
2022-04-16,8.363080905673309e-05
2022-05-01,8.34990563598842e-05
2022-05-16,8.528944706806709e-05
2022-06-01,9.190009778737856e-05
2022-06-16,7.330546629435797e-05
2022-07-01,6.091605711804776e-05
2022-07-16,7.585575404354085e-05
2022-08-01,8.057132501076506e-05
2022-08-16,8.887040698065867e-05
2022-09-01,7.558667634292961e-05
2022-09-16,7.038638126872224e-05
2022-10-01,7.934646528407015e-05
2022-10-16,7.486906764984217e-05
2022-11-01,7.268338672364449e-05
2022-11-16,8.482385857481966e-05
2022-12-01,8.703238014018493e-05
2022-12-16,9.595437864064368e-05
2023-01-01,9.883154287888832e-05
2023-01-16,9.227823505282903e-05
2023-02-01,0.00011329497903538956
2023-02-16,0.00011637518832067651
2023-03-01,0.00011519184345344754
2023-03-16,9.13232278009888e-05
2023-04-01,9.94294153266146e-05
2023-04-16,9.848046711457024e-05
2023-05-01,9.486340495976994e-05
2023-05-16,9.424260582399416e-05
2023-06-01,0.00011643900485124774
2023-06-16,0.00010226362383827792
2023-07-01,9.59730764414152e-05
2023-07-16,9.44590834626888e-05
2023-08-01,8.05431311926277e-05
2023-08-16,8.704212097857775e-05
2023-09-01,9.020659561859388e-05
2023-09-16,9.104955815690203e-05
2023-10-01,9.910676782775467e-05
2023-10-16,8.625533994638192e-05
2023-11-01,8.026319627322323e-05
2023-11-16,7.927847184130811e-05
2023-12-01,8.144221643345361e-05
2023-12-16,7.688734769616148e-05
